dispersion,load,seed,step,is_warmup,utility,adr_kbps,served_ratio,average_quality,fairness,avg_switching,quality_switch_rate,quality_change_levels,pairwise_group_churn,cqi_mean,cqi_std,cqi_iqr,cqi_range,cqi_saturation_ratio,cqi_temporal_delta,cqi_history_volatility,previous_quality_mean,previous_quality_std,previous_quality_range,previous_quality_cqi_mismatch,cost_mean,cost_std_across_users,cqi_cost_rank_alignment,cqi_cost_rank_disagreement,previous_quality_rb_pressure,rb_available,best_cqi_candidate_utility,best_cost_candidate_utility,best_switching_candidate_utility,best_same_state_2way_utility,switching_marginal_same_state,switching_strictly_best,best_sources,selected_group_sources,selected_primary_source,selected_k,unique_candidate_count,diff_vs_cqi_trajectory,diff_vs_2way_trajectory
low,heavy,seed_0005,13,0,0.5559363916924877,1500.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,14.791666666666666,0.4982608642958916,0.0,2.0,0.9583333333333334,0.2916666666666667,0.21283013631588876,2.0,0.0,0.0,2.9583333333333335,3.6736111111111107,0.03330438557856061,0.5345224838248489,0.23273875808757555,24.0,2.0,0.5559363916924877,0.5559363916924877,0.5559363916924877,0.5559363916924877,0.0,0,cqi|cost|switching,cqi|cost|switching,cqi,1,4,0.0,0.0
low,heavy,seed_0005,14,0,0.5559363916924877,1500.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,14.833333333333334,0.4714045207910317,0.0,2.0,0.9583333333333334,0.2916666666666667,0.22247448713915893,2.0,0.0,0.0,2.9583333333333335,3.6805555555555554,0.06660877115712113,0.6030226891555273,0.19848865542223637,24.0,2.0,0.5559363916924877,0.5559363916924877,0.5559363916924877,0.5559363916924877,0.0,0,cqi|cost|switching,cqi|cost|switching,cqi,1,2,0.0,0.0
low,light,seed_0006,0,1,0.5290781116502739,5800.0,1.0,4.0,1.0,0.8000000000000002,1.0,4.0,0.0,14.583333333333334,0.6400954789890507,1.0,2.0,0.9166666666666666,0.375,0.26517170986124255,0.0,0.0,0.0,4.916666666666667,3.6736111111111107,0.03330438557856061,0.3992747047523453,0.30036264762382736,2.0,12.0,0.5290781116502739,0.5290781116502739,0.5290781116502739,0.5290781116502739,0.0,0,cqi|cost|switching,cqi|cost|switching,cqi,1,4,0.0,0.0
low,light,seed_0006,1,0,0.9290781116502739,5800.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,14.75,0.5204164998665332,0.0,2.0,0.9583333333333334,0.3333333333333333,0.3059965389076289,4.0,0.0,0.0,0.9583333333333334,3.6666666666666665,0.0,0.0,0.5,12.0,12.0,0.9290781116502739,0.9290781116502739,0.9290781116502739,0.9290781116502739,0.0,0,cqi|cost|switching,cqi|cost|switching,cqi,1,3,0.0,0.0
low,light,seed_0006,2,0,0.9290781116502739,5800.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,14.708333333333334,0.7347996703561832,0.0,3.0,0.9166666666666666,0.4583333333333333,0.3416668858878662,4.0,0.0,0.0,0.9166666666666666,3.6875,0.07316426217258852,0.7388664511337207,0.13056677443313963,12.166666666666666,12.0,0.9290781116502739,0.9290781116502739,0.9290781116502739,0.9290781116502739,0.0,0,cqi|cost|switching,cqi|cost|switching,cqi,1,5,0.0,0.0
low,light,seed_0006,3,0,0.9290781116502739,5800.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,14.791666666666666,0.4061164310337068,0.0,1.0,1.0,0.16666666666666666,0.35304425967756536,4.0,0.0,0.0,1.0,3.6666666666666665,0.0,0.0,0.5,12.0,12.0,0.9290781116502739,0.9290781116502739,0.9290781116502739,0.9290781116502739,0.0,0,cqi|cost|switching,cqi|cost|switching,cqi,1,2,0.0,0.0
low,light,seed_0006,4,0,0.9290781116502739,5800.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,14.458333333333334,0.9991315673568165,1.0,4.0,0.9166666666666666,0.5,0.36651695104696147,4.0,0.0,0.0,0.9166666666666666,3.7083333333333335,0.14632852434517693,0.5777144131988274,0.21114279340058628,12.25,12.0,0.9290781116502739,0.9290781116502739,0.9290781116502739,0.9290781116502739,0.0,0,cqi|cost|switching,cqi|cost|switching,cqi,1,3,0.0,0.0
low,light,seed_0006,5,0,0.9290781116502739,5800.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,14.666666666666666,0.8975274678557507,0.0,4.0,0.9166666666666666,0.4583333333333333,0.3419886436671857,4.0,0.0,0.0,0.9166666666666666,3.6875,0.07316426217258852,0.7388664511337207,0.13056677443313963,12.166666666666666,12.0,0.9290781116502739,0.9290781116502739,0.9290781116502739,0.9290781116502739,0.0,0,cqi|cost|switching,cqi|cost|switching,cqi,1,4,0.0,0.0
low,light,seed_0006,6,0,0.9290781116502739,5800.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,14.666666666666666,0.4714045207910317,1.0,1.0,1.0,0.4166666666666667,0.3580446046491426,4.0,0.0,0.0,1.0,3.6666666666666665,0.0,0.0,0.5,12.0,12.0,0.9290781116502739,0.9290781116502739,0.9290781116502739,0.9290781116502739,0.0,0,cqi|cost|switching,cqi|cost|switching,cqi,1,2,0.0,0.0
low,light,seed_0006,7,0,0.9290781116502739,5800.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,14.625,1.033299730636437,0.0,5.0,0.9583333333333334,0.4583333333333333,0.3797643274560547,4.0,0.0,0.0,1.0,3.701388888888889,0.1665219278928028,0.48989794855663565,0.25505102572168215,12.166666666666666,12.0,0.9290781116502739,0.9290781116502739,0.9290781116502739,0.9290781116502739,0.0,0,cqi|cost|switching,cqi|cost|switching,cqi,1,4,0.0,0.0
