scenario_mode,load_level,rb_budget_ratio,seed,kmax,feature_mode,method,pairwise_accuracy,ari,nmi,teacher_groups,predicted_groups
aligned,medium,0.25,9,3,history_cost,LE-GRA MVP,0.7717391304347826,0.0,0.0,2,1
aligned,medium,0.25,9,3,history_cost,Multi-feature k-means,0.7717391304347826,0.0,0.0,2,1
aligned,medium,0.25,9,3,history_cost,LE-GRA MVP,0.7717391304347826,0.0,0.0,2,1
aligned,medium,0.25,9,3,history_cost,Multi-feature k-means,1.0,1.0,1.0,2,2
aligned,medium,0.25,9,3,history_cost,LE-GRA MVP,0.7065217391304348,0.4097581582004436,0.5322529907627777,2,3
aligned,medium,0.25,9,3,history_cost,Multi-feature k-means,0.6811594202898551,0.3380934212677822,0.616764232241805,3,3
aligned,medium,0.25,9,3,history_cost,LE-GRA MVP,0.6811594202898551,0.33439298437928194,0.5441111644986344,3,3
aligned,medium,0.25,17,3,history_cost,Multi-feature k-means,0.6231884057971014,0.24431339511373207,0.40901141717519274,3,2
aligned,medium,0.25,17,3,history_cost,LE-GRA MVP,0.6231884057971014,0.24431339511373207,0.4090114171751927,3,2
aligned,medium,0.25,17,3,history_cost,Multi-feature k-means,0.7717391304347826,0.5446737194930344,0.5553500579538704,2,2
aligned,medium,0.25,17,3,history_cost,LE-GRA MVP,0.5362318840579711,0.07706776738596575,0.13973770056427115,2,2
aligned,medium,0.25,17,3,history_cost,Multi-feature k-means,0.4927536231884058,0.0,0.0,2,1
aligned,medium,0.25,17,3,history_cost,LE-GRA MVP,0.6557971014492754,0.3146889702038682,0.3781330851756802,2,2
aligned,medium,0.25,17,3,history_cost,Multi-feature k-means,0.8333333333333334,0.6609879839786382,0.665725436739322,3,3
aligned,medium,0.25,17,3,history_cost,LE-GRA MVP,0.6739130434782609,0.33200666917657184,0.45700992756578834,3,3
aligned,medium,0.25,17,3,history_cost,Multi-feature k-means,0.5,-0.013463892288861653,0.02609110951771466,3,3
aligned,medium,0.25,17,3,history_cost,LE-GRA MVP,0.5108695652173914,0.020607717379875896,0.031958970573819356,3,2
aligned,medium,0.25,17,3,history_cost,Multi-feature k-means,0.7717391304347826,0.0,0.0,2,1
aligned,medium,0.25,17,3,history_cost,LE-GRA MVP,0.7717391304347826,0.2751375687843922,0.12094028718558124,2,2
aligned,medium,0.25,17,3,history_cost,Multi-feature k-means,0.5072463768115942,0.03837679971307068,0.12055713551106072,2,3
aligned,medium,0.25,17,3,history_cost,LE-GRA MVP,0.5108695652173914,0.03481504507304948,0.0840614267414,2,2
aligned,medium,0.25,17,3,history_cost,Multi-feature k-means,0.572463768115942,0.14109393955377397,0.24884217350087404,3,2
aligned,medium,0.25,17,3,history_cost,LE-GRA MVP,0.5289855072463768,0.01854587231248976,0.11987848839879267,3,3
aligned,medium,0.25,17,3,history_cost,Multi-feature k-means,0.7971014492753623,0.5441514776145815,0.6250750516070839,3,3
aligned,medium,0.25,17,3,history_cost,LE-GRA MVP,0.8152173913043478,0.6288366206096403,0.6435490883103727,3,2
aligned,medium,0.25,17,3,history_cost,Multi-feature k-means,0.6231884057971014,0.24171818037723883,0.32159813788225333,3,2
aligned,medium,0.25,17,3,history_cost,LE-GRA MVP,0.5942028985507246,0.1966318415718073,0.30062449010751735,3,2
aligned,medium,0.25,17,3,history_cost,Multi-feature k-means,0.9166666666666666,0.8330703692016408,0.7900600366396731,2,2
aligned,medium,0.25,17,3,history_cost,LE-GRA MVP,0.7717391304347826,0.543238415467059,0.4602273904323098,2,2
aligned,medium,0.25,17,3,history_cost,Multi-feature k-means,0.48188405797101447,-0.021745883814849314,0.08688121350492906,3,2
aligned,medium,0.25,17,3,history_cost,LE-GRA MVP,0.4963768115942029,0.03384708371109101,0.12420409690066377,3,3
aligned,medium,0.25,17,3,history_cost,Multi-feature k-means,0.8405797101449275,0.0,0.0,2,1
aligned,medium,0.25,17,3,history_cost,LE-GRA MVP,0.7101449275362319,0.31952662721893504,0.31798144109080173,2,2
aligned,medium,0.25,17,3,history_cost,Multi-feature k-means,0.6014492753623188,0.207269309102303,0.4012134853388227,2,3
