scenario_mode,load_level,rb_budget_ratio,seed,feature_mode,feature_label,method,utility,adr_kbps,used_spectral_efficiency,system_spectral_efficiency,served_ratio,unserved_ratio,average_quality,rb_utilization,avg_switching,fairness,avg_groups,kmax
aligned,medium,0.25,9,history_cost,+ resource-cost,LE-GRA MVP,0.7317523145943521,4596.770833333333,34.286438014599774,24.516111111111112,1.0,0.0,3.3791666666666673,0.804,0.09833333333333333,0.8523329962039593,2.1,3
aligned,medium,0.25,9,full,full feature,LE-GRA MVP,0.7369937847929895,4630.104166666666,32.03479969820602,24.693888888888893,1.0,0.0,3.4,0.8520000000000001,0.09833333333333334,0.8627705563710097,2.25,3
aligned,medium,0.25,17,history_only,CQI/history only,LE-GRA MVP,0.8121094889438952,5498.75,37.67090483346024,29.32666666666667,1.0,0.0,3.8541666666666665,0.812,0.08875000000000001,0.901737126397754,2.1,3
aligned,medium,0.25,17,history_cost,+ resource-cost,LE-GRA MVP,0.8132030695004824,5545.312500000001,37.106876104693775,29.574999999999996,1.0,0.0,3.8854166666666665,0.8280000000000001,0.09416666666666668,0.9022968233515861,2.05,3
aligned,medium,0.25,17,full,full feature,LE-GRA MVP,0.8127655535207948,5300.833333333334,37.036433143469864,28.27111111111111,1.0,0.0,3.772916666666667,0.8039999999999999,0.07583333333333334,0.921805918241405,2.1,3
aligned,medium,0.25,23,history_only,CQI/history only,LE-GRA MVP,0.8263309281293705,5498.75,35.74448636015247,29.326666666666664,1.0,0.0,3.895833333333333,0.842,0.07791666666666666,0.9312024020015863,2.25,3
aligned,medium,0.25,23,history_cost,+ resource-cost,LE-GRA MVP,0.8292794034245897,5461.25,34.35458606222925,29.126666666666665,1.0,0.0,3.8895833333333334,0.8659999999999999,0.07666666666666666,0.9339953655341142,2.35,3
aligned,medium,0.25,23,full,full feature,LE-GRA MVP,0.829239004623674,5553.124999999999,39.18993454648506,29.616666666666667,1.0,0.0,3.925,0.8220000000000001,0.08041666666666666,0.9218138832234019,2.15,3
aligned,heavy,0.1,9,history_only,CQI/history only,LE-GRA MVP,0.49935997874797045,2503.1250000000005,42.975771604938274,33.37500000000001,1.0,0.0,2.3270833333333334,0.82,0.16624999999999998,0.8863690570085995,1.5,3
aligned,heavy,0.1,9,history_cost,+ resource-cost,LE-GRA MVP,0.502481091948157,2516.041666666667,43.27863756613757,33.547222222222224,1.0,0.0,2.3354166666666667,0.825,0.16458333333333333,0.8709987887800349,1.55,3
aligned,heavy,0.1,9,full,full feature,LE-GRA MVP,0.49795385304947554,2501.7708333333335,43.001322751322746,33.35694444444444,1.0,0.0,2.3229166666666665,0.8299999999999998,0.16708333333333333,0.8669183559464093,1.65,3
aligned,heavy,0.1,17,history_only,CQI/history only,LE-GRA MVP,0.6315029194384435,3519.791666666667,57.54938271604938,46.93055555555556,1.0,0.0,2.9208333333333334,0.825,0.14291666666666666,0.934268837268007,1.25,3
aligned,heavy,0.1,17,history_cost,+ resource-cost,LE-GRA MVP,0.6331016383921351,3516.25,57.50169753086419,46.88333333333334,1.0,0.0,2.925,0.825,0.14208333333333337,0.9365835757334295,1.3,3
