method,utility,adr_kbps,used_spectral_efficiency,system_spectral_efficiency,served_ratio,unserved_ratio,average_quality,rb_utilization,avg_switching,fairness,avg_groups,scenario_mode,load_level,rb_budget_ratio,kmax,seed
LE-GRA MVP,0.8623678838698497,6022.604166666666,32.06544592431474,16.060277777777777,1.0,0.0,4.139583333333333,0.5799999999999998,0.0975,0.9370201811427986,2.6,aligned,light,0.5,3,23
No grouping,0.581581123754992,3787.5,39.649866215655685,20.2,1.0,0.0,2.9,0.536,0.1866666666666667,1.0,1.0,aligned,medium,0.25,3,9
CQI k-means,0.7345221357222288,4532.8125,32.310081953071084,24.175,1.0,0.0,3.3270833333333334,0.8380000000000001,0.08374999999999999,0.842368786649474,2.15,aligned,medium,0.25,3,9
Resource-cost k-means,0.7299543962782106,4544.479166666666,39.94015920299579,24.237222222222222,0.9979166666666668,0.0020833333333333316,3.3884057971014494,0.736,0.10916666666666666,0.9109061064901937,2.0,aligned,medium,0.25,3,9
Multi-feature k-means,0.732944882633241,4659.0625,36.07396072962196,24.848333333333336,1.0,0.0,3.4333333333333345,0.796,0.10833333333333335,0.8562281775834117,1.95,aligned,medium,0.25,3,9
Offline teacher,0.7528142819084678,4797.708333333334,27.948291720692076,25.587777777777774,1.0,0.0,3.5125,0.9399999999999998,0.10500000000000001,0.8717684641297969,2.45,aligned,medium,0.25,3,9
LE-GRA MVP,0.7373139233740847,4646.145833333334,32.48974048373559,24.779444444444444,1.0,0.0,3.3958333333333335,0.8360000000000001,0.09416666666666666,0.8411505895625394,2.25,aligned,medium,0.25,3,9
No grouping,0.7472256992991264,5347.5,57.65312026232742,28.520000000000003,1.0,0.0,3.8,0.534,0.15791666666666668,1.0,1.0,aligned,medium,0.25,3,17
CQI k-means,0.8106783019504608,5275.416666666666,36.531967564144686,28.135555555555555,1.0,0.0,3.7666666666666666,0.8220000000000001,0.07708333333333335,0.9024830828309245,2.1,aligned,medium,0.25,3,17
Resource-cost k-means,0.802603937854664,5753.854166666667,55.89295948695459,30.68722222222222,1.0,0.0,4.039583333333333,0.6519999999999999,0.1375,0.9448969760416759,1.55,aligned,medium,0.25,3,17
Multi-feature k-means,0.812580836367542,5460.625000000001,39.9044805612751,29.123333333333335,1.0,0.0,3.8541666666666665,0.786,0.09541666666666665,0.9172846720561869,1.9,aligned,medium,0.25,3,17
Offline teacher,0.8258143284663045,5653.020833333334,32.52590049656226,30.14944444444444,1.0,0.0,3.9833333333333334,0.942,0.09875000000000002,0.9122143925284127,2.5,aligned,medium,0.25,3,17
LE-GRA MVP,0.8121557010912455,5367.083333333334,35.49093166653057,28.624444444444446,1.0,0.0,3.814583333333334,0.8320000000000001,0.0825,0.9194329224207622,2.25,aligned,medium,0.25,3,17
No grouping,0.7172561278594498,5337.5,60.95812613312613,28.466666666666658,1.0,0.0,3.75,0.4640000000000001,0.16958333333333334,1.0,1.0,aligned,medium,0.25,3,23
CQI k-means,0.8264033863101374,5625.208333333333,44.83838090186076,30.00111111111111,1.0,0.0,3.9458333333333337,0.7459999999999999,0.08875000000000001,0.9133271497709252,1.85,aligned,medium,0.25,3,23
Resource-cost k-means,0.8240914109381198,5915.625,57.215446740256525,31.55,1.0,0.0,4.15,0.664,0.12541666666666668,0.9419550490050259,1.65,aligned,medium,0.25,3,23
Multi-feature k-means,0.8327466531178297,5535.833333333334,39.67767604524158,29.52444444444444,1.0,0.0,3.9041666666666663,0.8,0.07541666666666666,0.9183210863564609,2.2,aligned,medium,0.25,3,23
Offline teacher,0.8390077298152695,5793.020833333333,33.11986990766882,30.896111111111118,1.0,0.0,4.045833333333334,0.9400000000000001,0.09291666666666668,0.9255264724558148,2.55,aligned,medium,0.25,3,23
LE-GRA MVP,0.8354685681973271,5706.041666666666,38.83906626140428,30.43222222222222,1.0,0.0,3.977083333333334,0.844,0.08083333333333334,0.9100987178902484,2.3,aligned,medium,0.25,3,23
No grouping,0.39634698792802964,2247.5,40.19444444444444,29.96666666666666,1.0,0.0,2.05,0.7049999999999998,0.22333333333333333,1.0,1.0,aligned,heavy,0.1,3,9
CQI k-means,0.5030090645607787,2524.895833333333,43.34446649029982,33.66527777777778,1.0,0.0,2.34375,0.82,0.16291666666666665,0.8822724775325577,1.5,aligned,heavy,0.1,3,9
Resource-cost k-means,0.4995407010255337,2471.458333333333,42.38688271604938,32.952777777777776,0.9937500000000001,0.00625,2.3605648880105403,0.8299999999999998,0.16083333333333333,0.9242433839894799,1.7,aligned,heavy,0.1,3,9
Multi-feature k-means,0.5041578665018797,2501.875,42.9179012345679,33.358333333333334,0.9979166666666668,0.0020833333333333316,2.3528079710144927,0.8300000000000001,0.16083333333333333,0.8948441774286611,1.6,aligned,heavy,0.1,3,9
Offline teacher,0.5396916562545064,2629.375,44.217592592592595,35.05833333333333,0.99375,0.006249999999999994,2.483967391304348,0.8549999999999999,0.13666666666666666,0.8886711620294356,1.65,aligned,heavy,0.1,3,9
LE-GRA MVP,0.49226660704917913,2461.979166666667,42.89801587301588,32.82638888888889,1.0,0.0,2.3020833333333335,0.8049999999999999,0.17124999999999999,0.8897301326981358,1.55,aligned,heavy,0.1,3,9
No grouping,0.585505731363485,3417.5,56.658333333333324,45.56666666666667,1.0,0.0,2.8,0.755,0.16791666666666666,1.0,1.0,aligned,heavy,0.1,3,17
CQI k-means,0.6235893675658963,3521.770833333333,57.72893518518517,46.956944444444446,1.0,0.0,2.904166666666667,0.8150000000000001,0.14625000000000002,0.9183858134574384,1.25,aligned,heavy,0.1,3,17
Resource-cost k-means,0.629171625126703,3507.6041666666665,57.25694444444444,46.76805555555556,1.0,0.0,2.9145833333333337,0.835,0.1441666666666667,0.9497658880109074,1.35,aligned,heavy,0.1,3,17
