scenario_id,timestamp_s,ue_id,user_index,cqi_now,previous_quality,distance_m,mean_resource_cost
simu5g_00000364,19.5,0,0,14,1,99.13691980632139,3.166667
simu5g_00000364,19.5,1,1,14,2,105.68488300238758,3.166667
simu5g_00000364,19.5,2,2,14,2,119.51068660551996,3.166667
simu5g_00000364,19.5,3,3,14,1,145.90561439707128,3.333333
simu5g_00000364,19.5,4,4,13,2,161.283332013747,3.333333
simu5g_00000366,19.6,0,0,14,1,98.81299154989678,3.166667
simu5g_00000366,19.6,1,1,13,2,105.24224926476755,3.333333
simu5g_00000366,19.6,2,2,14,2,118.84016287136515,3.166667
simu5g_00000366,19.6,3,3,14,1,145.44474829677932,3.333333
simu5g_00000366,19.6,4,4,13,2,161.120055545952,3.333333
simu5g_00000368,19.7,0,0,14,1,98.49708778032087,3.166667
simu5g_00000368,19.7,1,1,13,2,104.80785684146558,3.333333
simu5g_00000368,19.7,2,2,14,2,118.16882535949624,3.166667
simu5g_00000368,19.7,3,3,14,1,144.98125731161605,3.166667
simu5g_00000368,19.7,4,4,13,2,160.95156334362926,3.333333
simu5g_00000370,19.8,0,0,14,1,98.18947640108593,3.166667
simu5g_00000370,19.8,1,1,13,2,104.37791594466043,3.333333
simu5g_00000370,19.8,2,2,14,2,117.49737862837932,3.166667
simu5g_00000370,19.8,3,3,15,1,144.5134731245944,3.166667
simu5g_00000370,19.8,4,4,13,2,160.7772658996077,3.333333
simu5g_00000372,19.9,0,0,14,1,97.89138848033015,3.166667
simu5g_00000372,19.9,1,1,13,2,103.95355664827588,3.333333
simu5g_00000372,19.9,2,2,14,2,116.82689379657863,3.166667
simu5g_00000372,19.9,3,3,15,1,144.04082156563814,3.166667
simu5g_00000372,19.9,4,4,12,2,160.59713588317717,3.333333
simu5g_00000374,20.0,0,0,14,1,97.60160966947701,3.166667
simu5g_00000374,20.0,1,1,13,2,103.53810074954076,3.333333
simu5g_00000374,20.0,2,2,15,2,116.15797619576169,3.166667
simu5g_00000374,20.0,3,3,15,1,143.5645692874433,3.166667
simu5g_00000374,20.0,4,4,12,2,160.41261206013078,3.333333
simu5g_00000376,20.1,0,0,15,1,97.32020893034166,3.166667
simu5g_00000376,20.1,1,1,13,2,103.12790984902168,3.333333
simu5g_00000376,20.1,2,2,15,2,115.48895492857109,3.166667
simu5g_00000376,20.1,3,3,15,1,143.0824863412454,3.166667
simu5g_00000376,20.1,4,4,12,2,160.22468348592855,3.333333
simu5g_00000378,20.2,0,0,15,1,97.04878087129738,3.166667
simu5g_00000378,20.2,1,1,13,2,102.7257069604399,3.333333
simu5g_00000378,20.2,2,2,15,2,114.82283405904577,3.166667
simu5g_00000378,20.2,3,3,15,1,142.5979859361021,3.166667
simu5g_00000378,20.2,4,4,12,2,160.03322242843421,3.333333
simu5g_00000380,20.3,0,0,15,1,96.78579413329729,3.166667
simu5g_00000380,20.3,1,1,13,2,102.33032688724205,3.333333
simu5g_00000380,20.3,2,2,15,2,114.15886326031318,3.166667
simu5g_00000380,20.3,3,3,15,1,142.10731967268504,3.166667
simu5g_00000380,20.3,4,4,12,2,159.83628777220687,3.333333
simu5g_00000382,20.4,0,0,15,1,96.53294599437334,3.166667
simu5g_00000382,20.4,1,1,14,2,101.94196601834818,3.166667
simu5g_00000382,20.4,2,2,15,2,113.49812872753822,3.166667
simu5g_00000382,20.4,3,3,15,1,141.61053746228635,3.166667
simu5g_00000382,20.4,4,4,12,2,159.63337702275504,3.333333
simu5g_00000384,20.5,0,0,15,1,96.28926632226084,3.166667
simu5g_00000384,20.5,1,1,14,2,101.561222524324,3.166667
simu5g_00000384,20.5,2,2,15,2,112.83982256523916,3.166667
simu5g_00000384,20.5,3,3,15,1,141.10896826708247,3.166667
simu5g_00000384,20.5,4,4,12,2,159.42648038948084,3.333333
simu5g_00000386,20.6,0,0,15,1,96.05381316623138,3.166667
simu5g_00000386,20.6,1,1,14,2,101.18761890841702,3.166667
simu5g_00000386,20.6,2,2,15,2,112.184713134097,3.166667
simu5g_00000386,20.6,3,3,15,1,140.6047945053225,3.166667
simu5g_00000386,20.6,4,4,12,2,159.21469805616582,3.333333
simu5g_00000388,20.7,0,0,15,1,95.82766527266728,3.166667
simu5g_00000388,20.7,1,1,14,2,100.82126931553329,3.166667
simu5g_00000388,20.7,2,2,15,2,111.53366410558466,3.166667
simu5g_00000388,20.7,3,3,15,1,140.0951894890653,3.166667
simu5g_00000388,20.7,4,4,12,2,158.99976737184045,3.333333
simu5g_00000390,20.8,0,0,15,1,95.61154964235023,3.166667
simu5g_00000390,20.8,1,1,15,2,100.46209767052714,3.166667
simu5g_00000390,20.8,2,2,15,2,110.89469435143623,3.166667
simu5g_00000390,20.8,3,3,15,1,139.58304517665565,3.166667
simu5g_00000390,20.8,4,4,12,2,158.78091688599193,3.333333
simu5g_00000392,20.9,0,0,12,1,95.40501340553854,3.333333
simu5g_00000392,20.9,1,1,15,1,100.11151294039168,3.166667
simu5g_00000392,20.9,2,2,15,1,110.26800268276067,3.166667
simu5g_00000392,20.9,3,3,15,1,139.06652584045935,3.166667
simu5g_00000392,20.9,4,4,12,1,158.55830671031416,3.333333
