scenario_index,feature_mode,users,rbs,rb_budget_ratio,cqi_min,cqi_max,cqi_span,mean_cost_std,max_same_cqi_cost_std,teacher_groups,cqi_groups,resource_groups,multifeature_groups,teacher_gain_vs_no_grouping,teacher_gain_vs_cqi,resource_gain_vs_cqi,multifeature_gain_vs_cqi,resource_gap_vs_teacher,multifeature_gap_vs_teacher,cqi_pairwise_vs_teacher,resource_pairwise_vs_teacher,multifeature_pairwise_vs_teacher,teacher_utility,cqi_utility,resource_utility,multifeature_utility,no_grouping_utility,split,seed,accepted,acceptance_score,selected
12,history_cost_quality,12,72,0.4166666666666667,7,14,7,0.01605026373116065,0.00191934304997419,2,1,1,1,0.007565093041894788,0.007565093041894788,0.0,0.0,0.007565093041894788,0.007565093041894788,0.696969696969697,0.696969696969697,0.696969696969697,0.8742317597085615,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,train,13,0,0.15769322941175426,0
13,history_cost_quality,12,72,0.4166666666666667,5,12,7,0.03838492222016997,0.0071555698267713784,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8624114449836072,0.8624114449836072,0.8624114449836072,0.8624114449836072,0.8624114449836072,train,13,0,0.14250444943937,0
14,history_cost_quality,12,72,0.4166666666666667,7,13,6,0.02198989466641841,0.001157407407407409,2,1,1,1,0.0021276108415297923,0.0021276108415297923,0.0,0.0,0.0021276108415297923,0.0021276108415297923,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.864539055825137,0.8624114449836072,0.8624114449836072,0.8624114449836072,0.8624114449836072,train,13,0,0.1251922169860346,0
15,history_cost_quality,12,72,0.4166666666666667,7,13,6,0.023596323689809972,0.003934428637031468,2,1,1,1,0.005141917071038615,0.005141917071038615,0.0,0.0,0.005141917071038615,0.005141917071038615,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.8551419170710387,0.8500000000000001,0.8500000000000001,0.8500000000000001,0.8500000000000001,train,13,0,0.1329463634327979,0
16,history_cost_quality,12,72,0.4166666666666667,7,13,6,0.014439272693826655,0.006339381452606091,2,1,1,1,0.005141917071038615,0.005141917071038615,0.0,0.0,0.005141917071038615,0.005141917071038615,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.8801419170710387,0.8750000000000001,0.8750000000000001,0.8750000000000001,0.8750000000000001,train,13,0,0.133788096918249,0
17,history_cost_quality,12,72,0.4166666666666667,8,12,4,0.01660744077934482,0.006944444444444434,2,1,1,1,0.0027187411001823314,0.0027187411001823314,0.0,0.0,0.0027187411001823314,0.0027187411001823314,0.5151515151515151,0.5151515151515151,0.5151515151515151,0.8777187411001824,0.8750000000000001,0.8750000000000001,0.8750000000000001,0.8750000000000001,train,13,0,0.0885477230309658,0
18,history_cost_quality,12,72,0.4166666666666667,8,13,5,0.016615281082290784,0.006014065304058604,2,1,1,1,0.009988269012750961,0.009988269012750961,0.0,0.0,0.009988269012750961,0.009988269012750961,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8683216023460845,0.8583333333333335,0.8583333333333335,0.8583333333333335,0.8583333333333335,train,13,0,0.12457852813511018,0
19,history_cost_quality,12,72,0.4166666666666667,8,13,5,0.011254592705104031,0.006014065304058604,2,2,2,2,0.012115879854280753,0.011820314724954262,0.011820314724954262,0.011820314724954262,0.0,0.0,0.696969696969697,1.0,1.0,0.8537825465209474,0.8419622317959932,0.8537825465209474,0.8537825465209474,0.8416666666666667,train,13,1,0.14892817032818678,1
20,history_cost_quality,12,72,0.4166666666666667,9,14,5,0.009129752751696942,0.003934428637031468,2,2,2,2,0.014539055825136926,-0.004846351941712346,-0.007269527912568408,-0.009692703883424691,0.002423175970856062,0.004846351941712346,0.696969696969697,0.8333333333333334,0.696969696969697,0.9062057224918036,0.911052074433516,0.9037825465209476,0.9013593705500913,0.8916666666666667,train,13,0,0.09919619164919041,0
21,history_cost_quality,12,72,0.4166666666666667,8,14,6,0.015340197030919019,0.0021824283369955167,3,1,1,1,0.011820314724954484,0.011820314724954484,0.0,0.0,0.011820314724954484,0.011820314724954484,0.5606060606060606,0.5606060606060606,0.5606060606060606,0.882565093041895,0.8707447783169405,0.8707447783169405,0.8707447783169405,0.8707447783169405,train,13,0,0.147359558049096,0
