load_level,seed,split,scenario_index,teacher_k,group_index,group_size
medium,9,test,7,2,1,20
medium,9,test,8,1,0,24
medium,9,test,9,1,0,24
medium,9,test,10,2,0,16
medium,9,test,10,2,1,8
medium,9,test,11,2,0,16
medium,9,test,11,2,1,8
medium,9,test,12,3,0,17
medium,9,test,12,3,1,3
medium,9,test,12,3,2,4
medium,9,test,13,3,0,13
medium,9,test,13,3,1,10
medium,9,test,13,3,2,1
medium,9,test,14,2,0,3
medium,9,test,14,2,1,21
medium,9,test,15,3,0,11
medium,9,test,15,3,1,11
medium,9,test,15,3,2,2
medium,9,test,16,1,0,24
medium,9,test,17,2,0,2
medium,9,test,17,2,1,22
medium,9,test,18,3,0,14
medium,9,test,18,3,1,9
medium,9,test,18,3,2,1
medium,9,test,19,3,0,13
medium,9,test,19,3,1,7
medium,9,test,19,3,2,4
medium,17,train,0,3,0,20
medium,17,train,0,3,1,2
medium,17,train,0,3,2,2
medium,17,train,1,1,0,24
medium,17,train,2,2,0,15
medium,17,train,2,2,1,9
medium,17,train,3,2,0,6
medium,17,train,3,2,1,18
medium,17,train,4,2,0,5
medium,17,train,4,2,1,19
medium,17,train,5,3,0,16
medium,17,train,5,3,1,6
medium,17,train,5,3,2,2
medium,17,train,6,3,0,1
medium,17,train,6,3,1,15
medium,17,train,6,3,2,8
medium,17,train,7,3,0,3
medium,17,train,7,3,1,14
medium,17,train,7,3,2,7
medium,17,train,8,3,0,1
medium,17,train,8,3,1,21
medium,17,train,8,3,2,2
medium,17,train,9,2,0,9
medium,17,train,9,2,1,15
medium,17,train,10,2,0,10
medium,17,train,10,2,1,14
medium,17,train,11,3,0,14
medium,17,train,11,3,1,9
medium,17,train,11,3,2,1
medium,17,train,12,2,0,11
medium,17,train,12,2,1,13
medium,17,train,13,2,0,16
medium,17,train,13,2,1,8
medium,17,train,14,2,0,5
medium,17,train,14,2,1,19
medium,17,train,15,3,0,2
medium,17,train,15,3,1,1
medium,17,train,15,3,2,21
medium,17,train,16,2,0,8
medium,17,train,16,2,1,16
medium,17,train,17,1,0,24
medium,17,train,18,3,0,1
medium,17,train,18,3,1,20
medium,17,train,18,3,2,3
medium,17,train,19,2,0,17
medium,17,train,19,2,1,7
medium,17,train,20,3,0,2
medium,17,train,20,3,1,5
medium,17,train,20,3,2,17
medium,17,train,21,3,0,1
medium,17,train,21,3,1,22
medium,17,train,21,3,2,1
medium,17,train,22,3,0,20
medium,17,train,22,3,1,3
medium,17,train,22,3,2,1
medium,17,train,23,2,0,11
medium,17,train,23,2,1,13
medium,17,train,24,3,0,16
medium,17,train,24,3,1,6
medium,17,train,24,3,2,2
medium,17,train,25,3,0,17
medium,17,train,25,3,1,3
medium,17,train,25,3,2,4
medium,17,train,26,2,0,15
medium,17,train,26,2,1,9
medium,17,train,27,3,0,9
medium,17,train,27,3,1,9
medium,17,train,27,3,2,6
medium,17,train,28,3,0,12
medium,17,train,28,3,1,10
medium,17,train,28,3,2,2
medium,17,train,29,2,0,20
medium,17,train,29,2,1,4
medium,17,train,30,3,0,21
medium,17,train,30,3,1,1
medium,17,train,30,3,2,2
medium,17,train,31,3,0,4
medium,17,train,31,3,1,18
medium,17,train,31,3,2,2
medium,17,train,32,2,0,23
medium,17,train,32,2,1,1
medium,17,train,33,3,0,1
medium,17,train,33,3,1,21
medium,17,train,33,3,2,2
medium,17,train,34,3,0,6
medium,17,train,34,3,1,9
medium,17,train,34,3,2,9
medium,17,train,35,2,0,12
medium,17,train,35,2,1,12
medium,17,train,36,3,0,20
medium,17,train,36,3,1,2
medium,17,train,36,3,2,2
medium,17,train,37,3,0,11
medium,17,train,37,3,1,9
medium,17,train,37,3,2,4
medium,17,train,38,3,0,6
medium,17,train,38,3,1,2
medium,17,train,38,3,2,16
medium,17,train,39,3,0,17
medium,17,train,39,3,1,3
medium,17,train,39,3,2,4
medium,17,test,0,3,0,10
medium,17,test,0,3,1,13
medium,17,test,0,3,2,1
medium,17,test,1,2,0,1
medium,17,test,1,2,1,23
medium,17,test,2,2,0,10
medium,17,test,2,2,1,14
medium,17,test,3,2,0,12
medium,17,test,3,2,1,12
medium,17,test,4,3,0,1
medium,17,test,4,3,1,1
medium,17,test,4,3,2,22
medium,17,test,5,2,0,13
medium,17,test,5,2,1,11
medium,17,test,6,3,0,3
medium,17,test,6,3,1,2
medium,17,test,6,3,2,19
medium,17,test,7,3,0,4
medium,17,test,7,3,1,17
medium,17,test,7,3,2,3
medium,17,test,8,3,0,5
medium,17,test,8,3,1,17
medium,17,test,8,3,2,2
medium,17,test,9,2,0,18
medium,17,test,9,2,1,6
medium,17,test,10,2,0,1
