load_level,seed,split,scenario_index,dispersion,teacher_k,teacher_group_ids,teacher_utility,no_group_utility,teacher_gain_over_no_group,top1_top2_gap,near_optimal_within_0.001,near_optimal_within_0.005,candidate_count
light,9,test,7,mid,3,0|1|2|0|2|1|2|0|1|0|0|0|0|1|2|0|0|0|2|0|1|0|0|1,0.8781028612459019,0.8708333333333332,0.00726952791256863,0.0012115879854280864,1,88,277
light,9,test,8,mid,3,0|1|0|2|0|1|1|0|1|1|1|2|1|1|0|0|1|1|1|1|1|1|1|1,0.868026037216758,0.8583333333333334,0.00969270388342458,0.0012115879854279754,1,69,277
light,9,test,9,mid,3,2|2|2|2|1|1|0|1|2|1|2|2|1|1|2|2|2|2|1|1|1|1|1|1,0.8853723891584705,0.8708333333333332,0.01453905582513726,0.0012115879854283085,1,87,277
light,9,test,10,high,3,0|1|1|0|0|0|0|0|0|0|1|1|0|0|0|0|1|0|0|0|0|0|2|0,0.6540868503512535,0.44343639169248766,0.2106504586587658,1.1102230246251565e-16,2,2,277
light,9,test,11,high,3,1|0|1|1|1|1|1|1|2|0|0|0|1|1|1|1|1|0|1|1|1|0|0|0,0.8048035308836793,0.7957447783169406,0.009058752566738715,0.002479359276466475,1,4,277
light,9,test,12,low,3,2|0|0|0|0|0|0|0|1|1|1|1|1|1|1|2|2|2|2|2|2|2|2|2,0.9043144492313298,0.8958333333333334,0.008481115897996383,0.0012115879854279754,1,20,277
light,9,test,13,high,3,0|0|0|1|0|1|0|1|1|0|1|2|0|1|1|0|0|0|1|0|0|0|0|1,0.649568089782934,0.40593639169248763,0.24363169809044638,0.0002488061040168965,2,2,277
light,9,test,14,mid,3,0|0|2|0|2|2|2|2|0|2|1|1|2|2|0|2|0|2|1|2|1|2|1|2,0.835224606593807,0.8291666666666666,0.006057939927140432,0.0012115879854280864,1,110,277
light,9,test,15,high,3,1|1|0|0|0|1|1|0|0|0|0|1|0|0|1|2|0|0|1|0|0|1|1|1,0.7154934075350076,0.4309363916924876,0.28455701584251997,0.002200659246499037,1,4,277
light,9,test,16,mid,3,1|0|2|0|0|1|1|1|2|1|2|0|1|1|0|0|2|2|2|0|1|1|0|2,0.8817376252021859,0.8708333333333332,0.010904291868852667,0.0012115879854279754,1,15,277
light,9,test,17,mid,3,0|0|1|1|1|2|1|1|1|1|2|1|1|2|1|2|1|2|2|2|2|2|1|1,0.888327467839709,0.875,0.01332746783970895,0.0012115879854279754,1,69,277
light,9,test,18,high,3,0|0|0|0|2|1|0|2|2|0|1|0|2|0|0|0|0|0|2|0|2|0|0|2,0.6250764968049344,0.3851030583591543,0.23997343844578006,0.0001534002200211937,2,2,277
light,9,test,19,high,3,0|0|0|1|0|0|1|1|2|0|0|1|0|0|0|0|0|0|2|0|0|0|0|0,0.7043907378909694,0.4309363916924876,0.2734543461984818,9.540588399570282e-05,6,6,277
light,17,train,0,low,3,0|0|0|1|1|1|1|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,0.934013018608379,0.9291666666666667,0.004846351941712346,0.0012115879854280864,1,277,277
light,17,train,1,mid,3,0|0|0|0|0|0|0|2|1|0|0|1|0|2|0|0|1|1|0|0|0|0|1|2,0.897724606593807,0.8916666666666666,0.006057939927140432,0.0012115879854279754,1,54,277
