method,utility,adr_kbps,used_spectral_efficiency,system_spectral_efficiency,served_ratio,unserved_ratio,average_quality,rb_utilization,avg_switching,fairness,avg_groups,scenario_mode,load_level,rb_budget_ratio,kmax,seed
CQI k-means,0.7299985650619728,4615.937499999999,35.8442785893973,24.618333333333332,1.0,0.0,3.395833333333333,0.7840000000000001,0.09833333333333334,0.8542909057225174,2.1,aligned,medium,0.25,3,9
Resource-cost k-means,0.7291845769109535,4594.895833333333,39.97931083839742,24.50611111111111,0.9979166666666668,0.0020833333333333316,3.415489130434783,0.7460000000000001,0.11541666666666668,0.9012297126776907,1.95,aligned,medium,0.25,3,9
Offline teacher,0.7528142819084678,4797.708333333334,27.948291720692076,25.587777777777774,1.0,0.0,3.5125,0.9399999999999998,0.10500000000000001,0.8717684641297969,2.45,aligned,medium,0.25,3,9
LE-GRA MVP,0.7127486712313883,4412.395833333334,33.19548350867287,23.532777777777774,1.0,0.0,3.3166666666666664,0.7859999999999999,0.11750000000000001,0.8715661757299445,1.9,aligned,medium,0.25,3,9
No grouping,0.7472256992991264,5347.5,57.65312026232742,28.520000000000003,1.0,0.0,3.8,0.534,0.15791666666666668,1.0,1.0,aligned,medium,0.25,3,17
CQI k-means,0.8175474040129581,5329.6875,38.994473641397015,28.425,1.0,0.0,3.7770833333333336,0.79,0.06750000000000002,0.8998797146304209,2.1,aligned,medium,0.25,3,17
Resource-cost k-means,0.808787805928924,5689.6875,56.93368009841224,30.345,1.0,0.0,4.014583333333333,0.64,0.12666666666666668,0.9360166096719837,1.5,aligned,medium,0.25,3,17
Offline teacher,0.8258143284663045,5653.020833333334,32.52590049656226,30.14944444444444,1.0,0.0,3.9833333333333334,0.942,0.09875000000000002,0.9122143925284127,2.5,aligned,medium,0.25,3,17
LE-GRA MVP,0.8020357191359242,5397.1875,37.9850693301599,28.785000000000004,1.0,0.0,3.8145833333333337,0.808,0.09416666666666669,0.9067970979755767,2.15,aligned,medium,0.25,3,17
No grouping,0.7172561278594498,5337.5,60.95812613312613,28.466666666666658,1.0,0.0,3.75,0.4640000000000001,0.16958333333333334,1.0,1.0,aligned,medium,0.25,3,23
CQI k-means,0.8309306332895755,5463.4375,38.701843767812974,29.138333333333332,1.0,0.0,3.864583333333333,0.8099999999999999,0.0675,0.9186959458287041,2.25,aligned,medium,0.25,3,23
Resource-cost k-means,0.8245006884765533,5940.416666666666,55.983804228179224,31.68222222222222,1.0,0.0,4.164583333333333,0.682,0.1266666666666667,0.9408538768979607,1.7,aligned,medium,0.25,3,23
Offline teacher,0.8390077298152695,5793.020833333333,33.11986990766882,30.896111111111118,1.0,0.0,4.045833333333334,0.9400000000000001,0.09291666666666668,0.9255264724558148,2.55,aligned,medium,0.25,3,23
LE-GRA MVP,0.8115521690802702,5583.229166666666,39.92256344374738,29.777222222222225,1.0,0.0,3.9145833333333337,0.806,0.0975,0.9010831016625026,2.1,aligned,medium,0.25,3,23
No grouping,0.39634698792802964,2247.5,40.19444444444444,29.96666666666666,1.0,0.0,2.05,0.7049999999999998,0.22333333333333333,1.0,1.0,aligned,heavy,0.1,3,9
CQI k-means,0.49920380832626093,2534.375,43.097993827160494,33.79166666666667,1.0,0.0,2.3375000000000004,0.8399999999999999,0.16416666666666666,0.8633779474774667,1.55,aligned,heavy,0.1,3,9
Resource-cost k-means,0.5090322351748929,2475.0,42.53811728395061,33.0,0.9979166666666668,0.0020833333333333316,2.361322463768116,0.8249999999999998,0.16083333333333333,0.9283665619904294,1.6,aligned,heavy,0.1,3,9
Offline teacher,0.5396916562545064,2629.375,44.217592592592595,35.05833333333333,0.99375,0.006249999999999994,2.483967391304348,0.8549999999999999,0.13666666666666666,0.8886711620294356,1.65,aligned,heavy,0.1,3,9
LE-GRA MVP,0.4829223486254183,2418.229166666667,42.15077711640211,32.24305555555556,1.0,0.0,2.277083333333333,0.7999999999999999,0.17625000000000002,0.9172086917283797,1.45,aligned,heavy,0.1,3,9
No grouping,0.585505731363485,3417.5,56.658333333333324,45.56666666666667,1.0,0.0,2.8,0.755,0.16791666666666666,1.0,1.0,aligned,heavy,0.1,3,17
CQI k-means,0.6299614440151493,3508.333333333333,57.576003086419746,46.777777777777786,1.0,0.0,2.916666666666667,0.8100000000000002,0.14375,0.9341837792327745,1.25,aligned,heavy,0.1,3,17
Resource-cost k-means,0.6314831508470189,3555.625,57.85648148148149,47.40833333333334,1.0,0.0,2.9270833333333335,0.8399999999999999,0.14166666666666666,0.9230642464135105,1.45,aligned,heavy,0.1,3,17
Offline teacher,0.6527619962869206,3598.541666666667,58.428703703703704,47.980555555555554,0.9958333333333333,0.004166666666666663,3.009782608695652,0.8399999999999999,0.12708333333333335,0.9300097267812106,1.4,aligned,heavy,0.1,3,17
LE-GRA MVP,0.62994713313255,3512.083333333333,57.4300925925926,46.82777777777778,1.0,0.0,2.916666666666667,0.825,0.14375000000000002,0.933422815192239,1.25,aligned,heavy,0.1,3,17
No grouping,0.5910631891259507,3642.5,59.160449735449745,48.56666666666667,1.0,0.0,2.9,0.78,0.18208333333333335,1.0,1.0,aligned,heavy,0.1,3,23
CQI k-means,0.6504657709575884,3927.604166666667,61.73833774250441,52.36805555555556,0.9979166666666666,0.0020833333333333316,3.095471014492754,0.8550000000000001,0.1429166666666667,0.9064794049740922,1.4,aligned,heavy,0.1,3,23
Resource-cost k-means,0.6456348030049152,3785.000000000001,60.76369047619047,50.46666666666666,0.99375,0.00625,3.0863095238095237,0.835,0.14500000000000002,0.9515971687477123,1.4,aligned,heavy,0.1,3,23
Offline teacher,0.6709675634487616,4073.229166666667,62.72347883597884,54.30972222222223,0.99375,0.00625,3.1999094202898553,0.8800000000000001,0.12791666666666668,0.9184608564052812,1.45,aligned,heavy,0.1,3,23
LE-GRA MVP,0.6497821621902398,3803.125,61.16214726631394,50.708333333333336,1.0,0.0,3.058333333333333,0.8300000000000001,0.14875000000000002,0.9189311196498393,1.3,aligned,heavy,0.1,3,23
No grouping,0.6898701289261754,5015.0,38.74544050090796,13.373333333333335,1.0,0.0,3.75,0.562,0.2579166666666667,1.0,1.0,ambiguous,light,0.5,3,9
CQI k-means,0.7707553127652803,5904.999999999999,32.14497389319959,15.746666666666666,1.0,0.0,4.122916666666667,0.679,0.22166666666666668,0.8832459381491123,2.3,ambiguous,light,0.5,3,9
Resource-cost k-means,0.7819082626383208,6143.333333333333,33.92750321162797,16.38222222222222,1.0,0.0,4.24375,0.708,0.23916666666666667,0.9056318780212613,2.2,ambiguous,light,0.5,3,9
Offline teacher,0.7929602354277356,5942.916666666666,21.246924827088367,15.847777777777775,1.0,0.0,4.137500000000001,0.817,0.20875,0.9071010431739795,3.0,ambiguous,light,0.5,3,9
LE-GRA MVP,0.7654597093264286,5928.124999999999,25.916174711891745,15.808333333333332,1.0,0.0,4.104166666666667,0.7589999999999999,0.22791666666666668,0.8866092595569077,2.4,ambiguous,light,0.5,3,9
No grouping,0.7972755432289418,6150.0,55.90351541622216,16.4,1.0,0.0,4.35,0.42699999999999994,0.22166666666666662,1.0,1.0,ambiguous,light,0.5,3,17
CQI k-means,0.8221306283551177,6378.645833333334,40.95197215016315,17.009722222222223,1.0,0.0,4.395833333333333,0.554,0.19416666666666668,0.9184546072391822,2.2,ambiguous,light,0.5,3,17
Resource-cost k-means,0.8294707326421662,6552.1875,44.32422213337027,17.4725,1.0,0.0,4.479166666666666,0.5720000000000001,0.2066666666666667,0.9362076023006335,2.1,ambiguous,light,0.5,3,17
Offline teacher,0.8438154485151941,6352.708333333334,27.618175184281018,16.940555555555555,1.0,0.0,4.364583333333332,0.688,0.17458333333333337,0.9419523762813709,2.9,ambiguous,light,0.5,3,17
LE-GRA MVP,0.8285227330401564,6429.895833333334,40.98850840474085,17.146388888888886,1.0,0.0,4.439583333333333,0.5980000000000001,0.2029166666666667,0.9436248013644697,2.05,ambiguous,light,0.5,3,17
No grouping,0.7812548205760318,6075.0,59.637450812653654,16.2,1.0,0.0,4.3,0.35300000000000004,0.2345833333333333,1.0,1.0,ambiguous,light,0.5,3,23
CQI k-means,0.8347037446384385,6536.874999999999,45.18584044695285,17.431666666666665,1.0,0.0,4.495833333333334,0.5870000000000001,0.20958333333333337,0.9370303683985037,2.15,ambiguous,light,0.5,3,23
Resource-cost k-means,0.8403663235920116,6724.479166666667,50.21070914362839,17.931944444444447,1.0,0.0,4.58125,0.5450000000000002,0.22416666666666668,0.9705863853596395,1.85,ambiguous,light,0.5,3,23
Offline teacher,0.8471083982621448,6500.520833333334,28.426242793672067,17.334722222222222,1.0,0.0,4.45625,0.674,0.19416666666666665,0.9542006455907117,2.85,ambiguous,light,0.5,3,23
LE-GRA MVP,0.8347917296571362,6650.625,47.63473953836458,17.735000000000003,1.0,0.0,4.558333333333334,0.562,0.21625,0.9362329726328497,2.0,ambiguous,light,0.5,3,23
No grouping,0.554212768819211,4495.0,39.375494467406234,23.973333333333336,1.0,0.0,3.3,0.6020000000000001,0.2895833333333333,1.0,1.0,ambiguous,medium,0.25,3,9
CQI k-means,0.7091218487337408,5440.208333333334,39.264116311544385,29.014444444444443,1.0,0.0,3.820833333333333,0.8400000000000001,0.21208333333333335,0.8330364840345267,1.9,ambiguous,medium,0.25,3,9
Resource-cost k-means,0.7167367600788115,5350.0,42.134050147836916,28.53333333333333,1.0,0.0,3.8583333333333334,0.792,0.22041666666666665,0.8982863023505745,1.75,ambiguous,medium,0.25,3,9
