dispersion,seed,scenario_index,method,utility,adr_kbps,served_ratio,average_quality,system_spectral_efficiency
high,12,9,Resource-cost k-means,0.5855220767139361,2664.0,1.0,2.64,29.6
high,12,9,Multi-feature k-means,0.5235480949738319,1974.0,1.0,2.18,21.933333333333334
high,12,9,Offline teacher,0.5899637549069108,2580.0,1.0,2.6,28.666666666666668
high,12,10,No grouping,0.12111306645419181,550.0,1.0,1.0,6.111111111111111
high,12,10,CQI k-means,0.4731423868042384,2598.0,1.0,2.12,28.866666666666667
high,12,10,Resource-cost k-means,0.45102892465881284,2160.0,1.0,2.1,24.0
high,12,10,Multi-feature k-means,0.4689038436505593,1894.0,1.0,2.04,21.044444444444444
high,12,10,Offline teacher,0.5005464321553742,2125.0,1.0,2.2,23.61111111111111
high,12,11,No grouping,0.12511306645419182,550.0,1.0,1.0,6.111111111111111
high,12,11,CQI k-means,0.43617232137376577,2228.0,1.0,1.92,24.755555555555556
high,12,11,Resource-cost k-means,0.45102892465881284,2160.0,1.0,2.1,24.0
high,12,11,Multi-feature k-means,0.45102892465881284,2160.0,1.0,2.1,24.0
high,12,11,Offline teacher,0.48985997534385384,2328.0,1.0,2.28,25.866666666666667
high,12,12,No grouping,0.1571130664541918,550.0,1.0,1.0,6.111111111111111
high,12,12,CQI k-means,0.36984607244174383,1780.0,1.0,1.6,19.77777777777778
high,12,12,Resource-cost k-means,0.37074911335399025,1240.0,1.0,1.6,13.777777777777779
high,12,12,Multi-feature k-means,0.37074911335399025,1240.0,1.0,1.6,13.777777777777779
high,12,12,Offline teacher,0.43096859748308164,1936.0,1.0,1.96,21.511111111111113
high,12,13,No grouping,0.11511306645419181,550.0,1.0,1.0,6.111111111111111
high,12,13,CQI k-means,0.5265107407426648,3168.0,1.0,2.46,35.2
high,12,13,Resource-cost k-means,0.5431566437439281,2335.0,1.0,2.4,25.944444444444443
high,12,13,Multi-feature k-means,0.5432604178250233,2116.0,1.0,2.32,23.511111111111113
high,12,13,Offline teacher,0.5756640798981894,3450.0,1.0,2.6,38.333333333333336
high,12,14,No grouping,0.13311306645419183,550.0,1.0,1.0,6.111111111111111
high,12,14,CQI k-means,0.41370293333871894,1579.0,1.0,1.84,17.544444444444444
high,12,14,Resource-cost k-means,0.4131415575354522,2048.0,1.0,1.98,22.755555555555556
high,12,14,Multi-feature k-means,0.4417872000365085,1726.0,1.0,1.96,19.177777777777777
high,12,14,Offline teacher,0.49557290150747624,2504.0,1.0,2.16,27.822222222222223
high,12,15,No grouping,0.15511306645419182,550.0,1.0,1.0,6.111111111111111
high,12,15,CQI k-means,0.4510107722429028,1788.0,1.0,1.92,19.866666666666667
high,12,15,Resource-cost k-means,0.3567491133539901,1240.0,1.0,1.6,13.777777777777779
