scenario_index,feature_mode,users,rbs,rb_budget_ratio,cqi_min,cqi_max,cqi_span,mean_cost_std,max_same_cqi_cost_std,teacher_groups,cqi_groups,resource_groups,multifeature_groups,teacher_gain_vs_no_grouping,teacher_gain_vs_cqi,resource_gain_vs_cqi,multifeature_gain_vs_cqi,resource_gap_vs_teacher,multifeature_gap_vs_teacher,cqi_pairwise_vs_teacher,resource_pairwise_vs_teacher,multifeature_pairwise_vs_teacher,teacher_utility,cqi_utility,resource_utility,multifeature_utility,no_grouping_utility,split,seed,accepted,acceptance_score,selected
30,history_cost_quality,12,72,0.2361111111111111,7,10,3,0.01544535503170215,0.009402822227587912,2,2,2,2,0.0475612635908802,0.011486098856325566,0.0,0.0,0.011486098856325566,0.011486098856325566,0.696969696969697,0.696969696969697,0.696969696969697,0.6030787750082318,0.5915926761519062,0.5915926761519062,0.5915926761519062,0.5555175114173516,train,9,0,0.04910353506498821,0
31,history_cost_quality,12,72,0.2361111111111111,7,10,3,0.014786857945012962,0.007155569826771382,2,2,2,2,0.03607516473455463,0.0,0.0,-0.02916375376634006,0.0,0.02916375376634006,1.0,1.0,0.8333333333333334,0.5665926761519063,0.5665926761519063,0.5665926761519063,0.5374289223855663,0.5305175114173517,train,9,0,0.019826474823970163,0
32,history_cost_quality,12,72,0.2361111111111111,8,10,2,0.012882567790944446,0.006644768562225616,2,2,1,2,0.06523891850089492,0.029163753766340283,-0.03607516473455463,-0.02916375376634006,0.06523891850089492,0.058327507532680345,0.8333333333333334,0.5151515151515151,0.696969696969697,0.6040897632515799,0.5749260094852396,0.538850844750685,0.5457622557188996,0.538850844750685,train,9,0,0.09260815892368443,0
33,history_cost_quality,12,72,0.2361111111111111,8,10,2,0.01309883188376926,0.00953299087128426,2,2,2,2,0.03607516473455463,0.0,0.0,-0.029163753766340172,0.0,0.029163753766340172,1.0,1.0,0.8333333333333334,0.5749260094852396,0.5749260094852396,0.5749260094852396,0.5457622557188995,0.538850844750685,train,9,0,0.02042083008509838,0
34,history_cost_quality,12,72,0.2361111111111111,8,10,2,0.007408512488299199,0.0047664954356421325,2,1,1,2,0.0234911611305213,0.0234911611305213,0.0,0.03607516473455474,0.0234911611305213,-0.012584003604033445,0.8333333333333334,0.8333333333333334,0.45454545454545453,0.5623420058812063,0.538850844750685,0.538850844750685,0.5749260094852398,0.538850844750685,train,9,1,0.08697590023612983,0
35,history_cost_quality,12,72,0.2361111111111111,8,10,2,0.013969033171475059,0.006814630298092476,2,2,2,2,0.04756126359088031,0.04064985262266574,0.0,0.0,0.04064985262266574,0.04064985262266574,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6030787750082319,0.5624289223855662,0.5624289223855662,0.5624289223855662,0.5555175114173516,train,9,1,0.10678399461529475,0
36,history_cost_quality,12,72,0.2361111111111111,8,10,2,0.01276067546955342,0.0060140653040586045,2,1,2,2,0.03607516473455474,0.03607516473455474,0.03607516473455474,0.006911410968214571,0.0,0.029163753766340172,0.4696969696969697,1.0,0.8333333333333334,0.5915926761519064,0.5555175114173516,0.5915926761519064,0.5624289223855662,0.5555175114173516,train,9,1,0.13295015112311717,0
37,history_cost_quality,12,72,0.2361111111111111,8,10,2,0.012554892048821745,0.006623566633252085,2,1,1,1,0.02349116113052141,0.02349116113052141,0.0,0.0,0.02349116113052141,0.02349116113052141,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.579008672547873,0.5555175114173516,0.5555175114173516,0.5555175114173516,0.5555175114173516,train,9,1,0.060383794484616546,0
38,history_cost_quality,12,72,0.2361111111111111,8,10,2,0.014847130713652668,0.005758029149922572,2,2,2,2,0.06523891850089492,0.017677654910014606,0.0,-0.04064985262266574,0.017677654910014606,0.058327507532680345,0.5909090909090909,0.5909090909090909,0.696969696969697,0.6290897632515798,0.6114121083415652,0.6114121083415652,0.5707622557188995,0.5638508447506849,train,9,1,0.06941427635795731,0
39,history_cost_quality,12,72,0.2361111111111111,8,10,2,0.01237427966047039,0.00664476856222561,2,2,2,2,0.09532307358736247,0.0,-0.05924790885280773,0.0,0.05924790885280773,0.0,1.0,0.8333333333333334,1.0,0.6508405850047141,0.6508405850047141,0.5915926761519064,0.6508405850047141,0.5555175114173516,train,9,0,0.04932272893423764,0
40,history_cost_quality,12,72,0.2361111111111111,8,10,2,0.014295530334605636,0.007378415486346862,1,1,1,1,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,1.0,1.0,1.0,0.7207447783169406,0.7207447783169404,0.7207447783169404,0.7207447783169404,0.7207447783169404,train,9,0,0.0018446038715872707,0
41,history_cost_quality,12,72,0.2361111111111111,8,10,2,0.012749005896495604,0.008202273003653273,2,2,2,2,0.006911410968214571,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5457622557188996,0.5457622557188996,0.5457622557188996,0.5457622557188996,0.538850844750685,train,9,0,0.005506273735020604,0
42,history_cost_quality,12,72,0.2361111111111111,8,10,2,0.01673133281058336,0.005964860521632002,2,2,2,2,0.04756126359088031,0.04064985262266563,0.0,0.0,0.04064985262266563,0.04064985262266563,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.5947454416748985,0.5540955890522329,0.5540955890522329,0.5540955890522329,0.5471841780840182,train,9,1,0.1065715521711794,0
43,history_cost_quality,12,72,0.2361111111111111,8,10,2,0.009796268461106965,0.008857002995235643,2,2,1,2,0.00691141096821446,-0.029163753766340172,-0.03607516473455463,-0.029163753766340172,0.00691141096821446,0.0,0.8333333333333334,0.45454545454545453,1.0,0.5457622557188995,0.5749260094852396,0.538850844750685,0.5457622557188995,0.538850844750685,train,9,0,-0.0526575512997642,0
44,history_cost_quality,12,72,0.2361111111111111,8,10,2,0.011514442577872985,0.0060140653040586045,1,1,2,1,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,1.1102230246251565e-16,1.0,0.45454545454545453,1.0,0.538850844750685,0.5388508447506849,0.538850844750685,0.5388508447506849,0.5388508447506849,train,9,0,0.0015035163260150397,0
45,history_cost_quality,12,72,0.2361111111111111,8,11,3,0.015957258377803672,0.008184106263733186,2,1,1,1,0.04698232226104271,0.04698232226104271,0.0,0.0,0.04698232226104271,0.04698232226104271,0.696969696969697,0.696969696969697,0.696969696969697,0.569166500345061,0.5221841780840183,0.5221841780840183,0.5221841780840183,0.5221841780840183,train,9,0,0.11950183221854006,0
46,history_cost_quality,12,72,0.2361111111111111,8,11,3,0.014665569296873618,0.007849918961950534,1,1,1,1,-2.220446049250313e-16,-2.220446049250313e-16,0.0,0.0,-2.220446049250313e-16,-2.220446049250313e-16,1.0,1.0,1.0,0.7540781116502738,0.754078111650274,0.754078111650274,0.754078111650274,0.754078111650274,train,9,0,0.0019624797404870784,0
47,history_cost_quality,12,72,0.2361111111111111,8,10,2,0.011727379748125516,0.007522257782070338,2,2,1,2,0.0234911611305213,-0.012584003604033445,-0.03607516473455474,-0.029163753766340172,0.0234911611305213,0.016579750162306728,0.45454545454545453,0.8333333333333334,0.4696969696969697,0.5706753392145396,0.5832593428185731,0.5471841780840183,0.5540955890522329,0.5471841780840183,train,9,0,-0.011541862197288656,0
48,history_cost_quality,12,72,0.2361111111111111,8,10,2,0.014126640903456528,0.005456070842488796,2,2,2,2,0.006911410968214682,1.1102230246251565e-16,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.0,1.0,1.0,0.5457622557188996,0.5457622557188995,0.5457622557188995,0.5457622557188995,0.5388508447506849,train,9,0,0.0048197231947297615,0
49,history_cost_quality,12,72,0.2361111111111111,8,11,3,0.014756629242982466,0.006268548151725279,2,2,2,2,0.04756126359088031,0.0,-0.04064985262266574,-0.04064985262266574,0.04064985262266574,0.04064985262266574,0.696969696969697,0.8333333333333334,0.8333333333333334,0.5780787750082319,0.5780787750082319,0.5374289223855662,0.5374289223855662,0.5305175114173516,train,9,0,0.025347768833371476,0
50,history_cost_quality,12,72,0.2361111111111111,8,10,2,0.009858744088873947,0.008661243950865597,2,1,1,2,0.023491161130521188,0.023491161130521188,0.0,0.00691141096821446,0.023491161130521188,0.016579750162306728,0.8333333333333334,0.8333333333333334,0.4696969696969697,0.5790086725478729,0.5555175114173517,0.5555175114173517,0.5624289223855662,0.5555175114173517,train,9,1,0.06607677204018021,0
51,history_cost_quality,12,72,0.2361111111111111,8,10,2,0.014765452340478095,0.006623566633252082,2,2,2,2,0.04756126359088031,0.0,0.0,-0.04064985262266574,0.0,0.04064985262266574,1.0,1.0,0.8333333333333334,0.6030787750082319,0.6030787750082319,0.6030787750082319,0.5624289223855662,0.5555175114173516,train,9,0,0.025436523453753176,0
52,history_cost_quality,12,72,0.2361111111111111,7,10,3,0.016580531594864428,0.006814630298092483,2,2,2,2,0.03607516473455474,0.0,-0.029163753766340172,-0.029163753766340172,0.029163753766340172,0.029163753766340172,1.0,0.8333333333333334,0.8333333333333334,0.5999260094852397,0.5999260094852397,0.5707622557188995,0.5707622557188995,0.5638508447506849,train,9,0,0.019741239941800492,0
53,history_cost_quality,12,72,0.2361111111111111,8,10,2,0.012865225309053293,0.00644832790610376,1,2,2,2,1.1102230246251565e-16,-0.03607516473455463,-0.03607516473455463,-0.02916375376634006,0.0,-0.006911410968214571,0.4696969696969697,0.5151515151515151,0.45454545454545453,0.5805175114173516,0.6165926761519063,0.5805175114173516,0.5874289223855662,0.5805175114173515,train,9,0,-0.07053824749258326,0
54,history_cost_quality,12,72,0.2361111111111111,7,10,3,0.016234676086927705,0.007868857274062944,2,2,2,2,0.03295773898702037,-0.032281179513874436,-0.032281179513874436,-0.058327507532680345,0.0,0.02604632801880591,0.8333333333333334,1.0,0.5909090909090909,0.5968085837377054,0.6290897632515798,0.5968085837377054,0.5707622557188995,0.563850844750685,train,9,0,-0.04611627521572295,0
55,history_cost_quality,12,72,0.2361111111111111,8,10,2,0.013580027705862684,0.006362817323484038,2,2,2,2,0.0475612635908802,0.04064985262266574,0.04064985262266574,0.0,0.0,0.04064985262266574,0.8333333333333334,1.0,0.8333333333333334,0.6197454416748985,0.5790955890522328,0.6197454416748985,0.5790955890522328,0.5721841780840183,train,9,1,0.1473208939943083,0
56,history_cost_quality,12,72,0.2361111111111111,7,10,3,0.00925121821626682,0.004488592460570668,2,2,1,2,0.04756126359088031,0.04064985262266574,-0.006911410968214571,0.0,0.04756126359088031,0.04064985262266574,0.8333333333333334,0.4696969696969697,0.8333333333333334,0.6030787750082319,0.5624289223855662,0.5555175114173516,0.5624289223855662,0.5555175114173516,train,9,0,0.1062024851559143,0
57,history_cost_quality,12,72,0.2361111111111111,8,10,2,0.015512665847236089,0.00883277038349024,2,1,1,1,0.046982322261042486,0.046982322261042486,0.0,0.0,0.046982322261042486,0.046982322261042486,0.696969696969697,0.696969696969697,0.696969696969697,0.6024998336783942,0.5555175114173517,0.5555175114173517,0.5555175114173517,0.5555175114173517,train,9,1,0.11966399824847877,0
58,history_cost_quality,12,72,0.2361111111111111,8,10,2,0.014154271857904428,0.010126855515745893,1,2,1,2,1.1102230246251565e-16,-0.00691141096821446,-0.006911410968214571,0.0,1.1102230246251565e-16,-0.00691141096821446,0.45454545454545453,1.0,0.45454545454545453,0.5555175114173517,0.5624289223855662,0.5555175114173516,0.5624289223855662,0.5555175114173516,train,9,0,-0.01129110805749239,0
59,history_cost_quality,12,72,0.2361111111111111,8,10,2,0.012888343432476902,0.005577481595216421,2,2,2,2,0.04756126359088031,0.04064985262266574,0.0,0.0,0.04064985262266574,0.04064985262266574,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.5947454416748986,0.5540955890522329,0.5540955890522329,0.5540955890522329,0.5471841780840183,train,9,1,0.10647470743957574,0
60,history_cost_quality,12,72,0.2361111111111111,8,10,2,0.016120819765259396,0.007400974573013454,2,2,2,2,0.04756126359088031,0.04064985262266574,0.0,0.0,0.04064985262266574,0.04064985262266574,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.5947454416748986,0.5540955890522329,0.5540955890522329,0.5540955890522329,0.5471841780840183,train,9,1,0.106930580684025,0
61,history_cost_quality,12,72,0.2361111111111111,8,10,2,0.01572352150641576,0.008101851851851853,2,2,2,2,0.0652389185008948,-0.030084155086467557,-0.05924790885280773,0.0,0.029163753766340172,-0.030084155086467557,0.696969696969697,0.8333333333333334,0.696969696969697,0.6290897632515798,0.6591739183380474,0.5999260094852397,0.6591739183380474,0.563850844750685,train,9,0,-0.025523387959524746,0
