dispersion,seed,scenario_index,method,utility,adr_kbps
low,1,16,CQI+resource-cost joint k-means (single clustering),0.9357446866990167,7398.0
low,1,16,"CQI+resource-cost hybrid (paper method, union)",0.9423357253397453,7012.666666666667
low,1,16,CQI+cost+joint 3-way union,0.9423357253397453,7012.666666666667
low,1,17,No grouping,0.9320000000000005,7500.0
low,1,17,CQI k-means,0.9399480171844086,7035.333333333333
low,1,17,CQI k-means (k-means++),0.9399480171844086,7035.333333333333
low,1,17,Resource-cost k-means,0.9331631244660112,7432.0
low,1,17,Resource-cost k-means (k-means++),0.9331631244660112,7432.0
low,1,17,Multi-feature k-means,0.9430496824271042,6854.0
low,1,17,Multi-feature k-means (k-means++),0.9430496824271042,6854.0
low,1,17,CQI+resource-cost joint k-means (single clustering),0.9404973585795358,6232.0
low,1,17,"CQI+resource-cost hybrid (paper method, union)",0.9399480171844086,7035.333333333333
low,1,17,CQI+cost+joint 3-way union,0.9404973585795358,6232.0
low,1,18,No grouping,0.9340000000000002,7500.0
low,1,18,CQI k-means,0.94175416310674,7046.666666666667
low,1,18,CQI k-means (k-means++),0.94175416310674,7046.666666666667
low,1,18,Resource-cost k-means,0.9340000000000002,7500.0
low,1,18,Resource-cost k-means (k-means++),0.9345815622330055,7466.0
low,1,18,Multi-feature k-means,0.9466005150484521,6763.333333333333
low,1,18,Multi-feature k-means (k-means++),0.9466005150484521,6763.333333333333
low,1,18,CQI+resource-cost joint k-means (single clustering),0.9349692703883424,7443.333333333333
low,1,18,"CQI+resource-cost hybrid (paper method, union)",0.94175416310674,7046.666666666667
low,1,18,CQI+cost+joint 3-way union,0.94175416310674,7046.666666666667
low,1,19,No grouping,0.934666666666667,7500.0
low,1,19,CQI k-means,0.9428085379287434,7024.0
low,1,19,CQI k-means (k-means++),0.9428085379287434,7024.0
low,1,19,Resource-cost k-means,0.934666666666667,7500.0
low,1,19,Resource-cost k-means (k-means++),0.9362174992880146,7409.333333333333
low,1,19,Multi-feature k-means,0.946127702459454,6752.0
low,1,19,Multi-feature k-means (k-means++),0.946127702459454,6752.0
low,1,19,CQI+resource-cost joint k-means (single clustering),0.938630023154645,6240.0
low,1,19,"CQI+resource-cost hybrid (paper method, union)",0.9428085379287434,7024.0
low,1,19,CQI+cost+joint 3-way union,0.9428085379287434,7024.0
low,2,0,No grouping,0.936,7500.0
