mode,dispersion,seed,scenario_index,method,utility
aligned,mid_v2,2,10,CQI+cost+RBprofile hybrid (3-way),0.7557503710855673
aligned,mid_v2,2,11,CQI k-means,0.6865175114173516
aligned,mid_v2,2,11,Multi-feature k-means,0.7313338122007742
aligned,mid_v2,2,11,CQI+cost hybrid (2-way),0.7017531674698808
aligned,mid_v2,2,11,CQI+cost+RBprofile hybrid (3-way),0.7017531674698808
aligned,mid_v2,2,12,CQI k-means,0.7631851497973969
aligned,mid_v2,2,12,Multi-feature k-means,0.7855736529948641
aligned,mid_v2,2,12,CQI+cost hybrid (2-way),0.8328382708561838
aligned,mid_v2,2,12,CQI+cost+RBprofile hybrid (3-way),0.8328382708561838
aligned,mid_v2,2,13,CQI k-means,0.6946863068716622
aligned,mid_v2,2,13,Multi-feature k-means,0.6791841780840182
aligned,mid_v2,2,13,CQI+cost hybrid (2-way),0.7077531674698808
aligned,mid_v2,2,13,CQI+cost+RBprofile hybrid (3-way),0.7245376444682851
aligned,mid_v2,2,14,CQI k-means,0.7225376444682851
aligned,mid_v2,2,14,Multi-feature k-means,0.7573642049976784
aligned,mid_v2,2,14,CQI+cost hybrid (2-way),0.7921907655270718
aligned,mid_v2,2,14,CQI+cost+RBprofile hybrid (3-way),0.7921907655270718
aligned,mid_v2,2,15,CQI k-means,0.714099587136359
aligned,mid_v2,2,15,Multi-feature k-means,0.6798508447506849
aligned,mid_v2,2,15,CQI+cost hybrid (2-way),0.714099587136359
aligned,mid_v2,2,15,CQI+cost+RBprofile hybrid (3-way),0.7215624215355146
aligned,mid_v2,2,16,CQI k-means,0.6988158079374845
aligned,mid_v2,2,16,Multi-feature k-means,0.7435928143324188
aligned,mid_v2,2,16,CQI+cost hybrid (2-way),0.7185599859743605
aligned,mid_v2,2,16,CQI+cost+RBprofile hybrid (3-way),0.7185599859743605
aligned,mid_v2,2,17,CQI k-means,0.708945309003307
aligned,mid_v2,2,17,Multi-feature k-means,0.7636727612637821
aligned,mid_v2,2,17,CQI+cost hybrid (2-way),0.7687288632560205
aligned,mid_v2,2,17,CQI+cost+RBprofile hybrid (3-way),0.7687288632560205
aligned,mid_v2,2,18,CQI k-means,0.6951243642035885
aligned,mid_v2,2,18,Multi-feature k-means,0.6871841780840182
aligned,mid_v2,2,18,CQI+cost hybrid (2-way),0.7330846365470052
aligned,mid_v2,2,18,CQI+cost+RBprofile hybrid (3-way),0.7330846365470052
aligned,mid_v2,2,19,CQI k-means,0.6989948631377659
aligned,mid_v2,2,19,Multi-feature k-means,0.741284258066315
aligned,mid_v2,2,19,CQI+cost hybrid (2-way),0.751234703931856
aligned,mid_v2,2,19,CQI+cost+RBprofile hybrid (3-way),0.751234703931856
aligned,mid_v2,3,0,CQI k-means,0.6911841780840183
aligned,mid_v2,3,0,Multi-feature k-means,0.7150252559346704
aligned,mid_v2,3,0,CQI+cost hybrid (2-way),0.7673154459053497
aligned,mid_v2,3,0,CQI+cost+RBprofile hybrid (3-way),0.7673154459053497
aligned,mid_v2,3,1,CQI k-means,0.7195128674010556
aligned,mid_v2,3,1,Multi-feature k-means,0.7468765935312932
aligned,mid_v2,3,1,CQI+cost hybrid (2-way),0.7593146508632196
aligned,mid_v2,3,1,CQI+cost+RBprofile hybrid (3-way),0.7593146508632196
aligned,mid_v2,3,2,CQI k-means,0.7366175913996483
aligned,mid_v2,3,2,Multi-feature k-means,0.7664689289962713
