dispersion,load,method,mean_utility,mean_diff_vs_cqi,diff_vs_cqi_ci95_low,diff_vs_cqi_ci95_high,seeds_win_vs_cqi,seeds_tie_vs_cqi,seeds_loss_vs_cqi,mean_diff_vs_2way,diff_vs_2way_ci95_low,diff_vs_2way_ci95_high,seeds_win_vs_2way,seeds_tie_vs_2way,seeds_loss_vs_2way,mean_diff_vs_3way,diff_vs_3way_ci95_low,diff_vs_3way_ci95_high,seeds_win_vs_3way,seeds_tie_vs_3way,seeds_loss_vs_3way
mid,heavy,CQI k-means,0.2569244783693877,0.0,0.0,0.0,0,20,0,-0.004206967140390936,-0.0061655332071762,-0.0025027088179544617,0,6,14,-0.004486597060994238,-0.006545549986731798,-0.0026428702366724432,1,4,15
mid,heavy,CQI+cost 2-way union,0.2611314455097786,0.004206967140390936,0.002502725315974295,0.006173509679188156,14,6,0,0.0,0.0,0.0,0,20,0,-0.0002796299206033026,-0.0008264570632707385,3.53183332384821e-05,2,16,2
mid,heavy,CQI+cost+switching 3-way union,0.2614110754303819,0.004486597060994238,0.002618664760387113,0.0065875531607026035,15,4,1,0.0002796299206033026,-3.53183332384821e-05,0.0008264570632707385,2,16,2,0.0,0.0,0.0,0,20,0
mid,heavy,"Conditional switching gate (fixed eta=.020, confirmatory)",0.26137509717635043,0.004450618806962747,0.002598210881509751,0.0065808635342370185,14,6,0,0.0002436516665718119,0.0,0.0007309549997154358,1,19,0,-3.597825403149069e-05,-0.00016679865082527002,4.709111098464003e-05,2,17,1
high,light,CQI k-means,0.3932615137429158,0.0,0.0,0.0,0,20,0,-0.031037560009896315,-0.03651744749591163,-0.025867199172999632,0,0,20,-0.033899266412166625,-0.039487636567779566,-0.028759555001489717,0,0,20
high,light,CQI+cost 2-way union,0.4242990737528121,0.031037560009896315,0.025837158074072924,0.03647079400785698,20,0,0,0.0,0.0,0.0,0,20,0,-0.0028617064022703085,-0.004282817601517982,-0.0013713508647882173,2,1,17
high,light,CQI+cost+switching 3-way union,0.4271607801550824,0.033899266412166625,0.02879724286313985,0.039548012948610094,20,0,0,0.0028617064022703085,0.0013733566459134582,0.004267669696906899,17,1,2,0.0,0.0,0.0,0,20,0
high,light,"Conditional switching gate (fixed eta=.020, confirmatory)",0.42668486080796264,0.03342334706504682,0.02818650789122518,0.03906859630766861,20,0,0,0.0023857870551505095,0.001379285033552742,0.0034310826318728537,12,7,1,-0.0004759193471197992,-0.001420634835846247,0.0005424014161512203,3,3,14
high,medium,CQI k-means,0.21351504540113475,0.0,0.0,0.0,0,20,0,-0.016692667311008748,-0.02166345497810822,-0.011688704155426223,1,0,19,-0.022195487087692513,-0.027395833776006837,-0.017009191377815733,1,0,19
high,medium,CQI+cost 2-way union,0.2302077127121435,0.016692667311008748,0.011848027797734839,0.021839497420122596,19,0,1,0.0,0.0,0.0,0,20,0,-0.005502819776683765,-0.008290496828896982,-0.0029207865524290442,1,3,16
high,medium,CQI+cost+switching 3-way union,0.23571053248882728,0.022195487087692513,0.017071692576417254,0.0273734644052933,19,0,1,0.005502819776683765,0.0028960033606761503,0.008277297352131514,16,3,1,0.0,0.0,0.0,0,20,0
high,medium,"Conditional switching gate (fixed eta=.020, confirmatory)",0.23556908927635006,0.022054043875215288,0.01688983245440322,0.027251575078761532,19,0,1,0.005361376564206535,0.0027702929781644636,0.008176057480701293,14,5,1,-0.00014144321247722968,-0.0006089049436227869,0.00031345852915502657,4,11,5
high,heavy,CQI k-means,-0.09791029423761968,0.0,0.0,0.0,0,20,0,-0.03998843881530995,-0.05338453083343735,-0.027276699322192184,0,0,20,-0.040380240084898274,-0.05404909041485216,-0.02756983142511841,0,0,20
high,heavy,CQI+cost 2-way union,-0.05792185542230973,0.03998843881530995,0.0272143461802502,0.053645599237262434,20,0,0,0.0,0.0,0.0,0,20,0,-0.00039180126958832334,-0.0010743453167330963,0.0,0,18,2
high,heavy,CQI+cost+switching 3-way union,-0.05753005415272141,0.040380240084898274,0.027593420052210018,0.0539996441134744,20,0,0,0.00039180126958832334,0.0,0.0010743453167330963,2,18,0,0.0,0.0,0.0,0,20,0
high,heavy,"Conditional switching gate (fixed eta=.020, confirmatory)",-0.05753005415272141,0.040380240084898274,0.02778811570931959,0.05387237117058874,20,0,0,0.00039180126958832334,0.0,0.0010743453167330963,2,18,0,0.0,0.0,0.0,0,20,0
