dispersion,seed,scenario_index,fast_utility,multikey_utility,winning_key,No grouping,CQI k-means,Resource-cost k-means,Multi-feature k-means,LE-GRA MVP
high,17,12,0.431700230208576,0.4373481247291359,cqi_then_cost,0.11977973312085846,0.42216903186946203,0.377920857078758,0.38674891502513487,0.3892166461198782
high,17,13,0.4440878924797326,0.4440878924797326,cost,0.12644639978752512,0.3450522621015038,0.3357468506875816,0.39588331278654487,0.33351373043933213
high,17,14,0.43189406134415426,0.43189406134415426,cost,0.11444639978752515,0.4010046920029948,0.3098222099634264,0.3682013855235298,0.33161543237075775
high,17,15,0.4375191351311033,0.4375191351311033,cost,0.13111306645419182,0.4260462848827125,0.3173137779632077,0.2785733168959026,0.4375191351311033
high,17,16,0.38821928278517603,0.39210258660372976,cqi_then_cost,0.13244639978752515,0.3786880844460621,0.2796638370729417,0.262567226687879,0.2796638370729417
high,17,17,0.39451594671075657,0.3970433671537844,cqi_then_cost,0.13111306645419182,0.3517256140209728,0.2507597147385755,0.27229630000088895,0.29335228614877995
high,17,18,0.4517565907988027,0.4517565907988027,cost,0.12044639978752514,0.34174440088438174,0.339532245188098,0.3630968711273699,0.3526327289646006
high,17,19,0.43226898755720544,0.4328077666486021,cqi,0.11044639978752514,0.40289608480357997,0.38953120730710494,0.3855908966553895,0.3838833127865449
high,18,0,0.43875455914639927,0.43875455914639927,cost,0.12911306645419182,0.3237027932873616,0.37956875159931813,0.31308594018215624,0.32243250579705746
high,18,1,0.45677939681511165,0.45872104872438824,cqi_then_cost,0.12044639978752514,0.44354195586471434,0.3382923632540855,0.39984576849433184,0.4530731542038282
high,18,2,0.3905318270373016,0.3961797215578618,cqi_then_cost,0.13777973312085848,0.36352576151469596,0.3203315382829785,0.24170472191864842,0.3433668232887306
high,18,3,0.4594809376036913,0.4594809376036913,cost,0.11377973312085847,0.4083688469578146,0.4154561187226788,0.44388654705671654,0.3890235770089308
high,18,4,0.42323496071246824,0.42398322025198343,cqi_then_cost,0.12377973312085847,0.363096521081124,0.2776638370729418,0.4025499794532116,0.3273960688265342
high,18,5,0.49056418630273363,0.49056418630273363,cost,0.11177973312085847,0.39648683018429765,0.42843734657657223,0.3832541904120913,0.4632146880539867
high,18,6,0.40351305489119516,0.40351305489119516,cost,0.1477797331208585,0.39398185655208123,0.30078256490679145,0.35368138447595737,0.3067468373935036
