dispersion,seed,scenario_index,method,objective,adr_kbps,log_utility
low,1,16,No grouping,log-utility,7500.0,0.9340000000000002
low,1,16,CQI k-means,log-utility,7012.666666666667,0.9423357253397453
low,1,16,Resource-cost k-means,log-utility,7398.0,0.9357446866990167
low,1,16,Multi-feature k-means,log-utility,6922.0,0.9438865579610933
low,1,16,No grouping,ADR,7500.0,0.9340000000000002
low,1,16,CQI k-means,ADR,7500.0,0.9340000000000002
low,1,16,Resource-cost k-means,ADR,7500.0,0.9340000000000002
low,1,16,Multi-feature k-means,ADR,7500.0,0.9340000000000002
low,1,17,No grouping,log-utility,7500.0,0.9320000000000005
low,1,17,CQI k-means,log-utility,7035.333333333333,0.9399480171844086
low,1,17,Resource-cost k-means,log-utility,7432.0,0.9331631244660112
low,1,17,Multi-feature k-means,log-utility,6854.0,0.9430496824271042
low,1,17,No grouping,ADR,7500.0,0.9320000000000005
low,1,17,CQI k-means,ADR,7500.0,0.9320000000000005
low,1,17,Resource-cost k-means,ADR,7500.0,0.9320000000000005
low,1,17,Multi-feature k-means,ADR,7500.0,0.9320000000000005
low,1,18,No grouping,log-utility,7500.0,0.9340000000000002
low,1,18,CQI k-means,log-utility,7046.666666666667,0.94175416310674
low,1,18,Resource-cost k-means,log-utility,7500.0,0.9340000000000002
low,1,18,Multi-feature k-means,log-utility,6763.333333333333,0.9466005150484521
low,1,18,No grouping,ADR,7500.0,0.9340000000000002
low,1,18,CQI k-means,ADR,7500.0,0.9340000000000002
low,1,18,Resource-cost k-means,ADR,7500.0,0.9340000000000002
low,1,18,Multi-feature k-means,ADR,7500.0,0.9340000000000002
low,1,19,No grouping,log-utility,7500.0,0.934666666666667
low,1,19,CQI k-means,log-utility,7024.0,0.9428085379287434
low,1,19,Resource-cost k-means,log-utility,7500.0,0.934666666666667
low,1,19,Multi-feature k-means,log-utility,6752.0,0.946127702459454
low,1,19,No grouping,ADR,7500.0,0.934666666666667
low,1,19,CQI k-means,ADR,7500.0,0.934666666666667
low,1,19,Resource-cost k-means,ADR,7500.0,0.934666666666667
low,1,19,Multi-feature k-means,ADR,7500.0,0.934666666666667
low,2,0,No grouping,log-utility,7500.0,0.936
low,2,0,CQI k-means,log-utility,7035.333333333333,0.9439480171844084
low,2,0,Resource-cost k-means,log-utility,7500.0,0.936
low,2,0,Multi-feature k-means,log-utility,6888.0,0.9451347868607654
low,2,0,No grouping,ADR,7500.0,0.936
low,2,0,CQI k-means,ADR,7500.0,0.936
low,2,0,Resource-cost k-means,ADR,7500.0,0.936
low,2,0,Multi-feature k-means,ADR,7500.0,0.936
low,2,1,No grouping,log-utility,7500.0,0.9313333333333335
low,2,1,CQI k-means,log-utility,7103.333333333333,0.9381182260517308
low,2,1,Resource-cost k-means,log-utility,7386.666666666667,0.9332718741100184
low,2,1,Multi-feature k-means,log-utility,6956.0,0.9406383290614211
low,2,1,No grouping,ADR,7500.0,0.9313333333333335
low,2,1,CQI k-means,ADR,7500.0,0.9313333333333335
low,2,1,Resource-cost k-means,ADR,7500.0,0.9313333333333335
low,2,1,Multi-feature k-means,ADR,7500.0,0.9313333333333335
low,2,2,No grouping,log-utility,7500.0,0.9413333333333335
low,2,2,CQI k-means,log-utility,7035.333333333333,0.9492813505177418
low,2,2,Resource-cost k-means,log-utility,7500.0,0.9413333333333335
low,2,2,Multi-feature k-means,log-utility,6876.666666666667,0.9519953076051008
low,2,2,No grouping,ADR,7500.0,0.9413333333333335
low,2,2,CQI k-means,ADR,7500.0,0.9413333333333335
low,2,2,Resource-cost k-means,ADR,7500.0,0.9413333333333335
low,2,2,Multi-feature k-means,ADR,7500.0,0.9413333333333335
low,2,3,No grouping,log-utility,7500.0,0.9253333333333336
low,2,3,CQI k-means,log-utility,7126.0,0.9317305178963939
low,2,3,Resource-cost k-means,log-utility,7443.333333333333,0.926302603721676
low,2,3,Multi-feature k-means,log-utility,6842.666666666667,0.9365768698381061
low,2,3,No grouping,ADR,7500.0,0.9253333333333336
low,2,3,CQI k-means,ADR,7500.0,0.9253333333333336
low,2,3,Resource-cost k-means,ADR,7500.0,0.9253333333333336
low,2,3,Multi-feature k-means,ADR,7500.0,0.9253333333333336
low,2,4,No grouping,log-utility,7500.0,0.9333333333333333
low,2,4,CQI k-means,log-utility,7024.0,0.9414752045954102
low,2,4,Resource-cost k-means,log-utility,7500.0,0.9333333333333333
low,2,4,Multi-feature k-means,log-utility,6831.333333333333,0.9447707239157745
low,2,4,No grouping,ADR,7500.0,0.9333333333333333
low,2,4,CQI k-means,ADR,7500.0,0.9333333333333333
low,2,4,Resource-cost k-means,ADR,7500.0,0.9333333333333333
