scenario_index,feature_mode,users,rbs,rb_budget_ratio,cqi_min,cqi_max,cqi_span,mean_cost_std,max_same_cqi_cost_std,teacher_groups,cqi_groups,resource_groups,multifeature_groups,teacher_gain_vs_no_grouping,teacher_gain_vs_cqi,resource_gain_vs_cqi,multifeature_gain_vs_cqi,resource_gap_vs_teacher,multifeature_gap_vs_teacher,cqi_pairwise_vs_teacher,resource_pairwise_vs_teacher,multifeature_pairwise_vs_teacher,teacher_utility,cqi_utility,resource_utility,multifeature_utility,no_grouping_utility,benchmark_id,benchmark_title,cqi_dispersion,rb_heterogeneity,pressure,scenario_mode,split,seed,accepted,acceptance_score,selected
30,history_cost_quality,12,72,0.34,8,12,4,0.014665569296873623,0.005787037037037042,1,1,1,1,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,1.0,1.0,1.0,0.8833333333333336,0.8833333333333334,0.8833333333333334,0.8833333333333334,0.8833333333333334,bench_d2_h3_p3_main_hard,Main hard corridor showcase,d2_midspread,h3_strong_heterogeneous,p3_high,corridor_general,train,37,0,0.0017361111111116232,0
31,history_cost_quality,12,72,0.34,8,12,4,0.013211974402907225,0.0046296296296296224,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8500000000000001,0.8500000000000001,0.8500000000000001,0.8500000000000001,0.8500000000000001,bench_d2_h3_p3_main_hard,Main hard corridor showcase,d2_midspread,h3_strong_heterogeneous,p3_high,corridor_general,train,37,0,0.0013888888888888868,0
32,history_cost_quality,12,72,0.34,8,13,5,0.014031493128023409,0.004364856673991027,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8707447783169405,0.8707447783169405,0.8707447783169405,0.8707447783169405,0.8707447783169405,bench_d2_h3_p3_main_hard,Main hard corridor showcase,d2_midspread,h3_strong_heterogeneous,p3_high,corridor_general,train,37,0,0.001309457002197308,0
33,history_cost_quality,12,72,0.34,8,13,5,0.02049751490275567,0.005520481489681394,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8707447783169405,0.8707447783169405,0.8707447783169405,0.8707447783169405,0.8707447783169405,bench_d2_h3_p3_main_hard,Main hard corridor showcase,d2_midspread,h3_strong_heterogeneous,p3_high,corridor_general,train,37,0,0.0016561444469044182,0
34,history_cost_quality,12,72,0.34,8,13,5,0.014589251852769321,0.008101851851851853,2,1,1,1,0.009988269012750961,0.009988269012750961,0.0,0.0,0.009988269012750961,0.009988269012750961,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8849882690127511,0.8750000000000001,0.8750000000000001,0.8750000000000001,0.8750000000000001,bench_d2_h3_p3_main_hard,Main hard corridor showcase,d2_midspread,h3_strong_heterogeneous,p3_high,corridor_general,train,37,0,0.02540357428488277,0
35,history_cost_quality,12,72,0.34,8,13,5,0.01739537086048688,0.006075623359577019,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9040781116502737,0.9040781116502737,0.9040781116502737,0.9040781116502737,0.9040781116502737,bench_d2_h3_p3_main_hard,Main hard corridor showcase,d2_midspread,h3_strong_heterogeneous,p3_high,corridor_general,train,37,0,0.0018226870078731055,0
36,history_cost_quality,12,72,0.34,7,13,6,0.020971300988587717,0.0071347384293622435,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8207447783169406,0.8207447783169406,0.8207447783169406,0.8207447783169406,0.8207447783169406,bench_d2_h3_p3_main_hard,Main hard corridor showcase,d2_midspread,h3_strong_heterogeneous,p3_high,corridor_general,train,37,0,0.002140421528808673,0
37,history_cost_quality,12,72,0.34,8,13,5,0.012410312582150336,0.005758029149922572,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8750000000000001,0.8750000000000001,0.8750000000000001,0.8750000000000001,0.8750000000000001,bench_d2_h3_p3_main_hard,Main hard corridor showcase,d2_midspread,h3_strong_heterogeneous,p3_high,corridor_general,train,37,0,0.0017274087449767716,0
38,history_cost_quality,12,72,0.34,6,12,6,0.026075224149252778,0.00383868609994838,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8290781116502739,0.8290781116502739,0.8290781116502739,0.8290781116502739,0.8290781116502739,bench_d2_h3_p3_main_hard,Main hard corridor showcase,d2_midspread,h3_strong_heterogeneous,p3_high,corridor_general,train,37,0,0.0011516058299845138,0
39,history_cost_quality,12,72,0.34,8,13,5,0.018853073646405274,0.004173091754009244,1,1,1,1,-1.1102230246251565e-16,-1.1102230246251565e-16,0.0,0.0,-1.1102230246251565e-16,-1.1102230246251565e-16,1.0,1.0,1.0,0.8500000000000001,0.8500000000000002,0.8500000000000002,0.8500000000000002,0.8500000000000002,bench_d2_h3_p3_main_hard,Main hard corridor showcase,d2_midspread,h3_strong_heterogeneous,p3_high,corridor_general,train,37,0,0.0012519275262025179,0
