dispersion,load,seed,method,mean_utility,n_scenarios
high,light,seed_0005,Trend-slope k-means,0.20267251448380064,15
high,light,seed_0005,Trend-volatility k-means,0.18577602174896599,15
high,light,seed_0005,Trend-downside-deviation k-means,0.19409146416243409,15
high,light,seed_0005,Trend-only union (CQI+slope+volatility+downside),0.26885305808780385,15
high,light,seed_0005,"CQI+cost+regret-graph 3-way union (ablation, no switching)",0.283125057365324,15
high,light,seed_0005,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated base),0.283125057365324,15
high,light,seed_0005,"CQI+cost+regret-graph+trend union (ablation, no switching)",0.283125057365324,15
high,light,seed_0005,CQI+cost+switching+regret-graph+trend union,0.283125057365324,15
high,light,seed_0006,CQI k-means,0.28126319673528644,15
high,light,seed_0006,Trend-slope k-means,0.225928852394286,15
high,light,seed_0006,Trend-volatility k-means,0.21801279440885324,15
high,light,seed_0006,Trend-downside-deviation k-means,0.21614349667909005,15
high,light,seed_0006,Trend-only union (CQI+slope+volatility+downside),0.28126319673528644,15
high,light,seed_0006,"CQI+cost+regret-graph 3-way union (ablation, no switching)",0.29727187512232106,15
high,light,seed_0006,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated base),0.29727187512232106,15
high,light,seed_0006,"CQI+cost+regret-graph+trend union (ablation, no switching)",0.29727187512232106,15
high,light,seed_0006,CQI+cost+switching+regret-graph+trend union,0.29727187512232106,15
high,light,seed_0007,CQI k-means,0.2821740097622613,15
high,light,seed_0007,Trend-slope k-means,0.23284688352208854,15
high,light,seed_0007,Trend-volatility k-means,0.2236319826837469,15
high,light,seed_0007,Trend-downside-deviation k-means,0.23345550075254112,15
high,light,seed_0007,Trend-only union (CQI+slope+volatility+downside),0.2831372803923416,15
high,light,seed_0007,"CQI+cost+regret-graph 3-way union (ablation, no switching)",0.31192287904226285,15
high,light,seed_0007,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated base),0.31192287904226285,15
high,light,seed_0007,"CQI+cost+regret-graph+trend union (ablation, no switching)",0.31192287904226285,15
