scenario_id,timestamp_s,ue_id,user_index,cqi_now,previous_quality,distance_m,mean_resource_cost
simu5g_00000544,28.5,4,1,14,2,130.88438725735298,3.166667
simu5g_00000544,28.5,5,2,11,2,147.3403502610242,3.500000
simu5g_00000544,28.5,6,3,13,2,161.58277878849105,3.333333
simu5g_00000546,28.6,3,0,14,2,97.2995812089683,3.166667
simu5g_00000546,28.6,4,1,14,2,130.40487876867817,3.166667
simu5g_00000546,28.6,5,2,11,2,146.91125207890437,3.500000
simu5g_00000546,28.6,6,3,13,2,161.42738593479493,3.333333
simu5g_00000548,28.7,3,0,14,2,96.95303741514422,3.166667
simu5g_00000548,28.7,4,1,14,2,129.92432337009936,3.166667
simu5g_00000548,28.7,5,2,11,2,146.47630311387618,3.500000
simu5g_00000548,28.7,6,3,13,2,161.26563639490448,3.333333
simu5g_00000550,28.8,3,0,14,2,96.62073032554935,3.166667
simu5g_00000550,28.8,4,1,14,2,129.44305923298657,3.166667
simu5g_00000550,28.8,5,2,11,2,146.0356576887575,3.500000
simu5g_00000550,28.8,6,3,13,2,161.09755207864197,3.333333
simu5g_00000552,28.9,3,0,12,2,96.30465979462349,3.500000
simu5g_00000552,28.9,4,1,14,2,128.96006412344744,3.166667
simu5g_00000552,28.9,5,2,11,2,145.59193684321914,3.500000
simu5g_00000552,28.9,6,3,13,2,160.92536359486587,3.333333
simu5g_00000554,29.0,3,0,12,2,96.00272279913206,3.500000
simu5g_00000554,29.0,4,1,14,2,128.47658399311493,3.166667
simu5g_00000554,29.0,5,2,11,2,145.1452816500019,3.500000
simu5g_00000554,29.0,6,3,14,2,160.7485580646607,3.166667
simu5g_00000556,29.1,3,0,12,2,95.71748703092938,3.500000
simu5g_00000556,29.1,4,1,14,2,127.9902312795762,3.166667
simu5g_00000556,29.1,5,2,11,2,144.69560494322758,3.500000
simu5g_00000556,29.1,6,3,14,2,160.56754194373536,3.166667
simu5g_00000558,29.2,3,0,14,2,95.44741439089113,3.166667
simu5g_00000558,29.2,4,1,14,2,127.50354062545819,3.166667
simu5g_00000558,29.2,5,2,9,2,144.24049701087696,4.000000
simu5g_00000558,29.2,6,3,14,2,160.3825300313793,3.166667
simu5g_00000560,29.3,3,0,14,2,95.19373412478826,3.166667
simu5g_00000560,29.3,4,1,14,2,127.0163696921557,3.166667
simu5g_00000560,29.3,5,2,9,2,143.77966320689842,4.000000
simu5g_00000560,29.3,6,3,14,2,160.19284277968592,3.166667
simu5g_00000562,29.4,3,0,14,2,94.95575870699591,3.166667
simu5g_00000562,29.4,4,1,15,2,126.52854024843887,3.166667
simu5g_00000562,29.4,5,2,9,2,143.31504330432415,4.000000
simu5g_00000562,29.4,6,3,14,2,159.99759481292733,3.166667
simu5g_00000564,29.5,3,0,14,2,94.73382570153075,3.166667
simu5g_00000564,29.5,4,1,15,2,126.03936885573525,3.166667
simu5g_00000564,29.5,5,2,9,2,142.84506989263008,4.000000
simu5g_00000564,29.5,6,3,14,2,159.79912879682658,3.166667
simu5g_00000566,29.6,3,0,14,2,94.5279151548797,3.166667
simu5g_00000566,29.6,4,1,15,2,125.54830530177644,3.166667
simu5g_00000566,29.6,5,2,9,2,142.3728427062376,4.000000
simu5g_00000566,29.6,6,3,14,2,159.59520539267677,3.166667
simu5g_00000568,29.7,3,0,14,2,94.33811928446508,3.166667
simu5g_00000568,29.7,4,1,15,2,125.05579572939821,3.166667
simu5g_00000568,29.7,5,2,10,2,141.89492596597418,4.000000
simu5g_00000568,29.7,6,3,14,2,159.38827989691757,3.166667
simu5g_00000570,29.8,3,0,14,2,94.16493391391066,3.166667
simu5g_00000570,29.8,4,1,15,2,124.56081864783685,3.166667
simu5g_00000570,29.8,5,2,10,2,141.41115575730333,4.000000
simu5g_00000570,29.8,6,3,14,2,159.17921787856721,3.166667
simu5g_00000572,29.9,3,0,14,2,94.00817704444381,3.166667
simu5g_00000572,29.9,4,1,14,2,124.06542052015901,3.166667
simu5g_00000572,29.9,5,2,10,2,140.92453730844872,4.000000
simu5g_00000572,29.9,6,3,14,2,158.965640147438,3.166667
