dispersion,load,method,mean_utility,std_utility_across_seeds,mean_diff_vs_cqi,diff_vs_cqi_ci95_low,diff_vs_cqi_ci95_high,seeds_win_vs_cqi,seeds_tie_vs_cqi,seeds_loss_vs_cqi,mean_diff_vs_2way,diff_vs_2way_ci95_low,diff_vs_2way_ci95_high,seeds_win_vs_2way,seeds_tie_vs_2way,seeds_loss_vs_2way,mean_diff_vs_3way,diff_vs_3way_ci95_low,diff_vs_3way_ci95_high,seeds_win_vs_3way,seeds_tie_vs_3way,seeds_loss_vs_3way,mean_adr_kbps,mean_served_ratio,mean_average_quality,mean_system_spectral_efficiency,mean_fairness,mean_avg_switching,mean_quality_switch_rate,mean_quality_change_levels,mean_pairwise_group_churn,mean_groups,mean_switching_admission_rate
high,light,CQI k-means,0.3756630316460509,0.0244537577657275,0.0,0.0,0.0,0,10,0,-0.033091950902910436,-0.04005846382604118,-0.025654560517086044,0,0,10,-0.034058721533934556,-0.04156616448150874,-0.02593981821481942,0,0,10,1312.842261904762,0.9994047619047619,1.6423007246376813,14.587136243386244,0.7571081850717924,0.13089285714285717,0.5223214285714286,0.6544642857142858,0.4368788819875776,2.571428571428571,nan
high,light,CQI+cost 2-way union,0.40875498254896137,0.019633824530636498,0.033091950902910436,0.025735802837899443,0.04003270477811858,10,0,0,0.0,0.0,0.0,0,10,0,-0.000966770631024122,-0.0033166172817465276,0.0012061950979177583,4,1,5,1236.1458333333333,0.9991071428571429,1.6512939958592132,13.734953703703704,0.8398173223072322,0.08857142857142856,0.38125000000000003,0.4428571428571428,0.4250517598343685,2.414285714285714,nan
high,light,CQI+cost+switching 3-way union,0.40972175317998555,0.021351521378134387,0.034058721533934556,0.025982335896133666,0.04173953800144433,10,0,0,0.000966770631024122,-0.001168642990812735,0.0033023912149651264,5,1,4,0.0,0.0,0.0,0,10,0,1241.7261904761904,0.9994047619047619,1.6501035196687373,13.79695767195767,0.8359169464544953,0.08630952380952381,0.38184523809523807,0.43154761904761907,0.37631987577639747,2.3571428571428568,nan
high,light,Conditional switching gate (LOSO),0.4114232678169774,0.02088736979439343,0.03576023617092651,0.026988919562920023,0.04453411250520112,10,0,0,0.0026682852680160797,0.00038162145342607865,0.0054884526610816655,5,4,1,0.0017015146369919576,0.00015141196592898253,0.0036756196724226017,6,1,3,1240.0,0.9994047619047619,1.6542701863354037,13.777777777777777,0.8392805220124242,0.08595238095238096,0.3732142857142857,0.42976190476190473,0.3983954451345756,2.392857142857143,0.07142857142857142
high,medium,CQI k-means,0.1949946269447332,0.03400788397090759,0.0,0.0,0.0,0,10,0,-0.016631850247570565,-0.02677640492170926,-0.008969201164752522,0,0,10,-0.019658954757094834,-0.031193037715364073,-0.01140444602012393,0,0,10,660.7291666666667,0.9988095238095237,0.9117388951628083,14.68287037037037,0.8004680420609646,0.11238095238095239,0.4625,0.5619047619047619,0.45574534161490676,2.1714285714285713,nan
high,medium,CQI+cost 2-way union,0.21162647719230376,0.027103258377323417,0.016631850247570565,0.008980683747641608,0.026971560888814427,10,0,0,0.0,0.0,0.0,0,10,0,-0.00302710450952427,-0.005443482972749927,-0.0007896726228186,2,2,6,722.4255952380952,0.9919642857142857,1.0211069210292814,16.053902116402117,0.8018987258933065,0.10767857142857144,0.44077380952380957,0.5383928571428572,0.44345238095238093,2.25,nan
high,medium,CQI+cost+switching 3-way union,0.21465358170182808,0.025587273512323188,0.019658954757094834,0.011434388274508087,0.031195291375118315,10,0,0,0.00302710450952427,0.0007713329830192322,0.005388282732310676,6,2,2,0.0,0.0,0.0,0,10,0,729.3154761904761,0.9922619047619048,1.019916444838805,16.207010582010586,0.7877816937725596,0.10226190476190478,0.41547619047619044,0.5113095238095238,0.40936853002070395,2.2642857142857142,nan
high,medium,Conditional switching gate (LOSO),0.21404450795259491,0.025523046696494835,0.01904988100786168,0.010836040488256107,0.030310231232851738,10,0,0,0.0024180307602911177,0.0008071419239530197,0.00432836981798632,6,4,0,-0.0006090737492331522,-0.0017060091740840916,0.00023656822413627593,2,4,4,728.5416666666666,0.9922619047619048,1.0222973972197575,16.189814814814817,0.7930630257927124,0.10482142857142858,0.4258928571428572,0.5241071428571429,0.42357660455486545,2.2642857142857142,0.06428571428571428
high,heavy,CQI k-means,-0.13894734145873527,0.07619883352342263,0.0,0.0,0.0,0,10,0,-0.03891089969113985,-0.04982796507333975,-0.026751793884376648,0,1,9,-0.040782323025042325,-0.0534290623616341,-0.027450262684148744,0,1,9,233.79464285714283,0.9205357142857142,0.1866366101976788,15.586309523809527,0.8749836682307363,0.03928571428571429,0.19642857142857145,0.19642857142857145,0.3227225672877847,1.6857142857142857,nan
high,heavy,CQI+cost 2-way union,-0.10003644176759541,0.06976390356845605,0.03891089969113985,0.026804353525768123,0.049955206040978584,9,1,0,0.0,0.0,0.0,0,10,0,-0.001871423333902464,-0.005614270001707391,0.0,0,9,1,224.27083333333334,0.94375,0.12839252443921884,14.951388888888891,0.9154879236913229,0.03172619047619048,0.15863095238095237,0.15863095238095237,0.2932194616977226,1.6857142857142857,nan
high,heavy,CQI+cost+switching 3-way union,-0.09816501843369294,0.06650773926750012,0.040782323025042325,0.027384569374501615,0.053546543035837446,9,1,0,0.001871423333902464,0.0,0.005614270001707391,1,9,0,0.0,0.0,0.0,0,10,0,223.57142857142858,0.9449404761904763,0.12517823872493314,14.904761904761907,0.9178197042296252,0.03125,0.15625,0.15625,0.290424430641822,1.6785714285714284,nan
high,heavy,Conditional switching gate (LOSO),-0.09816501843369294,0.06650773926750012,0.040782323025042325,0.0273501351259246,0.05344148497831033,9,1,0,0.001871423333902464,0.0,0.005614270001707391,1,9,0,0.0,0.0,0.0,0,10,0,223.57142857142858,0.9449404761904763,0.12517823872493314,14.904761904761907,0.9178197042296252,0.03125,0.15625,0.15625,0.290424430641822,1.6785714285714284,0.007142857142857143
