dispersion,load,seed,method,n_transitions,mean_utility,mean_adr_kbps,mean_served_ratio,mean_average_quality,mean_system_spectral_efficiency,mean_fairness,mean_avg_switching,mean_quality_switch_rate,mean_quality_change_levels,mean_pairwise_group_churn,mean_groups,selected_eta_label,switching_admission_rate
mid,light,seed_0001,CQI+cost+switching 3-way union,14,0.7082977507796278,2878.7202380952376,1.0,2.9047619047619047,31.985780423280424,0.9723417080168745,0.03571428571428571,0.11904761904761905,0.1785714285714286,0.20289855072463764,1.7857142857142858,,nan
mid,light,seed_0001,Conditional switching gate (LOSO),14,0.7082977507796278,2878.7202380952376,1.0,2.9047619047619047,31.985780423280424,0.9723417080168745,0.03571428571428571,0.11904761904761905,0.1785714285714286,0.20289855072463764,1.7857142857142858,eta_0.020,0.0
mid,light,seed_0002,CQI k-means,14,0.6908519265372524,2877.2321428571427,1.0,2.8839285714285716,31.969246031746025,0.9539594887964602,0.06607142857142857,0.32142857142857145,0.33035714285714285,0.31495859213250516,1.5,,nan
mid,light,seed_0002,CQI+cost 2-way union,14,0.720441341360818,2912.202380952381,1.0,2.9315476190476195,32.35780423280423,0.9798655317945688,0.02321428571428571,0.0892857142857143,0.11607142857142858,0.1358695652173913,1.4285714285714286,,nan
mid,light,seed_0002,CQI+cost+switching 3-way union,14,0.721122439343873,2915.476190476191,1.0,2.9315476190476195,32.394179894179885,0.978742184828163,0.020833333333333336,0.07142857142857142,0.10416666666666667,0.11516563146997928,1.4285714285714286,,nan
mid,light,seed_0002,Conditional switching gate (LOSO),14,0.720441341360818,2912.202380952381,1.0,2.9315476190476195,32.35780423280423,0.9798655317945688,0.02321428571428571,0.0892857142857143,0.11607142857142858,0.1358695652173913,1.4285714285714286,eta_0.020,0.0
mid,light,seed_0003,CQI k-means,14,0.681821793454608,2747.0238095238096,1.0,2.8214285714285716,30.522486772486765,0.9557237375360035,0.058333333333333334,0.24702380952380953,0.29166666666666663,0.40113871635610765,1.6428571428571428,,nan
mid,light,seed_0003,CQI+cost 2-way union,14,0.7121383982842221,2891.964285714286,1.0,2.913690476190476,32.1329365079365,0.9733109143682771,0.030952380952380953,0.09226190476190475,0.15476190476190474,0.16718426501035194,1.6428571428571428,,nan
mid,light,seed_0003,CQI+cost+switching 3-way union,14,0.7138382526821194,2888.6904761904766,1.0,2.913690476190476,32.09656084656084,0.974434261334683,0.028571428571428574,0.0982142857142857,0.14285714285714285,0.15527950310559002,1.6428571428571428,,nan
mid,light,seed_0003,Conditional switching gate (LOSO),14,0.7121383982842221,2891.964285714286,1.0,2.913690476190476,32.1329365079365,0.9733109143682771,0.030952380952380953,0.09226190476190475,0.15476190476190474,0.16718426501035194,1.6428571428571428,eta_0.020,0.0
mid,light,seed_0004,CQI k-means,14,0.7053691213311719,3333.9285714285716,1.0,3.0148809523809526,37.04365079365079,0.9273667441604415,0.0732142857142857,0.22321428571428573,0.36607142857142855,0.28234989648033126,1.7142857142857142,,nan
mid,light,seed_0004,CQI+cost 2-way union,14,0.7080945455988727,3423.660714285714,1.0,3.0386904761904767,38.040674603174594,0.9144359178559701,0.07559523809523808,0.22321428571428573,0.3779761904761904,0.21247412008281577,1.7142857142857142,,nan
mid,light,seed_0004,CQI+cost+switching 3-way union,14,0.7154411020905586,3358.1845238095243,1.0,3.014880952380952,37.313161375661366,0.9085790573245716,0.05416666666666668,0.19345238095238093,0.27083333333333337,0.15036231884057974,1.7142857142857142,,nan
mid,light,seed_0004,Conditional switching gate (LOSO),14,0.7142506259000825,3358.1845238095243,1.0,3.014880952380952,37.313161375661366,0.9085790573245716,0.056547619047619055,0.19642857142857142,0.28273809523809523,0.16174948240165632,1.7142857142857142,eta_0.020,0.14285714285714285
mid,light,seed_0005,CQI k-means,14,0.691587762390825,3231.6964285714284,1.0,2.994047619047619,35.907738095238095,0.9418052081785117,0.09821428571428573,0.3958333333333333,0.49107142857142855,0.28131469979296064,1.7142857142857142,,nan
mid,light,seed_0005,CQI+cost 2-way union,14,0.7144595956993214,3092.7083333333335,1.0,2.9999999999999996,34.36342592592592,0.9783958955269557,0.06071428571428573,0.25892857142857145,0.3035714285714285,0.14570393374741197,1.5,,nan
mid,light,seed_0005,CQI+cost+switching 3-way union,14,0.7161517349737633,3072.7678571428573,1.0,2.991071428571428,34.141865079365076,0.9795272135631868,0.05595238095238097,0.25892857142857145,0.2797619047619048,0.1441511387163561,1.5,,nan
mid,light,seed_0005,Conditional switching gate (LOSO),14,0.7161517349737633,3072.7678571428573,1.0,2.991071428571428,34.141865079365076,0.9795272135631868,0.05595238095238097,0.25892857142857145,0.2797619047619048,0.1441511387163561,1.5,eta_0.020,0.07142857142857142
mid,light,seed_0006,CQI k-means,14,0.7100409018799967,4250.5952380952385,1.0,3.226190476190476,47.22883597883598,0.7940719530200318,0.13214285714285715,0.3333333333333333,0.6607142857142856,0.3962215320910973,2.142857142857143,,nan
mid,light,seed_0006,CQI+cost 2-way union,14,0.7205154845815974,3102.827380952381,1.0,2.9791666666666665,34.475859788359784,0.956869784101527,0.038095238095238106,0.13988095238095238,0.19047619047619047,0.14233954451345757,1.3571428571428572,,nan
mid,light,seed_0006,CQI+cost+switching 3-way union,14,0.7069728207485119,4354.613095238095,1.0,3.2172619047619047,48.38458994708994,0.7964621922863868,0.12023809523809524,0.27976190476190477,0.6011904761904762,0.31392339544513453,2.0,,nan
mid,light,seed_0006,Conditional switching gate (LOSO),14,0.7069728207485119,4354.613095238095,1.0,3.2172619047619047,48.38458994708994,0.7964621922863868,0.12023809523809524,0.27976190476190477,0.6011904761904762,0.31392339544513453,2.0,eta_0.005,0.2857142857142857
