dispersion,seed,load,scenario_index,method,utility,adr_kbps,served_ratio,average_quality,system_spectral_efficiency,fairness
low,seed_0001,medium,6,Multi-feature k-means,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,6,CQI+resource-cost hybrid (paper method),0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,6,Offline teacher,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,7,No grouping,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,7,CQI k-means,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,7,CQI k-means (k-means++),0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,7,Resource-cost k-means,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,7,Multi-feature k-means,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,7,CQI+resource-cost hybrid (paper method),0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,7,Offline teacher,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,8,No grouping,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,8,CQI k-means,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,8,CQI k-means (k-means++),0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,8,Resource-cost k-means,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,8,Multi-feature k-means,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,8,CQI+resource-cost hybrid (paper method),0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,8,Offline teacher,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,9,No grouping,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,9,CQI k-means,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,9,CQI k-means (k-means++),0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,9,Resource-cost k-means,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,9,Multi-feature k-means,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,9,CQI+resource-cost hybrid (paper method),0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,9,Offline teacher,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,10,No grouping,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,10,CQI k-means,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,10,CQI k-means (k-means++),0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,10,Resource-cost k-means,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,10,Multi-feature k-means,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,10,CQI+resource-cost hybrid (paper method),0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,10,Offline teacher,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,11,No grouping,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,11,CQI k-means,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,11,CQI k-means (k-means++),0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,11,Resource-cost k-means,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,11,Multi-feature k-means,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,11,CQI+resource-cost hybrid (paper method),0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,11,Offline teacher,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,12,No grouping,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,12,CQI k-means,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,12,CQI k-means (k-means++),0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,12,Resource-cost k-means,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,12,Multi-feature k-means,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,12,CQI+resource-cost hybrid (paper method),0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,12,Offline teacher,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,13,No grouping,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,13,CQI k-means,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,13,CQI k-means (k-means++),0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,13,Resource-cost k-means,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,13,Multi-feature k-means,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,13,CQI+resource-cost hybrid (paper method),0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,13,Offline teacher,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,14,No grouping,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,14,CQI k-means,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,14,CQI k-means (k-means++),0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,14,Resource-cost k-means,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,14,Multi-feature k-means,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,14,CQI+resource-cost hybrid (paper method),0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,14,Offline teacher,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,heavy,0,No grouping,0.35593639169248764,1500.0,1.0,2.0,100.0,1.0
low,seed_0001,heavy,0,CQI k-means,0.35593639169248764,1500.0,1.0,2.0,100.0,1.0
low,seed_0001,heavy,0,CQI k-means (k-means++),0.35593639169248764,1500.0,1.0,2.0,100.0,1.0
low,seed_0001,heavy,0,Resource-cost k-means,0.35593639169248764,1500.0,1.0,2.0,100.0,1.0
low,seed_0001,heavy,0,Multi-feature k-means,0.35593639169248764,1500.0,1.0,2.0,100.0,1.0
low,seed_0001,heavy,0,CQI+resource-cost hybrid (paper method),0.35593639169248764,1500.0,1.0,2.0,100.0,1.0
low,seed_0001,heavy,0,Offline teacher,0.35593639169248764,1500.0,1.0,2.0,100.0,1.0
low,seed_0001,heavy,1,No grouping,0.35593639169248764,1500.0,1.0,2.0,100.0,1.0
low,seed_0001,heavy,1,CQI k-means,0.35593639169248764,1500.0,1.0,2.0,100.0,1.0
low,seed_0001,heavy,1,CQI k-means (k-means++),0.35593639169248764,1500.0,1.0,2.0,100.0,1.0
low,seed_0001,heavy,1,Resource-cost k-means,0.35593639169248764,1500.0,1.0,2.0,100.0,1.0
low,seed_0001,heavy,1,Multi-feature k-means,0.35593639169248764,1500.0,1.0,2.0,100.0,1.0
low,seed_0001,heavy,1,CQI+resource-cost hybrid (paper method),0.35593639169248764,1500.0,1.0,2.0,100.0,1.0
low,seed_0001,heavy,1,Offline teacher,0.35593639169248764,1500.0,1.0,2.0,100.0,1.0
low,seed_0001,heavy,2,No grouping,0.35593639169248764,1500.0,1.0,2.0,100.0,1.0
low,seed_0001,heavy,2,CQI k-means,0.35593639169248764,1500.0,1.0,2.0,100.0,1.0
low,seed_0001,heavy,2,CQI k-means (k-means++),0.35593639169248764,1500.0,1.0,2.0,100.0,1.0
low,seed_0001,heavy,2,Resource-cost k-means,0.35593639169248764,1500.0,1.0,2.0,100.0,1.0
low,seed_0001,heavy,2,Multi-feature k-means,0.35593639169248764,1500.0,1.0,2.0,100.0,1.0
low,seed_0001,heavy,2,CQI+resource-cost hybrid (paper method),0.35593639169248764,1500.0,1.0,2.0,100.0,1.0
low,seed_0001,heavy,2,Offline teacher,0.35593639169248764,1500.0,1.0,2.0,100.0,1.0
low,seed_0001,heavy,3,No grouping,0.35593639169248764,1500.0,1.0,2.0,100.0,1.0
low,seed_0001,heavy,3,CQI k-means,0.35593639169248764,1500.0,1.0,2.0,100.0,1.0
low,seed_0001,heavy,3,CQI k-means (k-means++),0.35593639169248764,1500.0,1.0,2.0,100.0,1.0
low,seed_0001,heavy,3,Resource-cost k-means,0.35593639169248764,1500.0,1.0,2.0,100.0,1.0
low,seed_0001,heavy,3,Multi-feature k-means,0.35593639169248764,1500.0,1.0,2.0,100.0,1.0
low,seed_0001,heavy,3,CQI+resource-cost hybrid (paper method),0.35593639169248764,1500.0,1.0,2.0,100.0,1.0
low,seed_0001,heavy,3,Offline teacher,0.35593639169248764,1500.0,1.0,2.0,100.0,1.0
low,seed_0001,heavy,4,No grouping,0.35593639169248764,1500.0,1.0,2.0,100.0,1.0
low,seed_0001,heavy,4,CQI k-means,0.35593639169248764,1500.0,1.0,2.0,100.0,1.0
low,seed_0001,heavy,4,CQI k-means (k-means++),0.35593639169248764,1500.0,1.0,2.0,100.0,1.0
low,seed_0001,heavy,4,Resource-cost k-means,0.35593639169248764,1500.0,1.0,2.0,100.0,1.0
low,seed_0001,heavy,4,Multi-feature k-means,0.35593639169248764,1500.0,1.0,2.0,100.0,1.0
low,seed_0001,heavy,4,CQI+resource-cost hybrid (paper method),0.35593639169248764,1500.0,1.0,2.0,100.0,1.0
