dispersion,load,seed,method,mean_utility,n_scenarios
high,medium,seed_0004,CQI k-means (k-means++),0.15583844172013706,15
high,medium,seed_0004,Resource-cost k-means,0.1500969802932536,15
high,medium,seed_0004,Multi-feature k-means,0.1414163071302755,15
high,medium,seed_0004,CQI+resource-cost hybrid (paper method),0.16139402607236694,15
high,medium,seed_0004,Offline teacher,0.20032558478503462,15
high,medium,seed_0005,No grouping,0.07164522658167673,15
high,medium,seed_0005,CQI k-means,0.1286329264662873,15
high,medium,seed_0005,CQI k-means (k-means++),0.1286329264662873,15
high,medium,seed_0005,Resource-cost k-means,0.13781755391058648,15
high,medium,seed_0005,Multi-feature k-means,0.1378048331260537,15
high,medium,seed_0005,CQI+resource-cost hybrid (paper method),0.14654423311170647,15
high,medium,seed_0005,Offline teacher,0.19389429200217642,15
high,medium,seed_0006,No grouping,0.059704355484730603,15
high,medium,seed_0006,CQI k-means,0.16594321395090617,15
high,medium,seed_0006,CQI k-means (k-means++),0.16146538728955137,15
high,medium,seed_0006,Resource-cost k-means,0.13924801337064394,15
high,medium,seed_0006,Multi-feature k-means,0.14956906773514422,15
high,medium,seed_0006,CQI+resource-cost hybrid (paper method),0.16873764875382571,15
high,medium,seed_0006,Offline teacher,0.20434400870760724,15
high,medium,seed_0007,No grouping,0.09552696877556896,15
high,medium,seed_0007,CQI k-means,0.17818450677664935,15
high,medium,seed_0007,CQI k-means (k-means++),0.1787138450336873,15
high,medium,seed_0007,Resource-cost k-means,0.15233027487780326,15
high,medium,seed_0007,Multi-feature k-means,0.16125409744250663,15
high,medium,seed_0007,CQI+resource-cost hybrid (paper method),0.18268141461480328,15
high,medium,seed_0007,Offline teacher,0.218605736588555,15
high,medium,seed_0008,No grouping,0.07164522658167673,15
high,medium,seed_0008,CQI k-means,0.15868370206783897,15
high,medium,seed_0008,CQI k-means (k-means++),0.15868370206783897,15
high,medium,seed_0008,Resource-cost k-means,0.13840561899029913,15
high,medium,seed_0008,Multi-feature k-means,0.14977411237661992,15
high,medium,seed_0008,CQI+resource-cost hybrid (paper method),0.16532488779548757,15
high,medium,seed_0008,Offline teacher,0.19339675570647033,15
high,medium,seed_0009,No grouping,0.13134958206640732,15
high,medium,seed_0009,CQI k-means,0.1787250825259428,15
high,medium,seed_0009,CQI k-means (k-means++),0.1787250825259428,15
high,medium,seed_0009,Resource-cost k-means,0.1884468631151493,15
high,medium,seed_0009,Multi-feature k-means,0.1806770653551689,15
high,medium,seed_0009,CQI+resource-cost hybrid (paper method),0.19102992168100108,15
high,medium,seed_0009,Offline teacher,0.23156854754490747,15
high,medium,seed_0010,No grouping,0.059704355484730603,15
high,medium,seed_0010,CQI k-means,0.14910330460409568,15
high,medium,seed_0010,CQI k-means (k-means++),0.1481082320126835,15
high,medium,seed_0010,Resource-cost k-means,0.1375249758663331,15
high,medium,seed_0010,Multi-feature k-means,0.15336345222946504,15
high,medium,seed_0010,CQI+resource-cost hybrid (paper method),0.160055463501896,15
high,medium,seed_0010,Offline teacher,0.2023793050938484,15
low,heavy,seed_0001,No grouping,0.35593639169248775,15
low,heavy,seed_0001,CQI k-means,0.35593639169248775,15
low,heavy,seed_0001,CQI k-means (k-means++),0.35593639169248775,15
low,heavy,seed_0001,Resource-cost k-means,0.35593639169248775,15
low,heavy,seed_0001,Multi-feature k-means,0.35593639169248775,15
low,heavy,seed_0001,CQI+resource-cost hybrid (paper method),0.35593639169248775,15
low,heavy,seed_0001,Offline teacher,0.35593639169248775,15
low,heavy,seed_0002,No grouping,0.35593639169248775,15
low,heavy,seed_0002,CQI k-means,0.35593639169248775,15
low,heavy,seed_0002,CQI k-means (k-means++),0.35593639169248775,15
low,heavy,seed_0002,Resource-cost k-means,0.35593639169248775,15
low,heavy,seed_0002,Multi-feature k-means,0.35593639169248775,15
low,heavy,seed_0002,CQI+resource-cost hybrid (paper method),0.35593639169248775,15
low,heavy,seed_0002,Offline teacher,0.35593639169248775,15
low,heavy,seed_0003,No grouping,0.35593639169248775,15
low,heavy,seed_0003,CQI k-means,0.35593639169248775,15
low,heavy,seed_0003,CQI k-means (k-means++),0.35593639169248775,15
low,heavy,seed_0003,Resource-cost k-means,0.35593639169248775,15
low,heavy,seed_0003,Multi-feature k-means,0.35593639169248775,15
low,heavy,seed_0003,CQI+resource-cost hybrid (paper method),0.35593639169248775,15
low,heavy,seed_0003,Offline teacher,0.35593639169248775,15
low,heavy,seed_0004,No grouping,0.35593639169248775,15
low,heavy,seed_0004,CQI k-means,0.35593639169248775,15
low,heavy,seed_0004,CQI k-means (k-means++),0.35593639169248775,15
low,heavy,seed_0004,Resource-cost k-means,0.35593639169248775,15
low,heavy,seed_0004,Multi-feature k-means,0.35593639169248775,15
low,heavy,seed_0004,CQI+resource-cost hybrid (paper method),0.35593639169248775,15
low,heavy,seed_0004,Offline teacher,0.35593639169248775,15
low,heavy,seed_0005,No grouping,0.35593639169248775,15
low,heavy,seed_0005,CQI k-means,0.35593639169248775,15
low,heavy,seed_0005,CQI k-means (k-means++),0.35593639169248775,15
low,heavy,seed_0005,Resource-cost k-means,0.35593639169248775,15
low,heavy,seed_0005,Multi-feature k-means,0.35593639169248775,15
low,heavy,seed_0005,CQI+resource-cost hybrid (paper method),0.35593639169248775,15
low,heavy,seed_0005,Offline teacher,0.35593639169248775,15
low,heavy,seed_0006,No grouping,0.35593639169248775,15
low,heavy,seed_0006,CQI k-means,0.35593639169248775,15
low,heavy,seed_0006,CQI k-means (k-means++),0.35593639169248775,15
low,heavy,seed_0006,Resource-cost k-means,0.35593639169248775,15
low,heavy,seed_0006,Multi-feature k-means,0.35593639169248775,15
low,heavy,seed_0006,CQI+resource-cost hybrid (paper method),0.35593639169248775,15
