dispersion,seed,usable_scenarios,users,bands,history_steps,cqi_mean,cqi_std,cqi_min,cqi_p05,cqi_median,cqi_p95,cqi_max,duration_s,radio_gzip_bytes,mobility_gzip_bytes,radio_uncompressed_sha256,mobility_uncompressed_sha256
high,20,15,24,25,5,9.225,3.0316730804403473,3,4.0,9.0,14.0,15,38,13590358,228591,8b3171d377a4cfca5f14740bc8c4e543489fdd34615586b82f5c2fbad4c34af5,16fd3a6a21ccd52e75ad82dc5fccdedea1ec06e520c7104981f83c9d8ead8942
low,21,15,24,25,5,14.775,0.6428560405634288,9,14.0,15.0,15.0,15,31,12037722,228260,5cd39dcc5b46f1d4e7f48234f3ba2dfa97b9f4322035e5bce11d70cc29b7b19d,c1b9a3099c5d17a818a4e6c0263f8a6f0911bb5253a0676f1c97f19111ca3a78
mid,21,15,24,25,5,12.675,2.1167158786930074,6,8.0,13.0,15.0,15,30,13138338,228260,f88c723daa8d0a11919479c9fd613fe3e5f0ef90ce982a61706d16f21c275ea2,c1b9a3099c5d17a818a4e6c0263f8a6f0911bb5253a0676f1c97f19111ca3a78
high,21,15,24,25,5,9.322222222222223,2.8889743577100457,1,4.0,9.0,14.0,15,30,13606531,228260,8e6177c5845c9bf60c7a5f0b000679706258e5a0ecf3c1bbd8c8705ce587e4b3,c1b9a3099c5d17a818a4e6c0263f8a6f0911bb5253a0676f1c97f19111ca3a78
low,22,15,24,25,5,14.730555555555556,0.6767239074493971,10,13.0,15.0,15.0,15,30,12015280,229126,82d5a133ce0504a9080114118912840e6e0121a6d46fcc5132f87845a8f7dc02,df7b70986e8115832fa5d72a19ac4283c4c632b0af6a1936b7aaeca8a6eb15ab
mid,22,15,24,25,5,12.469444444444445,2.2271455877727893,5,8.0,13.0,15.0,15,33,13228852,229126,b73deb5c4c92bd60186ac87aa366ad1f9b52f8c181edfdda01afa586c1840612,df7b70986e8115832fa5d72a19ac4283c4c632b0af6a1936b7aaeca8a6eb15ab
high,22,15,24,25,5,9.136111111111111,2.8177663314699166,2,4.0,9.0,14.0,15,36,13654360,229126,c4f0bb85f2c629448a4a97ba644af13bf11b191dc13bca9ae5d57eda56465626,df7b70986e8115832fa5d72a19ac4283c4c632b0af6a1936b7aaeca8a6eb15ab
low,23,15,24,25,5,14.783333333333333,0.5555277770832986,11,14.0,15.0,15.0,15,31,11989827,228152,209b721f05c5f6c216768ed080133c1825580ce2b6e1db684fce649033fb395c,c030c9a9450316dece91674e339af0dd87dce66ed5e24eb7f0a93cc23631bfdb
mid,23,15,24,25,5,12.694444444444445,2.0765816521448635,3,9.0,13.0,15.0,15,33,13154675,228152,a91b3dd72c3395cf49954ddfa7314796037faea67377ef6d37ba8181b10402ac,c030c9a9450316dece91674e339af0dd87dce66ed5e24eb7f0a93cc23631bfdb
high,23,15,24,25,5,9.272222222222222,2.949257073222105,2,4.0,9.0,14.0,15,33,13525495,228152,333bd6ef3e0f4985cece2d524d53d40d305b5c94df941d44d25b7381cf72d977,c030c9a9450316dece91674e339af0dd87dce66ed5e24eb7f0a93cc23631bfdb
low,24,15,24,25,5,14.73611111111111,0.7030302576773467,10,13.0,15.0,15.0,15,32,12010984,229006,cd2ba33612cd0ba11be32a7acce5ce37ff56942df1c78811f14df43f181b02a2,2cd4e97247cbbf9aa8707a40285d1fbedc03fab26ecb75c91e0b355926f1f031
mid,24,15,24,25,5,12.747222222222222,2.08433124248404,5,8.0,13.0,15.0,15,31,13200280,229006,1cd3582b00d6d03a1ebbd65e82cc88c356944fb8df5e0a59df930bf79e743751,2cd4e97247cbbf9aa8707a40285d1fbedc03fab26ecb75c91e0b355926f1f031
high,24,15,24,25,5,9.177777777777777,3.0526046356723624,2,4.0,9.0,14.0,15,33,13561500,229006,1d6d75d3d7983d3a7fc49090d9a1065065ffc79a40cdd56153a40b6a6f3900c0,2cd4e97247cbbf9aa8707a40285d1fbedc03fab26ecb75c91e0b355926f1f031
low,25,15,24,25,5,14.794444444444444,0.554749415123844,11,14.0,15.0,15.0,15,31,11941808,228343,3d6405cb53158a0a0fe9c9b4df491631a251a08a40e378c9cf326906ad63db32,8ca28b58c70bf98bba68e5656291173660f931afaa556e69c02427063f75a76d
mid,25,15,24,25,5,12.725,2.140726122915618,5,8.0,13.0,15.0,15,32,13109118,228343,6ae554c75bcc9305179c6c6f260c5dc3e19cbc71a9e154d72d3b8c7c529c3716,8ca28b58c70bf98bba68e5656291173660f931afaa556e69c02427063f75a76d
high,25,15,24,25,5,9.480555555555556,2.875115402944187,2,4.0,10.0,14.0,15,31,13554921,228343,1e13dbbca4faaa1e2b01c95d168037ad813a5f5e7e6b2fa13badba6b9d5c7974,8ca28b58c70bf98bba68e5656291173660f931afaa556e69c02427063f75a76d
low,26,15,24,25,5,14.797222222222222,0.5681285609159208,11,14.0,15.0,15.0,15,29,12044191,229770,c0664a92c866bda4eaa9d1c303a70bb405a1fe03399b3b124cf2dbeb2131f8dd,d8df8e2fd71b8712f5b47c205bfccfbfa8a8fd599153f230db7f257222a64e32
mid,26,15,24,25,5,12.775,2.156884970919353,5,8.0,13.0,15.0,15,29,13188400,229770,72491be496053f849ba2e1d5f7b4869d4e5ea460ce79f53cb375e958a346c0f7,d8df8e2fd71b8712f5b47c205bfccfbfa8a8fd599153f230db7f257222a64e32
high,26,15,24,25,5,9.15,2.864485604393532,2,4.0,9.0,14.0,15,29,13670722,229770,5d8bd81c724023301d90501d4e12170db48fa38c9a85eb8e6b7a44ccf4678e36,d8df8e2fd71b8712f5b47c205bfccfbfa8a8fd599153f230db7f257222a64e32
low,27,15,24,25,5,14.725,0.6186342484322488,11,13.95,15.0,15.0,15,28,12156516,230664,fa3c9d1325c65b6370f916564677b848c9aa14b42d9e3a08931cfe393fba4b5a,39a657aa3d4b06679118141cb47b996e0deeb252fc4df7769c33d381c0055b1b
mid,27,15,24,25,5,12.78888888888889,2.1447322777470097,5,8.0,13.0,15.0,15,29,13313045,230664,f1c6c09825f4ae672983dcd1238e57ca33e00fdaa59525aea6660086eeec01db,39a657aa3d4b06679118141cb47b996e0deeb252fc4df7769c33d381c0055b1b
high,27,15,24,25,5,9.119444444444444,3.1224384563318854,2,4.0,9.0,14.0,15,29,13710054,230664,f164096073ecccf9166efcdf38b7b990f2bee338b82cda935c4b5bf15c0e024b,39a657aa3d4b06679118141cb47b996e0deeb252fc4df7769c33d381c0055b1b
low,28,15,24,25,5,14.747222222222222,0.6236033778288137,11,14.0,15.0,15.0,15,26,12183495,231685,1bbd865e4aaf7836aa4678fd0f713890b19ad2fc876ef95b20fdec2fb7f6aa76,91a9db598364127cc3607c48e62d8555dc5aefe2be763b40d649d7790c5442b9
mid,28,15,24,25,5,12.625,2.3180301742835208,4,8.0,13.0,15.0,15,28,13389696,231685,fd5120769f94dfa487c64fa96e11f7f2a716b401f7c2a6843ce644bc11118e0f,91a9db598364127cc3607c48e62d8555dc5aefe2be763b40d649d7790c5442b9
high,28,15,24,25,5,9.558333333333334,3.140583367606867,3,4.0,10.0,14.0,15,28,13734154,231685,687ae1c0b935ae40b9f2063f15bfa99e03ddecc99a7f59c0f5e4cb0c62d23d0a,91a9db598364127cc3607c48e62d8555dc5aefe2be763b40d649d7790c5442b9
low,29,15,24,25,5,14.791666666666666,0.5710005837708633,11,14.0,15.0,15.0,15,28,12072789,230334,84a45e675f6e5a77f838b7feeb41a90fae1da35c19181f9df0c7ceba4774830c,c763e4c063e65a94e8a1474e21eb82edaa0d78aed3b5241be50d48909bc9ec46
mid,29,15,24,25,5,12.4,2.2188585654190156,5,8.0,13.0,15.0,15,28,13317306,230334,21730637ff61b9d14b41b92b79a802773b4a1e0ad77225acfe35d57d7acebfdd,c763e4c063e65a94e8a1474e21eb82edaa0d78aed3b5241be50d48909bc9ec46
high,29,15,24,25,5,9.233333333333333,3.0597748646301124,2,4.0,9.0,14.0,15,28,13652768,230334,7db5ca14566a963ec07907bd8bb25bb5634d527f42627646f383a558f2a3245c,c763e4c063e65a94e8a1474e21eb82edaa0d78aed3b5241be50d48909bc9ec46
low,30,15,24,25,5,14.755555555555556,0.5974224470564473,10,14.0,15.0,15.0,15,27,12092106,229868,1a125743e4c0a6be71eb863e5fd62f9498ed1c499191aa32682ab4066f4a061b,c69c2d088d995cbc7b4e83f2b7fa50bb7e6c41eb993bc754681084df6840c700
mid,30,15,24,25,5,12.558333333333334,2.324253165594871,5,8.0,13.0,15.0,15,27,13259162,229868,244f951dac787725d5607e633297ffd1751e098178c15efa548c7ea3e3ce5b16,c69c2d088d995cbc7b4e83f2b7fa50bb7e6c41eb993bc754681084df6840c700
high,30,15,24,25,5,9.458333333333334,3.0246097085225543,2,4.0,10.0,14.0,15,27,13673974,229868,c4c5a3f126c7931a894f1892a84e5439ebc87b27d8495e8eecbc5e56c74a673a,c69c2d088d995cbc7b4e83f2b7fa50bb7e6c41eb993bc754681084df6840c700
