dispersion,seed,usable_scenarios,users,bands,history_steps,cqi_mean,cqi_std,cqi_min,cqi_p05,cqi_median,cqi_p95,cqi_max,duration_s,radio_gzip_bytes,mobility_gzip_bytes,radio_uncompressed_sha256,mobility_uncompressed_sha256
high,40,15,24,25,5,8.91388888888889,2.987162605567157,2,4.0,9.0,14.0,15,27,13710087,231106,ee781410dbcb5c6f98e4a0e9f95b012f5e8c103699f8d85a82ceff2d8f969043,d6112ef397cd9fefcaa95b6a38e856d1fff3177e8b12e72eaad43c110c8a72d4
low,41,15,24,25,5,14.741666666666667,0.7011399448200212,10,13.0,15.0,15.0,15,28,12120705,229125,552cab6ab94ce0de0ab1b7f2c277b0e414e4f172f55792430ee51c18d6bb872d,57de72c8fbecffe880f24d5816093f7a1a3403b573c7e8a16a6d59579f6392f6
mid,41,15,24,25,5,12.697222222222223,2.199745706403244,4,8.0,13.0,15.0,15,28,13205255,229125,4aa36852ede98fd909f488eb3c4c290a952f332e389c504b93171fdbccf840eb,57de72c8fbecffe880f24d5816093f7a1a3403b573c7e8a16a6d59579f6392f6
high,41,15,24,25,5,9.433333333333334,2.951647374301717,3,4.0,10.0,14.0,15,29,13621527,229125,3df03ae0a6a1b00cbe5792e318db864e5e097177ce124f44951ac09767ac7988,57de72c8fbecffe880f24d5816093f7a1a3403b573c7e8a16a6d59579f6392f6
low,42,15,24,25,5,14.755555555555556,0.5880497165510774,11,13.95,15.0,15.0,15,29,12070335,230260,7f28c6db00179fb21405b3fa5f6ea8e04cdd06ebb1ba2e4695fb36a3ca48d287,55493d9e4a8f7af8816c11964439179a49283c652d611b6b919c33ba6e57f9eb
mid,42,15,24,25,5,12.63888888888889,2.1724637546877736,5,8.0,13.0,15.0,15,29,13366234,230260,9689df27c9c411b1b4f8c22658f0b10a6fe0e23a1d15209dcb2f924bbf5e2016,55493d9e4a8f7af8816c11964439179a49283c652d611b6b919c33ba6e57f9eb
high,42,15,24,25,5,9.219444444444445,3.129458547811288,2,4.0,9.5,14.0,15,30,13659554,230260,bb76237924aed03a533025246898a216d74913a0330de050b9b22b5b3c7f5834,55493d9e4a8f7af8816c11964439179a49283c652d611b6b919c33ba6e57f9eb
low,43,15,24,25,5,14.716666666666667,0.7053367989832942,10,13.0,15.0,15.0,15,28,12134378,230346,5321b6cb1faa10ee7a70b4d6dd9025bb6628da4268cdc1748d072de27ad5d933,227939c13c30c023f19f4d5ac1d0a6af1b56b0f99800bc3b2c9aebf4bcb9152b
mid,43,15,24,25,5,12.691666666666666,2.03631952851762,7,9.0,13.0,15.0,15,27,13325657,230346,d948d4580ee649f09ec6db74fbf9b45d85ffc4387dcac1a71be1bc8ad171e4d1,227939c13c30c023f19f4d5ac1d0a6af1b56b0f99800bc3b2c9aebf4bcb9152b
high,43,15,24,25,5,9.452777777777778,3.0655782589469793,2,4.0,9.0,14.0,15,28,13721134,230346,82fafcafcce6e8136cde39b5ca28199a7532176c552050840e99a54afa42f850,227939c13c30c023f19f4d5ac1d0a6af1b56b0f99800bc3b2c9aebf4bcb9152b
low,44,15,24,25,5,14.819444444444445,0.4866663495686435,12,14.0,15.0,15.0,15,28,12149101,230908,8f377bdf529abf90cd8ba13f6d818ff0db81ca28271fab3d57c8bb8662c67d06,13ee82448538b2c568a6fba731fc7f69c8dbcb7fef61d9fc4d51d0bdb1626978
mid,44,15,24,25,5,12.769444444444444,2.1498474680317368,5,9.0,13.0,15.0,15,27,13259849,230908,8c834ba87ee9fa22ad4e489b8d6d85921336838f60582d6b1c946c335e346dc7,13ee82448538b2c568a6fba731fc7f69c8dbcb7fef61d9fc4d51d0bdb1626978
