scenario_index,feature_mode,users,rbs,rb_budget_ratio,cqi_min,cqi_max,cqi_span,mean_cost_std,max_same_cqi_cost_std,teacher_groups,cqi_groups,resource_groups,multifeature_groups,teacher_gain_vs_no_grouping,teacher_gain_vs_cqi,resource_gain_vs_cqi,multifeature_gain_vs_cqi,resource_gap_vs_teacher,multifeature_gap_vs_teacher,cqi_pairwise_vs_teacher,resource_pairwise_vs_teacher,multifeature_pairwise_vs_teacher,teacher_utility,cqi_utility,resource_utility,multifeature_utility,no_grouping_utility,benchmark_id,benchmark_title,cqi_dispersion,rb_heterogeneity,pressure,scenario_mode,split,seed,accepted,acceptance_score,selected
10,history_cost_quality,12,72,0.42,8,13,5,0.012892673465668943,0.005469694011866448,2,2,2,2,0.024231759708561507,0.002423175970856062,0.0,0.0,0.002423175970856062,0.002423175970856062,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8575650930418949,0.8551419170710388,0.8551419170710388,0.8551419170710388,0.8333333333333334,bench_d2_h2_p2_main_general,Main general corridor showcase,d2_midspread,h2_mild_heterogeneous,p2_medium,corridor_general,train,31,0,0.0181185048053816,0
11,history_cost_quality,12,72,0.42,8,11,3,0.011457748769226467,0.0032736425054932707,2,1,1,1,0.007565093041894788,0.007565093041894788,0.0,0.0,0.007565093041894788,0.007565093041894788,0.696969696969697,0.696969696969697,0.696969696969697,0.8742317597085615,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,bench_d2_h2_p2_main_general,Main general corridor showcase,d2_midspread,h2_mild_heterogeneous,p2_medium,corridor_general,train,31,0,0.018381806748005994,0
12,history_cost_quality,12,72,0.42,7,13,6,0.01778042997191807,0.005787037037037035,2,1,1,1,0.005141917071038504,0.005141917071038504,0.0,0.0,0.005141917071038504,0.005141917071038504,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.8301419170710386,0.8250000000000001,0.8250000000000001,0.8250000000000001,0.8250000000000001,bench_d2_h2_p2_main_general,Main general corridor showcase,d2_midspread,h2_mild_heterogeneous,p2_medium,corridor_general,train,31,0,0.01356252037449967,0
13,history_cost_quality,12,72,0.42,7,12,5,0.023189103430055317,0.00810185185185184,2,1,1,1,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.879078111650274,0.8790781116502738,0.8790781116502738,0.8790781116502738,0.8790781116502738,bench_d2_h2_p2_main_general,Main general corridor showcase,d2_midspread,h2_mild_heterogeneous,p2_medium,corridor_general,train,31,0,0.0024305555555560626,0
14,history_cost_quality,12,72,0.42,8,12,4,0.013839235230852964,0.003472222222222217,2,1,1,1,0.011820314724954373,0.011820314724954373,0.0,0.0,0.011820314724954373,0.011820314724954373,0.696969696969697,0.696969696969697,0.696969696969697,0.8492317597085616,0.8374114449836072,0.8374114449836072,0.8374114449836072,0.8374114449836072,bench_d2_h2_p2_main_general,Main general corridor showcase,d2_midspread,h2_mild_heterogeneous,p2_medium,corridor_general,train,31,0,0.028228390534061724,0
15,history_cost_quality,12,72,0.42,8,13,5,0.014366933781917772,0.004629629629629629,2,2,2,2,0.012115879854280642,0.004846351941712124,0.0,0.0,0.004846351941712124,0.004846351941712124,0.5151515151515151,0.5151515151515151,0.5151515151515151,0.8954492131876141,0.8906028612459019,0.8906028612459019,0.8906028612459019,0.8833333333333334,bench_d2_h2_p2_main_general,Main general corridor showcase,d2_midspread,h2_mild_heterogeneous,p2_medium,corridor_general,train,31,1,0.016170262311111034,1
16,history_cost_quality,12,72,0.42,7,13,6,0.018641686273922358,0.009259259259259266,2,1,1,1,0.011820314724954262,0.011820314724954262,0.0,0.0,0.011820314724954262,0.011820314724954262,0.696969696969697,0.696969696969697,0.696969696969697,0.8658984263752282,0.8540781116502739,0.8540781116502739,0.8540781116502739,0.8540781116502739,bench_d2_h2_p2_main_general,Main general corridor showcase,d2_midspread,h2_mild_heterogeneous,p2_medium,corridor_general,train,31,1,0.02996450164517258,1
0,history_cost_quality,12,72,0.42,7,13,6,0.020120995077785954,0.005787037037037042,2,1,1,1,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.5151515151515151,0.5151515151515151,0.5151515151515151,0.879078111650274,0.8790781116502738,0.8790781116502738,0.8790781116502738,0.8790781116502738,bench_d2_h2_p2_main_general,Main general corridor showcase,d2_midspread,h2_mild_heterogeneous,p2_medium,corridor_general,test,1031,0,0.0017361111111116232,0
1,history_cost_quality,12,72,0.42,6,11,5,0.02440867674648512,0.005787037037037042,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8290781116502739,0.8290781116502739,0.8290781116502739,0.8290781116502739,0.8290781116502739,bench_d2_h2_p2_main_general,Main general corridor showcase,d2_midspread,h2_mild_heterogeneous,p2_medium,corridor_general,test,1031,0,0.0017361111111111125,0
2,history_cost_quality,12,72,0.42,7,13,6,0.018041164664373405,0.0034722222222222238,2,1,1,1,0.0027187411001825534,0.0027187411001825534,0.0,0.0,0.0027187411001825534,0.0027187411001825534,0.5151515151515151,0.5151515151515151,0.5151515151515151,0.8693854077668494,0.8666666666666668,0.8666666666666668,0.8666666666666668,0.8666666666666668,bench_d2_h2_p2_main_general,Main general corridor showcase,d2_midspread,h2_mild_heterogeneous,p2_medium,corridor_general,test,1031,0,0.00729477119708654,0
