scenario_id,ue_id,user_index,cqi_t_minus_4,cqi_t_minus_3,cqi_t_minus_2,cqi_t_minus_1,cqi_now_raw,cqi_now,previous_quality,distance_m,speed_mps,direction_to_gnb,x_m,y_m,rsrp_dbm,rsrq_db,wideband_sinr_db,mcs
simu5g_00000378,0,0,14.72,13.28,13.28,13.28,13.28,13,2,108.54692122821595,7.75920514622809,0.5102995019890292,226.65,335.391439845201,,,,
simu5g_00000378,1,1,13.6,13.6,14.4,14.4,14.4,14,2,116.81964862994161,7.48353425965863,0.6012047418315889,226.65,350.232526695421,,,,
simu5g_00000378,2,2,15.0,15.0,15.0,15.0,15.0,15,2,125.59040891999395,7.54194778998986,0.6689701794064756,226.65,364.016238386941,,,,
simu5g_00000378,3,3,12.8,12.8,12.8,12.8,13.68,14,2,156.01192091385778,2.78140424698957,0.8012335667743048,226.65,405.001987853121,,,,
simu5g_00000378,4,4,11.28,11.28,11.28,11.28,11.28,11,2,164.3491116612401,1.13265823805656,0.8230297941135727,226.65,415.264215533299,,,,
simu5g_00000379,15,0,14.96,15.0,15.0,15.0,15.0,15,3,84.92154487692622,7.02842662030076,0.19149209406417006,223.35,103.738195540353,,,,
simu5g_00000379,31,1,15.0,14.96,14.96,14.96,14.92,15,3,107.4311062251299,12.5688973301943,-0.12036886679142415,152.931360514468,226.65,,,,
simu5g_00000380,0,0,13.28,13.28,13.28,13.28,14.0,14,2,108.14973992039977,7.82431935790287,0.5049388740981184,226.65,334.609007909411,,,,
simu5g_00000380,1,1,13.6,14.4,14.4,14.4,14.4,14,2,116.36890555365962,7.523159893751,0.5970685242374094,226.65,349.480210706046,,,,
simu5g_00000380,2,2,15.0,15.0,15.0,15.0,15.0,15,2,125.08396558782701,7.58950734887814,0.6656111937352541,226.65,363.257287652053,,,,
simu5g_00000380,3,3,12.8,12.8,12.8,13.68,13.68,14,2,155.78385121570847,2.84764505269279,0.8005786374812394,226.65,404.717223347852,,,,
simu5g_00000380,4,4,11.28,11.28,11.28,11.28,11.28,11,2,164.25025208596904,1.20133863754987,0.8227937549758475,226.65,415.144081669544,,,,
simu5g_00000381,15,0,15.0,15.0,15.0,15.0,15.0,15,3,84.78929067401023,7.05413072124347,0.18347118207808502,223.35,104.443608612477,,,,
