scenario,grouping,greedy_utility,dp_utility,utility_gap,greedy_adr,dp_adr,adr_gap,greedy_rb_util,dp_rb_util,greedy_switching,dp_switching
17,Resource-cost,0.9000000000000002,0.9096927038834246,0.009692703883424358,7500.0,6933.333333333333,-566.666666666667,0.8245614035087719,0.6842105263157895,0.20000000000000004,0.13333333333333333
17,Teacher,0.9000000000000002,0.9169622317959932,0.016962231795992988,7500.0,6508.333333333333,-991.666666666667,0.9649122807017544,0.7543859649122807,0.20000000000000004,0.08333333333333333
18,No grouping,0.8416666666666667,0.8416666666666667,0.0,7500.0,7500.0,0.0,0.20754716981132076,0.18867924528301888,0.3166666666666667,0.3166666666666667
18,CQI k-means,0.8416666666666667,0.8440898426375231,0.002423175970856395,7500.0,7358.333333333333,-141.66666666666697,0.5471698113207547,0.4528301886792453,0.3166666666666667,0.30000000000000004
18,Resource-cost,0.8416666666666667,0.8416666666666667,0.0,7500.0,7500.0,0.0,0.20754716981132076,0.18867924528301888,0.3166666666666667,0.3166666666666667
18,Teacher,0.8416666666666667,0.8586288984626599,0.01696223179599321,7500.0,6508.333333333333,-991.666666666667,0.8867924528301887,0.6792452830188679,0.3166666666666667,0.19999999999999998
19,No grouping,0.8750000000000001,0.8750000000000001,0.0,7500.0,7500.0,0.0,0.32727272727272727,0.32727272727272727,0.25000000000000006,0.25000000000000006
19,CQI k-means,0.8750000000000001,0.8871158798542808,0.012115879854280642,7500.0,6791.666666666667,-708.333333333333,0.9454545454545454,0.7818181818181819,0.25000000000000006,0.16666666666666666
19,Resource-cost,0.8710437149557154,0.8846927038834247,0.013648988927709271,6466.666666666667,6933.333333333333,466.66666666666606,0.9636363636363636,1.0,0.15,0.18333333333333335
19,Teacher,0.8846927038834247,0.8919622317959931,0.007269527912568408,6933.333333333333,6508.333333333333,-425.0,1.0,0.8545454545454545,0.18333333333333335,0.13333333333333333
20,No grouping,0.8916666666666666,0.8916666666666666,0.0,7500.0,7500.0,0.0,0.28205128205128205,0.2564102564102564,0.21666666666666667,0.21666666666666667
20,CQI k-means,0.8916666666666666,0.8940898426375229,0.002423175970856284,7500.0,7358.333333333333,-141.66666666666697,0.717948717948718,0.5897435897435898,0.21666666666666667,0.20000000000000004
20,Resource-cost,0.8916666666666666,0.8916666666666666,0.0,7500.0,7500.0,0.0,0.28205128205128205,0.2564102564102564,0.21666666666666667,0.21666666666666667
20,Teacher,0.8943854077668493,0.9086288984626597,0.014243490695810435,6366.666666666667,6508.333333333333,141.66666666666606,1.0,0.9230769230769231,0.11666666666666665,0.10000000000000002
21,No grouping,0.9333333333333332,0.9333333333333332,0.0,7500.0,7500.0,0.0,0.3684210526315789,0.34210526315789475,0.13333333333333333,0.13333333333333333
21,CQI k-means,0.9478723891584703,0.9478723891584703,0.0,6650.0,6650.0,0.0,0.9736842105263158,0.868421052631579,0.03333333333333333,0.03333333333333333
21,Resource-cost,0.9333333333333332,0.9381796852750456,0.004846351941712346,7500.0,7216.666666666667,-283.33333333333303,0.8947368421052632,0.7368421052631579,0.13333333333333333,0.10000000000000002
21,Teacher,0.9502955651293264,0.9502955651293264,0.0,6508.333333333333,6508.333333333333,0.0,0.9736842105263158,0.868421052631579,0.016666666666666666,0.016666666666666666
22,No grouping,0.9333333333333335,0.9333333333333335,0.0,7500.0,7500.0,0.0,0.3055555555555556,0.2777777777777778,0.13333333333333333,0.13333333333333333
22,CQI k-means,0.9333333333333335,0.9406028612459018,0.0072695279125682966,7500.0,7075.0,-425.0,0.7777777777777778,0.6666666666666666,0.13333333333333333,0.08333333333333333
22,Resource-cost,0.9333333333333335,0.9357565093041895,0.002423175970856062,7500.0,7358.333333333333,-141.66666666666697,0.8055555555555556,0.6944444444444444,0.13333333333333333,0.11666666666666665
22,Teacher,0.9430260372167578,0.9478723891584703,0.004846351941712457,6933.333333333333,6650.0,-283.33333333333303,1.0,0.8333333333333334,0.06666666666666667,0.03333333333333333
23,No grouping,0.8416666666666668,0.8416666666666668,0.0,7500.0,7500.0,0.0,0.3076923076923077,0.28846153846153844,0.31666666666666665,0.31666666666666665
23,CQI k-means,0.8416666666666668,0.8440898426375228,0.002423175970856062,7500.0,7358.333333333333,-141.66666666666697,0.9615384615384616,0.8269230769230769,0.31666666666666665,0.3
23,Resource-cost,0.8416666666666668,0.846513018608379,0.004846351941712235,7500.0,7216.666666666667,-283.33333333333303,0.9038461538461539,0.7884615384615384,0.31666666666666665,0.2833333333333334
23,Teacher,0.8416666666666668,0.8586288984626598,0.016962231795992988,7500.0,6508.333333333333,-991.666666666667,0.9807692307692307,0.7692307692307693,0.31666666666666665,0.19999999999999998
24,No grouping,0.5888508447506849,0.5888508447506849,0.0,3000.0,3000.0,0.0,0.6428571428571429,0.6428571428571429,0.3166666666666667,0.3166666666666667
24,CQI k-means,0.717581658476731,0.7175816584767309,-1.1102230246251565e-16,5075.0,5075.0,0.0,0.9107142857142857,0.8928571428571429,0.2333333333333333,0.2333333333333333
24,Resource-cost,0.717581658476731,0.7175816584767309,-1.1102230246251565e-16,5075.0,5075.0,0.0,0.9107142857142857,0.8928571428571429,0.2333333333333333,0.2333333333333333
24,Teacher,0.6625761869651311,0.7368564870815922,0.07428030011646114,3750.0,5150.0,1400.0,0.6964285714285714,1.0,0.20000000000000004,0.2333333333333333
25,No grouping,0.8583333333333334,0.8583333333333334,0.0,7500.0,7500.0,0.0,0.22,0.2,0.2833333333333334,0.2833333333333334
25,CQI k-means,0.8583333333333334,0.870449213187614,0.012115879854280642,7500.0,6791.666666666667,-708.333333333333,0.58,0.48,0.2833333333333334,0.19999999999999998
25,Resource-cost,0.8583333333333334,0.8631796852750457,0.004846351941712346,7500.0,7216.666666666667,-283.33333333333303,0.4,0.32,0.2833333333333334,0.25
25,Teacher,0.8583333333333334,0.8704492131876141,0.012115879854280753,7500.0,6791.666666666667,-708.333333333333,0.78,0.62,0.2833333333333334,0.20000000000000004
