scenario_id,timestamp_s,ue_id_a,ue_id_b,cqi_a,cqi_b,cqi_gap,mean_profile_gap_kbps,max_profile_gap_kbps,ambiguous_pair
simu5g_00000185,10.6,15,31,15,15,0.000000,21.760000,352.000000,1
simu5g_00000186,10.6,0,1,14,13,1.000000,132.480000,632.000000,0
simu5g_00000186,10.6,0,2,14,15,1.000000,43.840000,552.000000,0
simu5g_00000186,10.6,1,2,13,15,2.000000,137.280000,632.000000,0
simu5g_00000187,10.7,15,31,15,15,0.000000,2.560000,32.000000,1
simu5g_00000188,10.7,0,1,14,13,1.000000,132.480000,632.000000,0
simu5g_00000188,10.7,0,2,14,15,1.000000,43.840000,552.000000,0
simu5g_00000188,10.7,1,2,13,15,2.000000,137.280000,632.000000,0
simu5g_00000189,10.8,15,31,15,15,0.000000,1.280000,32.000000,1
simu5g_00000190,10.8,0,1,14,13,1.000000,132.480000,632.000000,0
simu5g_00000190,10.8,0,2,14,15,1.000000,43.840000,552.000000,0
simu5g_00000190,10.8,1,2,13,15,2.000000,137.280000,632.000000,0
simu5g_00000191,10.9,15,31,15,15,0.000000,1.280000,32.000000,1
simu5g_00000192,10.9,0,1,14,13,1.000000,132.480000,632.000000,0
simu5g_00000192,10.9,0,2,14,15,1.000000,43.840000,552.000000,0
simu5g_00000192,10.9,1,2,13,15,2.000000,137.280000,632.000000,0
simu5g_00000193,11.0,15,31,15,15,0.000000,1.280000,32.000000,1
simu5g_00000194,11.0,0,1,14,13,1.000000,132.480000,632.000000,0
simu5g_00000194,11.0,0,2,14,15,1.000000,43.840000,552.000000,0
simu5g_00000194,11.0,1,2,13,15,2.000000,137.280000,632.000000,0
simu5g_00000195,11.1,15,31,15,15,0.000000,1.280000,32.000000,1
simu5g_00000196,11.1,0,1,14,14,0.000000,82.560000,552.000000,1
simu5g_00000196,11.1,0,2,14,15,1.000000,43.840000,552.000000,0
simu5g_00000196,11.1,1,2,14,15,1.000000,77.120000,552.000000,0
simu5g_00000197,11.2,15,31,15,15,0.000000,1.280000,32.000000,1
simu5g_00000198,11.2,0,1,14,14,0.000000,82.560000,552.000000,1
simu5g_00000198,11.2,0,2,14,15,1.000000,43.840000,552.000000,0
simu5g_00000198,11.2,1,2,14,15,1.000000,77.120000,552.000000,0
simu5g_00000199,11.3,15,31,15,15,0.000000,2.560000,32.000000,1
simu5g_00000200,11.3,0,1,15,14,1.000000,70.080000,552.000000,0
simu5g_00000200,11.3,0,2,15,15,0.000000,9.600000,176.000000,1
simu5g_00000200,11.3,1,2,14,15,1.000000,77.120000,552.000000,0
simu5g_00000201,11.4,15,31,15,15,0.000000,2.560000,32.000000,1
simu5g_00000202,11.4,0,1,15,14,1.000000,70.080000,552.000000,0
simu5g_00000202,11.4,0,2,15,13,2.000000,164.800000,552.000000,0
