scenario_mode,load_level,rb_budget_ratio,seed,test_index,kmax,feature_mode,method,pairwise_accuracy,ari,nmi,teacher_groups,predicted_groups,training_loads
ambiguous,medium,0.25,9,10,3,history_cost_quality,LE-GRA MVP,0.9166666666666666,0.8330703692016409,0.7793006979193456,2,2,light+medium
ambiguous,medium,0.25,9,11,3,history_cost_quality,Multi-feature k-means,0.8405797101449275,0.676056338028169,0.6266172073486219,2,2,light+medium
ambiguous,medium,0.25,9,11,3,history_cost_quality,LE-GRA MVP,0.8405797101449275,0.676056338028169,0.6266172073486219,2,2,light+medium
ambiguous,medium,0.25,9,12,3,history_cost_quality,Multi-feature k-means,0.4855072463768116,-0.009634705548972186,0.15001718135393102,3,2,light+medium
ambiguous,medium,0.25,9,12,3,history_cost_quality,LE-GRA MVP,0.37681159420289856,-0.05610678531701886,0.15532694421733687,3,3,light+medium
ambiguous,medium,0.25,9,13,3,history_cost_quality,Multi-feature k-means,0.8623188405797102,0.7195571955719557,0.6814273271852466,3,3,light+medium
ambiguous,medium,0.25,9,13,3,history_cost_quality,LE-GRA MVP,0.8442028985507246,0.6818912833708589,0.656299381154408,3,3,light+medium
ambiguous,medium,0.25,9,14,3,history_cost_quality,Multi-feature k-means,0.7717391304347826,0.0,0.0,2,1,light+medium
ambiguous,medium,0.25,9,14,3,history_cost_quality,LE-GRA MVP,0.7717391304347826,0.0,0.0,2,1,light+medium
ambiguous,medium,0.25,9,15,3,history_cost_quality,Multi-feature k-means,0.9565217391304348,0.9108958837772398,0.8866662832585234,3,3,light+medium
ambiguous,medium,0.25,9,15,3,history_cost_quality,LE-GRA MVP,0.855072463768116,0.700374531835206,0.7540921851613213,3,3,light+medium
ambiguous,medium,0.25,9,16,3,history_cost_quality,Multi-feature k-means,1.0,1.0,1.0,1,1,light+medium
ambiguous,medium,0.25,9,16,3,history_cost_quality,LE-GRA MVP,1.0,1.0,1.0,1,1,light+medium
ambiguous,medium,0.25,9,17,3,history_cost_quality,Multi-feature k-means,0.8405797101449275,0.0,0.0,2,1,light+medium
ambiguous,medium,0.25,9,17,3,history_cost_quality,LE-GRA MVP,0.8405797101449275,0.0,0.0,2,1,light+medium
ambiguous,medium,0.25,9,18,3,history_cost_quality,Multi-feature k-means,0.7608695652173914,0.5269308679166883,0.5204208250521145,3,2,light+medium
ambiguous,medium,0.25,9,18,3,history_cost_quality,LE-GRA MVP,0.7608695652173914,0.5083931559345819,0.5605279911665408,3,3,light+medium
ambiguous,medium,0.25,9,19,3,history_cost_quality,Multi-feature k-means,0.8913043478260869,0.7694235588972431,0.7470129667546934,3,3,light+medium
ambiguous,medium,0.25,9,19,3,history_cost_quality,LE-GRA MVP,0.6992753623188406,0.42827193770590005,0.5197748573209354,3,2,light+medium
ambiguous,light,0.5,17,0,3,history_cost_quality,Multi-feature k-means,0.6268115942028986,0.28364076201995764,0.44313846862042694,2,3,light+medium
ambiguous,light,0.5,17,0,3,history_cost_quality,LE-GRA MVP,1.0,1.0,0.9999999999999998,2,2,light+medium
ambiguous,light,0.5,17,1,3,history_cost_quality,Multi-feature k-means,0.34782608695652173,0.0,0.0,3,1,light+medium
ambiguous,light,0.5,17,1,3,history_cost_quality,LE-GRA MVP,0.7644927536231884,0.47708989157047915,0.5244491473361355,3,3,light+medium
ambiguous,light,0.5,17,2,3,history_cost_quality,Multi-feature k-means,0.8188405797101449,0.5929923907273049,0.6463723788134287,3,3,light+medium
ambiguous,light,0.5,17,2,3,history_cost_quality,LE-GRA MVP,0.7101449275362319,0.34085617051764283,0.4704484904177189,3,3,light+medium
ambiguous,light,0.5,17,3,3,history_cost_quality,Multi-feature k-means,0.5471014492753623,0.09277374566109181,0.3065479561726144,3,2,light+medium
ambiguous,light,0.5,17,3,3,history_cost_quality,LE-GRA MVP,0.6231884057971014,0.2547899683264967,0.39344464013966307,3,2,light+medium
ambiguous,light,0.5,17,4,3,history_cost_quality,Multi-feature k-means,0.358695652173913,-0.04108771630722019,0.12587315667599888,3,2,light+medium
ambiguous,light,0.5,17,4,3,history_cost_quality,LE-GRA MVP,0.7318840579710145,0.4034001285271952,0.4714452497006332,3,3,light+medium
ambiguous,light,0.5,17,5,3,history_cost_quality,Multi-feature k-means,0.9456521739130435,0.8915889808316749,0.8962694224204701,3,2,light+medium
ambiguous,light,0.5,17,5,3,history_cost_quality,LE-GRA MVP,0.5652173913043478,0.12237002490858023,0.3572033302644658,3,3,light+medium
ambiguous,light,0.5,17,6,3,history_cost_quality,Multi-feature k-means,0.4855072463768116,-0.05021705343265982,0.11825767131669483,3,3,light+medium
ambiguous,light,0.5,17,6,3,history_cost_quality,LE-GRA MVP,0.4891304347826087,-0.025508590703067352,0.10158672819557159,3,2,light+medium
ambiguous,light,0.5,17,7,3,history_cost_quality,Multi-feature k-means,0.5253623188405797,0.0,0.0,3,1,light+medium
ambiguous,light,0.5,17,7,3,history_cost_quality,LE-GRA MVP,0.5289855072463768,0.07329924066325738,0.2056800264008582,3,3,light+medium
ambiguous,light,0.5,17,8,3,history_cost_quality,Multi-feature k-means,0.8731884057971014,0.743712193568927,0.7135349768379503,3,3,light+medium
ambiguous,light,0.5,17,8,3,history_cost_quality,LE-GRA MVP,0.7101449275362319,0.3915343915343915,0.5317477931342152,3,3,light+medium
ambiguous,light,0.5,17,9,3,history_cost_quality,Multi-feature k-means,0.5036231884057971,0.024156085475379417,0.12193921692196037,2,3,light+medium
ambiguous,light,0.5,17,9,3,history_cost_quality,LE-GRA MVP,0.5036231884057971,0.0837452747891829,0.18190028395417265,2,3,light+medium
ambiguous,light,0.5,17,10,3,history_cost_quality,Multi-feature k-means,0.7391304347826086,0.4717422510500292,0.510728847348287,3,2,light+medium
ambiguous,light,0.5,17,10,3,history_cost_quality,LE-GRA MVP,0.32971014492753625,0.0,0.0,3,1,light+medium
ambiguous,light,0.5,17,11,3,history_cost_quality,Multi-feature k-means,0.5797101449275363,0.1034444133295996,0.2261531536334175,3,3,light+medium
ambiguous,light,0.5,17,11,3,history_cost_quality,LE-GRA MVP,0.5869565217391305,0.07202265085825518,0.1732253535658157,3,3,light+medium
ambiguous,light,0.5,17,12,3,history_cost_quality,Multi-feature k-means,0.6268115942028986,0.28364076201995764,0.44313846862042694,3,2,light+medium
ambiguous,light,0.5,17,12,3,history_cost_quality,LE-GRA MVP,0.8079710144927537,0.5777623830966401,0.5870479731711689,3,3,light+medium
ambiguous,light,0.5,17,13,3,history_cost_quality,Multi-feature k-means,0.8731884057971014,0.7454411299673237,0.6687410411979475,3,2,light+medium
ambiguous,light,0.5,17,13,3,history_cost_quality,LE-GRA MVP,0.9565217391304348,0.9124319179313627,0.8671201019595056,3,2,light+medium
ambiguous,light,0.5,17,14,3,history_cost_quality,Multi-feature k-means,0.6884057971014492,0.3601811418405305,0.4329756671799839,3,3,light+medium
ambiguous,light,0.5,17,14,3,history_cost_quality,LE-GRA MVP,0.717391304347826,0.3869810353664787,0.5302624730350737,3,3,light+medium
ambiguous,light,0.5,17,15,3,history_cost_quality,Multi-feature k-means,0.6413043478260869,0.2536873156342183,0.43293639260367295,3,3,light+medium
ambiguous,light,0.5,17,15,3,history_cost_quality,LE-GRA MVP,0.6231884057971014,0.2152230971128609,0.37792490895728037,3,3,light+medium
ambiguous,light,0.5,17,16,3,history_cost_quality,Multi-feature k-means,0.5362318840579711,0.055350553505535055,0.12795624120074137,3,3,light+medium
ambiguous,light,0.5,17,16,3,history_cost_quality,LE-GRA MVP,0.5579710144927537,0.06274007682458389,0.17778613279091124,3,3,light+medium
ambiguous,light,0.5,17,17,3,history_cost_quality,Multi-feature k-means,0.9239130434782609,0.8420019627085378,0.8462283624965931,3,3,light+medium
ambiguous,light,0.5,17,17,3,history_cost_quality,LE-GRA MVP,0.8260869565217391,0.6273417721518988,0.6588230992184116,3,3,light+medium
ambiguous,light,0.5,17,18,3,history_cost_quality,Multi-feature k-means,0.6992753623188406,0.0,0.0,3,1,light+medium
ambiguous,light,0.5,17,18,3,history_cost_quality,LE-GRA MVP,0.5797101449275363,0.040230229630073805,0.17950934732703064,3,2,light+medium
ambiguous,light,0.5,17,19,3,history_cost_quality,Multi-feature k-means,0.8768115942028986,0.7485126226081363,0.8109571789891111,3,2,light+medium
ambiguous,light,0.5,17,19,3,history_cost_quality,LE-GRA MVP,0.6630434782608695,0.34164358264081257,0.5220642990058035,3,3,light+medium
ambiguous,medium,0.25,17,0,3,history_cost_quality,Multi-feature k-means,0.8804347826086957,0.7526881720430108,0.7965917800763678,3,3,light+medium
ambiguous,medium,0.25,17,0,3,history_cost_quality,LE-GRA MVP,0.572463768115942,0.1575353096383672,0.32477462772860655,3,2,light+medium
ambiguous,medium,0.25,17,1,3,history_cost_quality,Multi-feature k-means,0.9166666666666666,0.0,0.0,2,1,light+medium
ambiguous,medium,0.25,17,1,3,history_cost_quality,LE-GRA MVP,0.9166666666666666,0.0,0.0,2,1,light+medium
ambiguous,medium,0.25,17,2,3,history_cost_quality,Multi-feature k-means,0.4927536231884058,0.0,0.0,2,1,light+medium
ambiguous,medium,0.25,17,2,3,history_cost_quality,LE-GRA MVP,0.7101449275362319,0.42016806722689076,0.34078332158443875,2,2,light+medium
ambiguous,medium,0.25,17,3,3,history_cost_quality,Multi-feature k-means,1.0,1.0,1.0,2,2,light+medium
ambiguous,medium,0.25,17,3,3,history_cost_quality,LE-GRA MVP,0.9021739130434783,0.8022922636103151,0.843457280361275,2,3,light+medium
ambiguous,medium,0.25,17,4,3,history_cost_quality,Multi-feature k-means,0.7065217391304348,-0.08503203261502593,0.02412973175621317,3,2,light+medium
ambiguous,medium,0.25,17,4,3,history_cost_quality,LE-GRA MVP,0.4746376811594203,-0.04056162246489853,0.09839365467009381,3,2,light+medium
ambiguous,medium,0.25,17,5,3,history_cost_quality,Multi-feature k-means,0.48188405797101447,0.0,0.0,2,1,light+medium
ambiguous,medium,0.25,17,5,3,history_cost_quality,LE-GRA MVP,0.7101449275362319,0.4195278405804722,0.3732729084162943,2,2,light+medium
