dispersion,load,method,mean_utility,std_utility_across_seeds,mean_diff_vs_cqi,seeds_win_vs_cqi,seeds_tie_vs_cqi,seeds_loss_vs_cqi
mid,heavy,Overlap graph (simple similarity),0.15670740188686016,0.011376132950060711,-0.01503386176060274,0,0,10
mid,heavy,Exact-regret graph (utility-aware),0.16200830556632123,0.011364077343193444,-0.009732958081141638,2,0,8
mid,heavy,CQI+cost 2-way union (paper method),0.1729353507571575,0.0037086135170779654,0.0011940871096946192,5,5,0
mid,heavy,CQI+cost+regret-graph 3-way union,0.17380802155693692,0.003713991114503109,0.002066757909474054,5,5,0
high,light,CQI k-means,0.27787631554539594,0.012140926632756554,0.0,0,10,0
high,light,Resource-cost k-means,0.2841988080396137,0.011087389306343136,0.006322492494217824,10,0,0
high,light,Full RB-profile k-means,0.2705943945786052,0.011263210020337804,-0.007281920966790745,0,0,10
high,light,Block RB-profile k-means (5 blocks),0.27194002484456203,0.01161448804867831,-0.005936290700833869,2,0,8
high,light,Overlap graph (simple similarity),0.21327621617038056,0.017685506966315132,-0.06460009937501532,0,0,10
high,light,Exact-regret graph (utility-aware),0.24499319105229853,0.02846804210150609,-0.03288312449309733,0,0,10
high,light,CQI+cost 2-way union (paper method),0.2899388007542182,0.010781072643646585,0.0120624852088223,10,0,0
high,light,CQI+cost+regret-graph 3-way union,0.29558639828548117,0.012950191828479419,0.017710082740085252,10,0,0
high,medium,CQI k-means,0.16096997608007557,0.017968143264821795,0.0,0,10,0
high,medium,Resource-cost k-means,0.15049191170325782,0.019045310236279187,-0.010478064376817746,2,0,8
high,medium,Full RB-profile k-means,0.16048069965531345,0.01749533439021604,-0.000489276424762089,3,0,7
high,medium,Block RB-profile k-means (5 blocks),0.15935481131276197,0.01770481413422313,-0.0016151647673135982,3,0,7
high,medium,Overlap graph (simple similarity),0.11936673526017054,0.022380352233464088,-0.041603240819905005,0,0,10
high,medium,Exact-regret graph (utility-aware),0.14947722221148427,0.012387196707448998,-0.011492753868591296,2,0,8
high,medium,CQI+cost 2-way union (paper method),0.16974471776163658,0.01715141960504378,0.008774741681561038,10,0,0
high,medium,CQI+cost+regret-graph 3-way union,0.17720253995252425,0.015592220465833015,0.016232563872448705,10,0,0
high,heavy,CQI k-means,-0.13825750402974646,0.07774332488796182,0.0,0,10,0
high,heavy,Resource-cost k-means,-0.11095310504842804,0.06961636360297382,0.02730439898131843,9,0,1
high,heavy,Full RB-profile k-means,-0.19765203499672285,0.1013108070872174,-0.059394530966976375,0,0,10
high,heavy,Block RB-profile k-means (5 blocks),-0.18431043603311065,0.08928279967273985,-0.04605293200336419,0,0,10
high,heavy,Overlap graph (simple similarity),-0.2645520574859671,0.1413211930905352,-0.1262945534562206,1,0,9
high,heavy,Exact-regret graph (utility-aware),-0.079668096005666,0.06160894816400941,0.05858940802408048,8,0,2
high,heavy,CQI+cost 2-way union (paper method),-0.09667413305745823,0.06748957921503455,0.041583370972288244,9,1,0
high,heavy,CQI+cost+regret-graph 3-way union,-0.05365633230579864,0.042873446017200494,0.08460117172394782,10,0,0
