dispersion,load,seed,method,mean_utility,n_scenarios
high,medium,seed_0004,Exact-regret graph (utility-aware),0.14833732132097047,15
high,medium,seed_0004,CQI+cost 2-way union (paper method),0.16633122667582959,15
high,medium,seed_0004,CQI+cost+regret-graph 3-way union,0.17071364745318868,15
high,medium,seed_0005,CQI k-means,0.1286329264662873,15
high,medium,seed_0005,Resource-cost k-means,0.13781755391058648,15
high,medium,seed_0005,Full RB-profile k-means,0.1385454900268108,15
high,medium,seed_0005,Block RB-profile k-means (5 blocks),0.13510089831046643,15
high,medium,seed_0005,Overlap graph (simple similarity),0.11532668312422478,15
high,medium,seed_0005,Exact-regret graph (utility-aware),0.13275953465073703,15
high,medium,seed_0005,CQI+cost 2-way union (paper method),0.14753930570311866,15
high,medium,seed_0005,CQI+cost+regret-graph 3-way union,0.1515959207759639,15
high,medium,seed_0006,CQI k-means,0.16594321395090617,15
high,medium,seed_0006,Resource-cost k-means,0.13924801337064394,15
high,medium,seed_0006,Full RB-profile k-means,0.16493542057496124,15
high,medium,seed_0006,Block RB-profile k-means (5 blocks),0.1659304931663734,15
high,medium,seed_0006,Overlap graph (simple similarity),0.12230488325196844,15
high,medium,seed_0006,Exact-regret graph (utility-aware),0.14850263392654764,15
high,medium,seed_0006,CQI+cost 2-way union (paper method),0.16973272134523787,15
high,medium,seed_0006,CQI+cost+regret-graph 3-way union,0.17785867227546112,15
high,medium,seed_0007,CQI k-means,0.17818450677664935,15
high,medium,seed_0007,Resource-cost k-means,0.15233027487780326,15
high,medium,seed_0007,Full RB-profile k-means,0.17781412073292213,15
high,medium,seed_0007,Block RB-profile k-means (5 blocks),0.1774183507134781,15
high,medium,seed_0007,Overlap graph (simple similarity),0.14229538057194127,15
high,medium,seed_0007,Exact-regret graph (utility-aware),0.16401530458516564,15
high,medium,seed_0007,CQI+cost 2-way union (paper method),0.1821520763577653,15
high,medium,seed_0007,CQI+cost+regret-graph 3-way union,0.19437274712108338,15
high,medium,seed_0008,CQI k-means,0.15868370206783897,15
high,medium,seed_0008,Resource-cost k-means,0.13840561899029913,15
high,medium,seed_0008,Full RB-profile k-means,0.16315516833692734,15
high,medium,seed_0008,Block RB-profile k-means (5 blocks),0.1641311597515404,15
high,medium,seed_0008,Overlap graph (simple similarity),0.13329520450336704,15
high,medium,seed_0008,Exact-regret graph (utility-aware),0.14568275755456256,15
high,medium,seed_0008,CQI+cost 2-way union (paper method),0.1648273514997815,15
high,medium,seed_0008,CQI+cost+regret-graph 3-way union,0.17621983195956484,15
high,medium,seed_0009,CQI k-means,0.1787250825259428,15
high,medium,seed_0009,Resource-cost k-means,0.1884468631151493,15
high,medium,seed_0009,Full RB-profile k-means,0.18409621550244776,15
high,medium,seed_0009,Block RB-profile k-means (5 blocks),0.18407077393338225,15
high,medium,seed_0009,Overlap graph (simple similarity),0.1546511028651306,15
high,medium,seed_0009,Exact-regret graph (utility-aware),0.15763634943604146,15
high,medium,seed_0009,CQI+cost 2-way union (paper method),0.19102992168100108,15
high,medium,seed_0009,CQI+cost+regret-graph 3-way union,0.19302006686382545,15
high,medium,seed_0010,CQI k-means,0.14910330460409568,15
high,medium,seed_0010,Resource-cost k-means,0.1375249758663331,15
high,medium,seed_0010,Full RB-profile k-means,0.14378941515798818,15
high,medium,seed_0010,Block RB-profile k-means (5 blocks),0.14574775837948062,15
high,medium,seed_0010,Overlap graph (simple similarity),0.09399619753485243,15
high,medium,seed_0010,Exact-regret graph (utility-aware),0.154282315300378,15
high,medium,seed_0010,CQI+cost 2-way union (paper method),0.160055463501896,15
high,medium,seed_0010,CQI+cost+regret-graph 3-way union,0.1726083867520174,15
low,heavy,seed_0001,CQI k-means,0.35593639169248775,15
low,heavy,seed_0001,Resource-cost k-means,0.35593639169248775,15
low,heavy,seed_0001,Full RB-profile k-means,0.35593639169248775,15
low,heavy,seed_0001,Block RB-profile k-means (5 blocks),0.35593639169248775,15
low,heavy,seed_0001,Overlap graph (simple similarity),0.35593639169248775,15
low,heavy,seed_0001,Exact-regret graph (utility-aware),0.35593639169248775,15
low,heavy,seed_0001,CQI+cost 2-way union (paper method),0.35593639169248775,15
low,heavy,seed_0001,CQI+cost+regret-graph 3-way union,0.35593639169248775,15
low,heavy,seed_0002,CQI k-means,0.35593639169248775,15
low,heavy,seed_0002,Resource-cost k-means,0.35593639169248775,15
low,heavy,seed_0002,Full RB-profile k-means,0.35593639169248775,15
