method,utility,adr_kbps,used_spectral_efficiency,system_spectral_efficiency,served_ratio,unserved_ratio,average_quality,rb_utilization,avg_switching,fairness,avg_groups,selected_epoch,selection_validation_loss,pair_sampling,train_positive_pairs,train_negative_pairs,train_active_negative_ratio,train_mean_negative_distance,scenario_mode,load_level,rb_budget_ratio,kmax,seed
Offline teacher,0.8471083982621448,6500.520833333334,28.426242793672067,17.334722222222222,1.0,0.0,4.45625,0.674,0.19416666666666665,0.9542006455907117,2.85,11,0.2031574282885546,random_balanced,64.0,63.025,0.838214172979798,0.6287474184153007,ambiguous,light,0.5,3,23
LE-GRA MVP,0.8405330446498581,6645.833333333334,37.412939006275934,17.722222222222225,1.0,0.0,4.516666666666667,0.628,0.21041666666666664,0.9528808072355076,2.4,11,0.2031574282885546,random_balanced,64.0,63.025,0.838214172979798,0.6287474184153007,ambiguous,light,0.5,3,23
No grouping,0.554212768819211,4495.0,39.375494467406234,23.973333333333336,1.0,0.0,3.3,0.6020000000000001,0.2895833333333333,1.0,1.0,12,0.19846113424042208,random_balanced,64.0,55.1,0.7984375,0.5457854217174709,ambiguous,medium,0.25,3,9
CQI k-means,0.7056160356323988,5323.020833333334,36.2036428266959,28.389444444444443,1.0,0.0,3.7854166666666664,0.8660000000000002,0.21333333333333332,0.8376243528200394,1.95,12,0.19846113424042208,random_balanced,64.0,55.1,0.7984375,0.5457854217174709,ambiguous,medium,0.25,3,9
Resource-cost k-means,0.7166082121520355,5381.875,41.49653977844248,28.70333333333333,1.0,0.0,3.8770833333333328,0.792,0.22333333333333333,0.8989319705348997,1.75,12,0.19846113424042208,random_balanced,64.0,55.1,0.7984375,0.5457854217174709,ambiguous,medium,0.25,3,9
Multi-feature k-means,0.716692312712914,5353.229166666666,38.11294802242372,28.550555555555555,1.0,0.0,3.83125,0.8240000000000002,0.2125,0.8665143574875446,1.85,12,0.19846113424042208,random_balanced,64.0,55.1,0.7984375,0.5457854217174709,ambiguous,medium,0.25,3,9
Offline teacher,0.7322796242075484,5344.375,30.087266074304114,28.50333333333333,1.0,0.0,3.8250000000000006,0.9640000000000001,0.2004166666666667,0.8691491410041037,2.3,12,0.19846113424042208,random_balanced,64.0,55.1,0.7984375,0.5457854217174709,ambiguous,medium,0.25,3,9
LE-GRA MVP,0.7087605910504932,5365.520833333334,37.952578000604426,28.61611111111111,1.0,0.0,3.827083333333333,0.8320000000000001,0.21500000000000002,0.8583918882276491,1.95,12,0.19846113424042208,random_balanced,64.0,55.1,0.7984375,0.5457854217174709,ambiguous,medium,0.25,3,9
No grouping,0.7295439324707109,5857.5,56.23652001593179,31.24,1.0,0.0,4.1,0.59,0.23583333333333334,1.0,1.0,12,0.21878524722862966,random_balanced,64.0,59.25,0.856640625,0.5390801427205378,ambiguous,medium,0.25,3,17
CQI k-means,0.798329797792477,6065.833333333334,44.325429630203715,32.35111111111111,1.0,0.0,4.195833333333333,0.836,0.17666666666666667,0.9060095556531138,1.95,12,0.21878524722862966,random_balanced,64.0,59.25,0.856640625,0.5390801427205378,ambiguous,medium,0.25,3,17
Resource-cost k-means,0.7911877374441872,6192.291666666667,45.63168284738137,33.025555555555556,1.0,0.0,4.314583333333333,0.786,0.21041666666666664,0.9515128132053345,1.75,12,0.21878524722862966,random_balanced,64.0,59.25,0.856640625,0.5390801427205378,ambiguous,medium,0.25,3,17
Multi-feature k-means,0.7956199214739197,6305.104166666666,51.87173144488362,33.627222222222215,1.0,0.0,4.320833333333334,0.7619999999999999,0.19916666666666666,0.8909606565552366,1.65,12,0.21878524722862966,random_balanced,64.0,59.25,0.856640625,0.5390801427205378,ambiguous,medium,0.25,3,17
Offline teacher,0.8084963415834139,6000.104166666667,34.16523327624973,32.00055555555556,1.0,0.0,4.199999999999999,0.9560000000000001,0.17333333333333334,0.9264286902631902,2.4,12,0.21878524722862966,random_balanced,64.0,59.25,0.856640625,0.5390801427205378,ambiguous,medium,0.25,3,17
LE-GRA MVP,0.7933230626698953,6171.145833333334,51.35684523117548,32.91277777777778,1.0,0.0,4.277083333333333,0.754,0.19791666666666669,0.9123357093349437,1.6,12,0.21878524722862966,random_balanced,64.0,59.25,0.856640625,0.5390801427205378,ambiguous,medium,0.25,3,17
No grouping,0.7243355991373773,5857.5,59.90760084142437,31.24,1.0,0.0,4.1,0.5459999999999999,0.24625,1.0,1.0,12,0.20344473020031026,random_balanced,64.0,57.725,0.814453125,0.5832392696330604,ambiguous,medium,0.25,3,23
CQI k-means,0.810223394351965,6331.770833333334,49.486454573068855,33.76944444444444,1.0,0.0,4.335416666666666,0.784,0.19416666666666665,0.9113941947186609,1.8,12,0.20344473020031026,random_balanced,64.0,57.725,0.814453125,0.5832392696330604,ambiguous,medium,0.25,3,23
Resource-cost k-means,0.8082429300612066,6402.395833333334,55.52972857302781,34.146111111111104,1.0,0.0,4.420833333333333,0.6960000000000001,0.21791666666666668,0.9653882165288218,1.5,12,0.20344473020031026,random_balanced,64.0,57.725,0.814453125,0.5832392696330604,ambiguous,medium,0.25,3,23
Multi-feature k-means,0.8096775185135716,6469.895833333334,58.77198363568088,34.50611111111112,1.0,0.0,4.437499999999999,0.6759999999999999,0.21041666666666664,0.9265748866291217,1.55,12,0.20344473020031026,random_balanced,64.0,57.725,0.814453125,0.5832392696330604,ambiguous,medium,0.25,3,23
Offline teacher,0.820808586911286,6212.187499999999,34.290277429685325,33.13166666666666,1.0,0.0,4.285416666666667,0.976,0.18166666666666664,0.9358960283521413,2.55,12,0.20344473020031026,random_balanced,64.0,57.725,0.814453125,0.5832392696330604,ambiguous,medium,0.25,3,23
LE-GRA MVP,0.8027092508617624,6246.770833333334,53.22371314454134,33.31611111111111,1.0,0.0,4.329166666666666,0.724,0.20208333333333334,0.9375615517924049,1.7,12,0.20344473020031026,random_balanced,64.0,57.725,0.814453125,0.5832392696330604,ambiguous,medium,0.25,3,23
