schema_version,scenario_id,timestamp_s,serving_gnb,rb_available,total_rbs,dispersion
1.0,simu5g_00000173,15.9,gnb_2,7,25,simu5g
1.0,simu5g_00000174,16.0,gnb_1,7,25,simu5g
1.0,simu5g_00000175,16.0,gnb_2,7,25,simu5g
1.0,simu5g_00000176,16.1,gnb_1,7,25,simu5g
1.0,simu5g_00000177,16.1,gnb_2,7,25,simu5g
1.0,simu5g_00000178,16.2,gnb_1,7,25,simu5g
1.0,simu5g_00000179,16.2,gnb_2,7,25,simu5g
1.0,simu5g_00000180,16.3,gnb_1,7,25,simu5g
1.0,simu5g_00000181,16.3,gnb_2,7,25,simu5g
1.0,simu5g_00000182,16.4,gnb_1,7,25,simu5g
1.0,simu5g_00000183,16.4,gnb_2,7,25,simu5g
1.0,simu5g_00000184,16.5,gnb_1,7,25,simu5g
1.0,simu5g_00000185,16.5,gnb_2,7,25,simu5g
1.0,simu5g_00000186,16.6,gnb_1,7,25,simu5g
1.0,simu5g_00000187,16.6,gnb_2,7,25,simu5g
1.0,simu5g_00000188,16.7,gnb_1,7,25,simu5g
1.0,simu5g_00000189,16.7,gnb_2,7,25,simu5g
1.0,simu5g_00000190,16.8,gnb_1,7,25,simu5g
1.0,simu5g_00000191,16.8,gnb_2,7,25,simu5g
1.0,simu5g_00000192,16.9,gnb_1,7,25,simu5g
1.0,simu5g_00000193,16.9,gnb_2,7,25,simu5g
1.0,simu5g_00000194,17.0,gnb_1,7,25,simu5g
1.0,simu5g_00000195,17.0,gnb_2,7,25,simu5g
1.0,simu5g_00000196,17.1,gnb_1,7,25,simu5g
1.0,simu5g_00000197,17.1,gnb_2,7,25,simu5g
1.0,simu5g_00000198,17.2,gnb_1,7,25,simu5g
1.0,simu5g_00000199,17.2,gnb_2,7,25,simu5g
1.0,simu5g_00000200,17.3,gnb_1,7,25,simu5g
1.0,simu5g_00000201,17.3,gnb_2,7,25,simu5g
1.0,simu5g_00000202,17.4,gnb_1,7,25,simu5g
1.0,simu5g_00000203,17.4,gnb_2,7,25,simu5g
1.0,simu5g_00000204,17.5,gnb_1,7,25,simu5g
1.0,simu5g_00000205,17.5,gnb_2,7,25,simu5g
1.0,simu5g_00000206,17.6,gnb_1,7,25,simu5g
1.0,simu5g_00000207,17.6,gnb_2,7,25,simu5g
1.0,simu5g_00000208,17.7,gnb_1,7,25,simu5g
1.0,simu5g_00000209,17.7,gnb_2,7,25,simu5g
1.0,simu5g_00000210,17.8,gnb_1,7,25,simu5g
1.0,simu5g_00000211,17.8,gnb_2,7,25,simu5g
1.0,simu5g_00000212,17.9,gnb_1,7,25,simu5g
1.0,simu5g_00000213,17.9,gnb_2,7,25,simu5g
1.0,simu5g_00000214,18.0,gnb_1,7,25,simu5g
1.0,simu5g_00000215,18.0,gnb_2,7,25,simu5g
1.0,simu5g_00000216,18.1,gnb_1,7,25,simu5g
1.0,simu5g_00000217,18.1,gnb_2,7,25,simu5g
1.0,simu5g_00000218,18.2,gnb_1,7,25,simu5g
1.0,simu5g_00000219,18.2,gnb_2,7,25,simu5g
1.0,simu5g_00000220,18.3,gnb_1,7,25,simu5g
1.0,simu5g_00000221,18.3,gnb_2,7,25,simu5g
1.0,simu5g_00000222,18.4,gnb_1,7,25,simu5g
1.0,simu5g_00000223,18.4,gnb_2,7,25,simu5g
1.0,simu5g_00000224,18.5,gnb_1,7,25,simu5g
1.0,simu5g_00000225,18.5,gnb_2,7,25,simu5g
1.0,simu5g_00000226,18.6,gnb_1,7,25,simu5g
1.0,simu5g_00000227,18.6,gnb_2,7,25,simu5g
1.0,simu5g_00000228,18.7,gnb_1,7,25,simu5g
1.0,simu5g_00000229,18.7,gnb_2,7,25,simu5g
1.0,simu5g_00000230,18.8,gnb_1,7,25,simu5g
1.0,simu5g_00000231,18.8,gnb_2,7,25,simu5g
1.0,simu5g_00000232,18.9,gnb_1,7,25,simu5g
1.0,simu5g_00000233,18.9,gnb_2,7,25,simu5g
1.0,simu5g_00000234,19.0,gnb_1,7,25,simu5g
1.0,simu5g_00000235,19.0,gnb_2,7,25,simu5g
1.0,simu5g_00000236,19.1,gnb_1,7,25,simu5g
1.0,simu5g_00000237,19.1,gnb_2,7,25,simu5g
1.0,simu5g_00000238,19.2,gnb_1,7,25,simu5g
1.0,simu5g_00000239,19.2,gnb_2,7,25,simu5g
1.0,simu5g_00000240,19.3,gnb_1,7,25,simu5g
1.0,simu5g_00000241,19.3,gnb_2,7,25,simu5g
1.0,simu5g_00000242,19.4,gnb_1,7,25,simu5g
1.0,simu5g_00000243,19.4,gnb_2,7,25,simu5g
1.0,simu5g_00000244,19.5,gnb_1,7,25,simu5g
1.0,simu5g_00000245,19.5,gnb_2,7,25,simu5g
1.0,simu5g_00000246,19.6,gnb_1,7,25,simu5g
1.0,simu5g_00000247,19.6,gnb_2,7,25,simu5g
1.0,simu5g_00000248,19.7,gnb_1,7,25,simu5g
1.0,simu5g_00000249,19.7,gnb_2,7,25,simu5g
1.0,simu5g_00000250,19.8,gnb_1,7,25,simu5g
1.0,simu5g_00000251,19.8,gnb_2,7,25,simu5g
1.0,simu5g_00000252,19.9,gnb_1,7,25,simu5g
1.0,simu5g_00000253,19.9,gnb_2,7,25,simu5g
