scenario_id,ue_id,user_index,rb_index,rate_kbps,sinr_db,cqi
simu5g_00000014,0,0,12,1128.0,,14.0
simu5g_00000014,0,0,13,1128.0,,14.0
simu5g_00000014,0,0,14,1128.0,,14.0
simu5g_00000014,0,0,15,1160.0,,15.0
simu5g_00000014,0,0,16,1128.0,,14.0
simu5g_00000014,0,0,17,1160.0,,15.0
simu5g_00000014,0,0,18,1160.0,,15.0
simu5g_00000014,0,0,19,1128.0,,14.0
simu5g_00000014,0,0,20,1160.0,,15.0
simu5g_00000014,0,0,21,888.0,,12.0
simu5g_00000014,0,0,22,1160.0,,15.0
simu5g_00000014,0,0,23,1160.0,,15.0
simu5g_00000014,0,0,24,1128.0,,14.0
simu5g_00000015,0,0,0,1160.0,,15.0
simu5g_00000015,0,0,1,608.0,,9.0
simu5g_00000015,0,0,2,1160.0,,15.0
simu5g_00000015,0,0,3,984.0,,13.0
simu5g_00000015,0,0,4,1160.0,,15.0
simu5g_00000015,0,0,5,984.0,,13.0
simu5g_00000015,0,0,6,1128.0,,14.0
simu5g_00000015,0,0,7,1160.0,,15.0
simu5g_00000015,0,0,8,888.0,,12.0
simu5g_00000015,0,0,9,1128.0,,14.0
simu5g_00000015,0,0,10,1160.0,,15.0
simu5g_00000015,0,0,11,1160.0,,15.0
simu5g_00000015,0,0,12,1128.0,,14.0
simu5g_00000015,0,0,13,1128.0,,14.0
simu5g_00000015,0,0,14,1128.0,,14.0
simu5g_00000015,0,0,15,1160.0,,15.0
simu5g_00000015,0,0,16,1128.0,,14.0
simu5g_00000015,0,0,17,1160.0,,15.0
simu5g_00000015,0,0,18,1160.0,,15.0
simu5g_00000015,0,0,19,1128.0,,14.0
simu5g_00000015,0,0,20,1160.0,,15.0
simu5g_00000015,0,0,21,984.0,,13.0
simu5g_00000015,0,0,22,1160.0,,15.0
simu5g_00000015,0,0,23,1160.0,,15.0
simu5g_00000015,0,0,24,1128.0,,14.0
simu5g_00000016,0,0,0,1160.0,,15.0
simu5g_00000016,0,0,1,608.0,,9.0
simu5g_00000016,0,0,2,1160.0,,15.0
simu5g_00000016,0,0,3,984.0,,13.0
simu5g_00000016,0,0,4,1160.0,,15.0
simu5g_00000016,0,0,5,984.0,,13.0
simu5g_00000016,0,0,6,1128.0,,14.0
simu5g_00000016,0,0,7,1160.0,,15.0
simu5g_00000016,0,0,8,888.0,,12.0
simu5g_00000016,0,0,9,1128.0,,14.0
simu5g_00000016,0,0,10,1160.0,,15.0
simu5g_00000016,0,0,11,1160.0,,15.0
simu5g_00000016,0,0,12,1128.0,,14.0
simu5g_00000016,0,0,13,1128.0,,14.0
simu5g_00000016,0,0,14,1128.0,,14.0
simu5g_00000016,0,0,15,1160.0,,15.0
simu5g_00000016,0,0,16,1128.0,,14.0
simu5g_00000016,0,0,17,1160.0,,15.0
simu5g_00000016,0,0,18,1160.0,,15.0
simu5g_00000016,0,0,19,1128.0,,14.0
simu5g_00000016,0,0,20,1160.0,,15.0
simu5g_00000016,0,0,21,984.0,,13.0
simu5g_00000016,0,0,22,1160.0,,15.0
simu5g_00000016,0,0,23,1160.0,,15.0
simu5g_00000016,0,0,24,1128.0,,14.0
simu5g_00000017,0,0,0,1160.0,,15.0
simu5g_00000017,0,0,1,608.0,,9.0
simu5g_00000017,0,0,2,1160.0,,15.0
simu5g_00000017,0,0,3,984.0,,13.0
simu5g_00000017,0,0,4,1160.0,,15.0
simu5g_00000017,0,0,5,984.0,,13.0
simu5g_00000017,0,0,6,1128.0,,14.0
simu5g_00000017,0,0,7,1160.0,,15.0
simu5g_00000017,0,0,8,888.0,,12.0
simu5g_00000017,0,0,9,1128.0,,14.0
simu5g_00000017,0,0,10,1160.0,,15.0
simu5g_00000017,0,0,11,1160.0,,15.0
simu5g_00000017,0,0,12,1128.0,,14.0
simu5g_00000017,0,0,13,1128.0,,14.0
simu5g_00000017,0,0,14,1128.0,,14.0
simu5g_00000017,0,0,15,1160.0,,15.0
simu5g_00000017,0,0,16,1128.0,,14.0
simu5g_00000017,0,0,17,1160.0,,15.0
simu5g_00000017,0,0,18,1160.0,,15.0
simu5g_00000017,0,0,19,1128.0,,14.0
simu5g_00000017,0,0,20,1160.0,,15.0
simu5g_00000017,0,0,21,984.0,,13.0
simu5g_00000017,0,0,22,1160.0,,15.0
simu5g_00000017,0,0,23,1160.0,,15.0
simu5g_00000017,0,0,24,1128.0,,14.0
simu5g_00000018,0,0,0,1160.0,,15.0
simu5g_00000018,0,0,1,608.0,,9.0
simu5g_00000018,0,0,2,1160.0,,15.0
simu5g_00000018,0,0,3,984.0,,13.0
simu5g_00000018,0,0,4,1160.0,,15.0
simu5g_00000018,0,0,5,984.0,,13.0
simu5g_00000018,0,0,6,1128.0,,14.0
simu5g_00000018,0,0,7,1160.0,,15.0
simu5g_00000018,0,0,8,888.0,,12.0
simu5g_00000018,0,0,9,1128.0,,14.0
simu5g_00000018,0,0,10,1160.0,,15.0
simu5g_00000018,0,0,11,1160.0,,15.0
simu5g_00000018,0,0,12,1128.0,,14.0
simu5g_00000018,0,0,13,1128.0,,14.0
simu5g_00000018,0,0,14,1128.0,,14.0
simu5g_00000018,0,0,15,1160.0,,15.0
simu5g_00000018,0,0,16,1128.0,,14.0
simu5g_00000018,0,0,17,1160.0,,15.0
simu5g_00000018,0,0,18,1160.0,,15.0
simu5g_00000018,0,0,19,1128.0,,14.0
simu5g_00000018,0,0,20,1160.0,,15.0
simu5g_00000018,0,0,21,984.0,,13.0
simu5g_00000018,0,0,22,1160.0,,15.0
simu5g_00000018,0,0,23,1160.0,,15.0
simu5g_00000018,0,0,24,1128.0,,14.0
simu5g_00000019,0,0,0,1128.0,,14.0
simu5g_00000019,0,0,1,368.0,,6.0
simu5g_00000019,0,0,2,1128.0,,14.0
simu5g_00000019,0,0,3,808.0,,11.0
simu5g_00000019,0,0,4,984.0,,13.0
simu5g_00000019,0,0,5,808.0,,11.0
simu5g_00000019,0,0,6,888.0,,12.0
simu5g_00000019,0,0,7,1128.0,,14.0
simu5g_00000019,0,0,8,608.0,,9.0
simu5g_00000019,0,0,9,984.0,,13.0
simu5g_00000019,0,0,10,1128.0,,14.0
simu5g_00000019,0,0,11,1128.0,,14.0
simu5g_00000019,0,0,12,984.0,,13.0
simu5g_00000019,0,0,13,984.0,,13.0
simu5g_00000019,0,0,14,984.0,,13.0
simu5g_00000019,0,0,15,1128.0,,14.0
simu5g_00000019,0,0,16,888.0,,12.0
simu5g_00000019,0,0,17,1128.0,,14.0
simu5g_00000019,0,0,18,1128.0,,14.0
simu5g_00000019,0,0,19,888.0,,12.0
simu5g_00000019,0,0,20,1128.0,,14.0
simu5g_00000019,0,0,21,608.0,,9.0
