scenario_id,ue_id,user_index,cqi_t_minus_4,cqi_t_minus_3,cqi_t_minus_2,cqi_t_minus_1,cqi_now_raw,cqi_now,previous_quality,distance_m,speed_mps,direction_to_gnb,x_m,y_m,rsrp_dbm,rsrq_db,wideband_sinr_db,mcs
simu5g_00000410,3,3,14.12,12.92,12.92,12.96,11.96,12,2,93.46537949958626,11.1778268340661,0.04967293996127767,226.65,284.642700184341,,,,
simu5g_00000411,4,0,13.16,13.16,13.16,13.16,12.36,12,2,117.211733402359,8.77604511140287,0.6047413005441437,226.65,350.882776096776,,,,
simu5g_00000411,5,1,12.96,12.96,12.96,12.96,12.96,13,2,147.67336787009782,4.34138137955288,0.774855534142537,226.65,394.425526339612,,,,
simu5g_00000411,6,2,14.84,14.84,14.84,14.84,14.84,15,2,162.25266268089095,1.37072803509853,0.8179162879509935,226.65,412.709095570119,,,,
simu5g_00000412,0,0,14.52,14.84,14.84,14.72,14.72,15,2,100.26546524177354,15.4888870168418,-0.5031384269405487,226.65,69.5525915417918,,,,
simu5g_00000412,1,1,15.0,15.0,15.0,15.0,15.0,15,2,88.57252529898412,14.5392065140353,0.20722014450634066,226.65,138.354011491747,,,,
simu5g_00000412,2,2,14.48,14.48,14.6,14.6,14.6,15,2,119.61854383383509,13.8960325599089,-0.6252838602573464,226.65,205.204455153217,,,,
simu5g_00000412,3,3,12.92,12.92,12.96,11.96,11.96,12,2,93.41651580878728,11.1808306280791,0.03773012824356998,226.65,283.524617121533,,,,
simu5g_00000413,4,0,13.16,13.16,13.16,12.36,12.36,12,2,116.68285589409952,8.78016547134519,0.5999575431473653,226.65,350.004759549642,,,,
simu5g_00000413,5,1,12.96,12.96,12.96,12.96,12.96,13,2,147.33357239859063,4.38864594780071,0.7736638696064252,226.65,393.986661744832,,,,
simu5g_00000413,6,2,14.84,14.84,14.84,14.84,14.84,15,2,162.1371762013321,1.41220854779031,0.8176278742558353,226.65,412.567874715339,,,,
simu5g_00000414,0,0,14.84,14.84,14.72,14.72,14.92,15,2,101.0540591462465,15.4971040363923,-0.514547553073515,226.65,68.0028811381526,,,,
simu5g_00000414,1,1,15.0,15.0,15.0,15.0,15.0,15,2,88.28272274166426,14.5381520053318,0.19143265824127217,226.65,136.900196291214,,,,
simu5g_00000414,2,2,14.48,14.6,14.6,14.6,15.0,15,2,120.49087014709245,13.8730944999065,-0.63227076212307,226.65,203.817145703226,,,,
simu5g_00000414,3,3,12.92,12.96,11.96,11.96,11.96,12,2,93.38097027724814,11.198073743179,0.025752674662461766,226.65,282.404809747215,,,,
simu5g_00000415,4,0,13.16,13.16,12.36,12.36,12.36,12,2,116.15841992153912,8.77659084855765,0.5951105439578026,226.65,349.127100464786,,,,
simu5g_00000415,5,1,12.96,12.96,12.96,12.96,12.96,13,2,146.9902764653908,4.44075569546735,0.7724496402455497,226.65,393.542586175285,,,,
simu5g_00000415,6,2,14.84,14.84,14.84,14.84,14.84,15,2,162.01863431621138,1.45008994610015,0.8173310821907042,226.65,412.422865720729,,,,
simu5g_00000416,0,0,14.84,14.72,14.72,14.92,14.88,15,2,101.85917727186391,15.4790419819985,-0.5256769639630477,226.65,66.4549769399527,,,,
simu5g_00000416,1,1,15.0,15.0,15.0,15.0,15.0,15,2,88.01580038683645,14.5485337707172,0.1754837523065006,226.65,135.445342914142,,,,
simu5g_00000416,2,2,14.6,14.6,14.6,15.0,15.0,15,2,119.59412160353307,13.8819798386814,0.6892391249180168,226.65,202.428947719358,,,,
simu5g_00000416,3,3,12.96,11.96,11.96,11.96,14.48,14,2,93.35887606261468,11.174715342155,0.013789135723277087,226.65,281.287338213,,,,
simu5g_00000417,4,0,13.16,12.36,12.36,12.36,12.36,12,2,115.63838843536193,8.77452993698418,0.5901988811374372,226.65,348.249647471087,,,,
simu5g_00000417,5,1,12.96,12.96,12.96,12.96,12.52,13,2,146.64353875268878,4.49239961145352,0.7712126096797864,226.65,393.09334621414,,,,
simu5g_00000417,6,2,14.84,14.84,14.84,14.84,14.84,15,2,161.89773284589378,1.47949728919625,0.8170275992543952,226.65,412.27491599181,,,,
simu5g_00000418,0,0,14.72,14.72,14.92,14.88,14.84,15,2,102.68330994580607,15.5161605184839,-0.5365685927048364,226.65,64.9033608881043,,,,
simu5g_00000418,1,1,15.0,15.0,15.0,15.0,15.0,15,2,87.77217885950571,14.5488610440707,0.15939511803767697,226.65,133.990456809735,,,,
simu5g_00000418,2,2,14.6,14.6,15.0,15.0,15.0,15,2,118.6418287408231,13.8784069973016,0.6830736501598007,226.65,201.041107019628,,,,
simu5g_00000418,3,3,11.96,11.96,11.96,14.48,14.48,14,2,93.35015016138068,11.1990120298264,0.0017936447850116066,226.65,280.167437010017,,,,
simu5g_00000419,4,0,12.36,12.36,12.36,12.36,13.16,13,2,115.12291456690735,8.77079178202152,0.585222920617852,226.65,347.372568292885,,,,
simu5g_00000419,5,1,12.96,12.96,12.96,12.52,12.52,13,2,146.29374916529378,4.53927959082229,0.769953732799543,226.65,392.639418255058,,,,
simu5g_00000419,6,2,14.84,14.84,14.84,14.84,14.84,15,2,161.77395107083197,1.51531441353111,0.8167160638402619,226.65,412.123384550457,,,,
simu5g_00000420,0,0,14.72,14.92,14.88,14.84,14.84,15,2,103.52309432467246,15.4970727121212,-0.5471855990456748,226.65,63.3536536168922,,,,
simu5g_00000420,1,1,15.0,15.0,15.0,15.0,15.0,15,2,87.55177039618384,14.5690186685957,0.14315592804303034,226.65,132.533554942876,,,,
simu5g_00000420,2,2,14.6,15.0,15.0,15.0,15.0,15,2,117.69727827212031,13.8919673076598,0.6767523553493221,226.65,199.651910288862,,,,
simu5g_00000420,3,3,11.96,11.96,14.48,14.48,14.48,14,2,93.354839615679,11.1800508709054,-0.010182311715024922,226.65,279.049431922927,,,,
simu5g_00000421,4,0,12.36,12.36,12.36,13.16,13.16,13,2,114.61094610477615,8.78610168617219,0.5801710952065599,226.65,346.493958124268,,,,
simu5g_00000421,5,1,12.96,12.96,12.52,12.52,12.52,13,2,145.94148983573288,4.57886996684526,0.7686747023388687,226.65,392.181531258373,,,,
simu5g_00000421,6,2,14.84,14.84,14.84,14.84,14.84,15,2,161.64782433295872,1.5446164972582,0.8163977674633234,226.65,411.968922900731,,,,
simu5g_00000422,0,0,14.92,14.88,14.84,14.84,14.88,15,2,104.37964498700447,15.5062765861616,-0.5575509865833475,226.65,61.8030259582761,,,,
simu5g_00000422,1,1,15.0,15.0,15.0,15.0,15.0,15,2,87.35523659647023,14.5588096205778,0.12681179071141807,226.65,131.077673980818,,,,
simu5g_00000422,2,2,15.0,15.0,15.0,15.0,15.0,15,2,116.76295818916174,13.871934294505,0.6702872047196621,226.65,198.264716859412,,,,
