scenario_mode,load_level,seed,test_index,feature_mode,legra_utility,cqi_utility
aligned,light,23,5,history_only,0.9117317597085615,0.9056738197814211
aligned,light,23,6,history_only,0.5391871700687793,0.548764533922197
aligned,light,23,7,history_only,0.7454093050299074,0.7339644782004795
aligned,light,23,8,history_only,0.9348404864480878,0.9396868383898002
aligned,light,23,9,history_only,0.6054948677600308,0.6416978700099908
aligned,light,23,10,history_only,0.9447695279125684,0.9544622317959931
aligned,light,23,11,history_only,0.6749201836845867,0.6749201836845867
aligned,light,23,12,history_only,0.6770049734680832,0.7012804654738343
aligned,light,23,13,history_only,0.641370749379005,0.6944357283345296
aligned,light,23,14,history_only,0.882565093041895,0.8740839771438984
aligned,light,23,15,history_only,0.9324173104772319,0.9275709585355193
aligned,light,23,16,history_only,0.7763402533257352,0.7546975383310119
aligned,light,23,17,history_only,0.9299941345063756,0.9408984263752282
aligned,light,23,18,history_only,0.6551535686723446,0.6515188047160606
aligned,light,23,19,history_only,0.947340486448088,0.9497636624189439
aligned,light,23,20,history_only,0.6792803668742762,0.6768571909034201
aligned,light,23,21,history_only,0.8980201717231334,0.8980201717231336
aligned,light,23,22,history_only,0.907565093041895,0.9039303290856107
aligned,light,23,23,history_only,0.9513593705500912,0.9586288984626598
aligned,light,23,24,history_only,0.9455969957522775,0.9468085837377055
aligned,light,23,25,history_only,0.9105201717231335,0.9105201717231335
aligned,light,23,26,history_only,0.7620759716965742,0.7561658143340969
aligned,light,23,27,history_only,0.6436716401347501,0.6072383584558413
aligned,light,23,28,history_only,0.9584811158979966,0.9645390558251371
aligned,light,23,29,history_only,0.875975250404372,0.8749114449836073
aligned,light,23,0,history_cost,0.6103412197017432,0.6103412197017432
aligned,light,23,1,history_cost,0.8985520744335159,0.8985520744335159
aligned,light,23,2,history_cost,0.5862144214998116,0.5790926761519063
aligned,light,23,3,history_cost,0.8921100143606564,0.8908984263752281
aligned,light,23,4,history_cost,0.9353723891584703,0.9426419170710387
aligned,light,23,5,history_cost,0.9117317597085615,0.9056738197814211
aligned,light,23,6,history_cost,0.5319729317372048,0.548764533922197
aligned,light,23,7,history_cost,0.7314410290268224,0.7339644782004795
aligned,light,23,8,history_cost,0.9360520744335159,0.9396868383898002
aligned,light,23,9,history_cost,0.6513252881930377,0.6416978700099908
aligned,light,23,10,history_cost,0.952039055825137,0.9544622317959931
aligned,light,23,11,history_cost,0.6895020605677568,0.6749201836845867
aligned,light,23,12,history_cost,0.6792981432127917,0.7012804654738343
aligned,light,23,13,history_cost,0.6357029998829763,0.6944357283345296
aligned,light,23,14,history_cost,0.882565093041895,0.8740839771438984
aligned,light,23,15,history_cost,0.9227246065938072,0.9275709585355193
aligned,light,23,16,history_cost,0.7835544916573096,0.7546975383310119
aligned,light,23,17,history_cost,0.9312057224918036,0.9408984263752282
aligned,light,23,18,history_cost,0.672158621526371,0.6515188047160606
aligned,light,23,19,history_cost,0.9461288984626597,0.9497636624189439
aligned,light,23,20,history_cost,0.6978353939010901,0.6768571909034201
aligned,light,23,21,history_cost,0.8980201717231334,0.8980201717231336
aligned,light,23,22,history_cost,0.9063535050564667,0.9039303290856107
aligned,light,23,23,history_cost,0.9501477825646631,0.9586288984626598
aligned,light,23,24,history_cost,0.939539055825137,0.9468085837377055
aligned,light,23,25,history_cost,0.9080969957522774,0.9105201717231335
aligned,light,23,26,history_cost,0.7596527957257181,0.7561658143340969
aligned,light,23,27,history_cost,0.634999920614057,0.6072383584558413
aligned,light,23,28,history_cost,0.9572695279125686,0.9645390558251371
aligned,light,23,29,history_cost,0.8749114449836073,0.8749114449836073
aligned,medium,9,0,history_only,0.9567376252021861,0.9615839771438983
aligned,medium,9,1,history_only,0.8980201717231336,0.8943854077668493
aligned,medium,9,2,history_only,0.9471927038834246,0.9615839771438983
aligned,medium,9,3,history_only,0.8832447783169406,0.8832447783169406
aligned,medium,9,4,history_only,0.8914303290856106,0.8832447783169406
aligned,medium,9,5,history_only,0.9334811158979965,0.9468085837377055
aligned,medium,9,6,history_only,0.5485736446387123,0.5710194447517656
aligned,medium,9,7,history_only,0.9377955651293265,0.9438535050564668
aligned,medium,9,8,history_only,0.7033984263752281,0.6646868383898002
aligned,medium,9,9,history_only,0.5750668455544341,0.5817910668154879
aligned,medium,9,10,history_only,0.5369938075407429,0.55166161826741
aligned,medium,9,11,history_only,0.8874114449836071,0.8874114449836071
aligned,medium,9,12,history_only,0.3896637704399056,0.4241426962999528
aligned,medium,9,13,history_only,0.9324173104772316,0.9408984263752282
aligned,medium,9,14,history_only,0.6645049734680832,0.6645049734680832
aligned,medium,9,15,history_only,0.557354453578679,0.5998511863892996
aligned,medium,9,16,history_only,0.8955969957522774,0.8931738197814211
aligned,medium,9,17,history_only,0.8968085837377053,0.889539055825137
aligned,medium,9,18,history_only,0.8771868383898002,0.873552074433516
aligned,medium,9,19,history_only,0.6247369070531552,0.6186369205835495
aligned,medium,9,20,history_only,0.9419622317959929,0.9468085837377055
aligned,medium,9,21,history_only,0.8771868383898002,0.8759752504043722
aligned,medium,9,22,history_only,0.6066723261457138,0.6021521188385996
aligned,medium,9,23,history_only,0.8707447783169405,0.8707447783169405
aligned,medium,9,24,history_only,0.8808216023460843,0.8749114449836073
aligned,medium,9,25,history_only,0.8812057224918037,0.8799941345063756
aligned,medium,9,26,history_only,0.9478723891584702,0.9454492131876142
aligned,medium,9,27,history_only,0.562263662418944,0.5579101618172467
aligned,medium,9,28,history_only,0.8999114449836072,0.8999114449836072
aligned,medium,9,29,history_only,0.5992375855092146,0.5440534373315982
aligned,medium,9,0,history_cost,0.9567376252021861,0.9615839771438983
aligned,medium,9,1,history_cost,0.8968085837377054,0.8943854077668493
aligned,medium,9,2,history_cost,0.9567376252021861,0.9615839771438983
aligned,medium,9,3,history_cost,0.8832447783169406,0.8832447783169406
aligned,medium,9,4,history_cost,0.8902187411001826,0.8832447783169406
aligned,medium,9,5,history_cost,0.9431738197814211,0.9468085837377055
aligned,medium,9,6,history_cost,0.5485736446387123,0.5710194447517656
aligned,medium,9,7,history_cost,0.9353723891584703,0.9438535050564668
aligned,medium,9,8,history_cost,0.6646868383898002,0.6646868383898002
aligned,medium,9,9,history_cost,0.5750668455544341,0.5817910668154879
aligned,medium,9,10,history_cost,0.55166161826741,0.55166161826741
aligned,medium,9,11,history_cost,0.8874114449836071,0.8874114449836071
aligned,medium,9,12,history_cost,0.40791482099075704,0.4241426962999528
aligned,medium,9,13,history_cost,0.9324173104772319,0.9408984263752282
aligned,medium,9,14,history_cost,0.6645049734680832,0.6645049734680832
aligned,medium,9,15,history_cost,0.5766871700687792,0.5998511863892996
aligned,medium,9,16,history_cost,0.8955969957522774,0.8931738197814211
aligned,medium,9,17,history_cost,0.8992317597085616,0.889539055825137
aligned,medium,9,18,history_cost,0.8771868383898002,0.873552074433516
aligned,medium,9,19,history_cost,0.6247369070531552,0.6186369205835495
aligned,medium,9,20,history_cost,0.9419622317959931,0.9468085837377055
aligned,medium,9,21,history_cost,0.8759752504043722,0.8759752504043722
aligned,medium,9,22,history_cost,0.6738245843712098,0.6021521188385996
aligned,medium,9,23,history_cost,0.8707447783169405,0.8707447783169405
aligned,medium,9,24,history_cost,0.8771868383898003,0.8749114449836073
aligned,medium,9,25,history_cost,0.8812057224918037,0.8799941345063756
aligned,medium,9,26,history_cost,0.9478723891584702,0.9454492131876142
aligned,medium,9,27,history_cost,0.562263662418944,0.5579101618172467
aligned,medium,9,28,history_cost,0.8999114449836072,0.8999114449836072
aligned,medium,9,29,history_cost,0.5718330668432283,0.5440534373315982
aligned,medium,17,0,history_only,0.9056738197814211,0.9008274678397089
aligned,medium,17,1,history_only,0.9312057224918037,0.9408984263752282
aligned,medium,17,2,history_only,0.8955969957522774,0.8919622317959931
aligned,medium,17,3,history_only,0.6241342977115787,0.6241342977115787
aligned,medium,17,4,history_only,0.575999733509895,0.5579101618172468
aligned,medium,17,5,history_only,0.6825650930418948,0.6345491678154768
aligned,medium,17,6,history_only,0.5171464891800905,0.5097788506284949
aligned,medium,17,7,history_only,0.879078111650274,0.879078111650274
aligned,medium,17,8,history_only,0.8908984263752283,0.886052074433516
aligned,medium,17,9,history_only,0.4979878815715905,0.4979878815715905
aligned,medium,17,10,history_only,0.48265158525368107,0.48265158525368107
aligned,medium,17,11,history_only,0.895065093041895,0.8962766810273228
aligned,medium,17,12,history_only,0.9532506438105649,0.9556738197814211
aligned,medium,17,13,history_only,0.8938535050564668,0.8890071531147545
aligned,medium,17,14,history_only,0.9603723891584703,0.9615839771438983
aligned,medium,17,15,history_only,0.9377955651293265,0.9438535050564667
aligned,medium,17,16,history_only,0.6376015826201747,0.6185916271219392
aligned,medium,17,17,history_only,0.9377955651293265,0.9438535050564668
aligned,medium,17,18,history_only,0.9496158798542808,0.9556738197814211
aligned,medium,17,19,history_only,0.9164303290856107,0.9115839771438984
aligned,medium,17,20,history_only,0.9471927038834247,0.9556738197814211
aligned,medium,17,21,history_only,0.9424941345063754,0.9497636624189439
aligned,medium,17,22,history_only,0.9033984263752285,0.8949173104772318
aligned,medium,17,23,history_only,0.9406028612459018,0.9527187411001826
aligned,medium,17,24,history_only,0.9465130186083788,0.9586288984626598
aligned,medium,17,25,history_only,0.9193854077668492,0.9121158798542809
aligned,medium,17,26,history_only,0.9004433476939896,0.8907506438105651
aligned,medium,17,27,history_only,0.5538968953706013,0.5700164860488932
aligned,medium,17,28,history_only,0.8957447783169407,0.8957447783169407
aligned,medium,17,29,history_only,0.8765071531147545,0.8728723891584703
aligned,medium,17,0,history_cost,0.9080969957522774,0.9008274678397089
aligned,medium,17,1,history_cost,0.9360520744335159,0.9408984263752282
aligned,medium,17,2,history_cost,0.8955969957522774,0.8919622317959931
aligned,medium,17,3,history_cost,0.6313485360431531,0.6241342977115787
aligned,medium,17,4,history_cost,0.5876623706474783,0.5579101618172468
aligned,medium,17,5,history_cost,0.6825650930418948,0.6345491678154768
aligned,medium,17,6,history_cost,0.5171464891800905,0.5097788506284949
aligned,medium,17,7,history_cost,0.879078111650274,0.879078111650274
aligned,medium,17,8,history_cost,0.8908984263752283,0.886052074433516
aligned,medium,17,9,history_cost,0.5369938075407429,0.4979878815715905
aligned,medium,17,10,history_cost,0.38312923014163874,0.48265158525368107
aligned,medium,17,11,history_cost,0.8938535050564669,0.8962766810273228
aligned,medium,17,12,history_cost,0.9520390558251369,0.9556738197814211
aligned,medium,17,13,history_cost,0.8938535050564668,0.8890071531147545
aligned,medium,17,14,history_cost,0.954462231795993,0.9615839771438983
aligned,medium,17,15,history_cost,0.9281028612459018,0.9438535050564667
aligned,medium,17,16,history_cost,0.6452055648194689,0.6185916271219392
aligned,medium,17,17,history_cost,0.9365839771438983,0.9438535050564668
aligned,medium,17,18,history_cost,0.9484042918688528,0.9556738197814211
aligned,medium,17,19,history_cost,0.9164303290856107,0.9115839771438984
aligned,medium,17,20,history_cost,0.9471927038834247,0.9556738197814211
aligned,medium,17,21,history_cost,0.9388593705500913,0.9497636624189439
aligned,medium,17,22,history_cost,0.9009752504043721,0.8949173104772318
aligned,medium,17,23,history_cost,0.9406028612459018,0.9527187411001826
aligned,medium,17,24,history_cost,0.9465130186083788,0.9586288984626598
aligned,medium,17,25,history_cost,0.9193854077668492,0.9121158798542809
aligned,medium,17,26,history_cost,0.9004433476939896,0.8907506438105651
aligned,medium,17,27,history_cost,0.5330111853566004,0.5700164860488932
aligned,medium,17,28,history_cost,0.8957447783169407,0.8957447783169407
aligned,medium,17,29,history_cost,0.8752955651293265,0.8728723891584703
aligned,medium,23,0,history_only,0.4673152889357717,0.42830936296661953
aligned,medium,23,1,history_only,0.8973404864480878,0.8961288984626599
aligned,medium,23,2,history_only,0.4589819556024383,0.41868620463638245
aligned,medium,23,3,history_only,0.8874114449836071,0.8874114449836071
aligned,medium,23,4,history_only,0.9282506438105651,0.9426419170710387
aligned,medium,23,5,history_only,0.9068854077668492,0.9056738197814211
aligned,medium,23,6,history_only,0.4348682225665426,0.3692829767565527
aligned,medium,23,7,history_only,0.6057269515549196,0.6057269515549196
aligned,medium,23,8,history_only,0.9324173104772316,0.9396868383898002
aligned,medium,23,9,history_only,0.465876906858637,0.4972788506284949
aligned,medium,23,10,history_only,0.9544622317959931,0.9544622317959931
aligned,medium,23,11,history_only,0.5414171380460515,0.5414171380460515
aligned,medium,23,12,history_only,0.5537888061267304,0.5859577334821545
aligned,medium,23,13,history_only,0.6040926761519064,0.6040926761519064
aligned,medium,23,14,history_only,0.8740839771438984,0.8740839771438984
aligned,medium,23,15,history_only,0.9263593705500913,0.9275709585355193
aligned,medium,23,16,history_only,0.6853383068014166,0.6624230965849133
aligned,medium,23,17,history_only,0.9299941345063756,0.9408984263752282
aligned,medium,23,18,history_only,0.5547091899323178,0.5038330104766914
aligned,medium,23,19,history_only,0.947340486448088,0.9497636624189439
aligned,medium,23,20,history_only,0.5747636624189439,0.5523301038586522
aligned,medium,23,21,history_only,0.8968085837377054,0.8907506438105651
aligned,medium,23,22,history_only,0.8966608011730424,0.8966608011730424
aligned,medium,23,23,history_only,0.9513593705500912,0.9586288984626598
aligned,medium,23,24,history_only,0.9431738197814211,0.9468085837377055
aligned,medium,23,25,history_only,0.904462231795993,0.9008274678397089
aligned,medium,23,26,history_only,0.6415897632515799,0.6829043360165937
aligned,medium,23,27,history_only,0.5328271408740761,0.47431825192034777
aligned,medium,23,28,history_only,0.9584811158979966,0.9645390558251371
aligned,medium,23,29,history_only,0.8749114449836073,0.8749114449836073
aligned,medium,23,0,history_cost,0.4272894520560122,0.42830936296661953
aligned,medium,23,1,history_cost,0.8973404864480878,0.8961288984626599
aligned,medium,23,2,history_cost,0.4021265797954923,0.41868620463638245
aligned,medium,23,3,history_cost,0.8874114449836071,0.8874114449836071
aligned,medium,23,4,history_cost,0.9282506438105651,0.9426419170710387
aligned,medium,23,5,history_cost,0.9056738197814211,0.9056738197814211
aligned,medium,23,6,history_cost,0.3692829767565528,0.3692829767565527
aligned,medium,23,7,history_cost,0.6095289426545667,0.6057269515549196
aligned,medium,23,8,history_cost,0.9324173104772319,0.9396868383898002
aligned,medium,23,9,history_cost,0.5038328670886277,0.4972788506284949
aligned,medium,23,10,history_cost,0.9544622317959931,0.9544622317959931
aligned,medium,23,11,history_cost,0.5770893763928172,0.5414171380460515
aligned,medium,23,12,history_cost,0.5685240832299218,0.5859577334821545
aligned,medium,23,13,history_cost,0.6040926761519064,0.6040926761519064
aligned,medium,23,14,history_cost,0.8752955651293265,0.8740839771438984
aligned,medium,23,15,history_cost,0.9215130186083789,0.9275709585355193
aligned,medium,23,16,history_cost,0.6928219340250634,0.6624230965849133
aligned,medium,23,17,history_cost,0.9348404864480878,0.9408984263752282
aligned,medium,23,18,history_cost,0.5161604742074095,0.5038330104766914
aligned,medium,23,19,history_cost,0.9400709585355195,0.9497636624189439
aligned,medium,23,20,history_cost,0.5683538367354458,0.5523301038586522
aligned,medium,23,21,history_cost,0.8968085837377054,0.8907506438105651
aligned,medium,23,22,history_cost,0.8966608011730424,0.8966608011730424
aligned,medium,23,23,history_cost,0.9489361945792352,0.9586288984626598
aligned,medium,23,24,history_cost,0.940750643810565,0.9468085837377055
aligned,medium,23,25,history_cost,0.9008274678397089,0.9008274678397089
aligned,medium,23,26,history_cost,0.6829043360165937,0.6829043360165937
aligned,medium,23,27,history_cost,0.4735799539400342,0.47431825192034777
aligned,medium,23,28,history_cost,0.9596927038834245,0.9645390558251371
aligned,medium,23,29,history_cost,0.8749114449836073,0.8749114449836073
aligned,heavy,9,0,history_only,0.9458333333333333,0.9458333333333333
aligned,heavy,9,1,history_only,0.663850844750685,0.663850844750685
aligned,heavy,9,2,history_only,0.9458333333333332,0.9458333333333332
aligned,heavy,9,3,history_only,0.6596841780840182,0.6596841780840182
aligned,heavy,9,4,history_only,0.6763508447506851,0.6763508447506851
aligned,heavy,9,5,history_only,0.904078111650274,0.904078111650274
aligned,heavy,9,6,history_only,0.19134451868993377,0.15994257492007583
aligned,heavy,9,7,history_only,0.9082447783169405,0.9082447783169405
aligned,heavy,9,8,history_only,0.33955480022968026,0.3026163100898861
aligned,heavy,9,9,history_only,0.24174381211364546,0.25656508893290414
aligned,heavy,9,10,history_only,0.23679622848728443,0.18988412460048879
aligned,heavy,9,11,history_only,0.6888508447506849,0.6888508447506849
aligned,heavy,9,12,history_only,0.06031213056416256,0.12330682987186985
aligned,heavy,9,13,history_only,0.9124114449836073,0.9124114449836073
aligned,heavy,9,14,history_only,0.4709221261428463,0.4709221261428463
aligned,heavy,9,15,history_only,0.31722476312884323,0.2819254223753424
aligned,heavy,9,16,history_only,0.6721841780840183,0.6721841780840183
aligned,heavy,9,17,history_only,0.6721841780840183,0.6721841780840183
aligned,heavy,9,18,history_only,0.6930175114173517,0.6930175114173517
aligned,heavy,9,19,history_only,0.3761619499463891,0.2919641776949818
aligned,heavy,9,20,history_only,0.9249999999999999,0.9249999999999999
aligned,heavy,9,21,history_only,0.6846841780840184,0.6846841780840184
aligned,heavy,9,22,history_only,0.2877856271026991,0.31928297675655276
aligned,heavy,9,23,history_only,0.6805175114173516,0.6805175114173516
aligned,heavy,9,24,history_only,0.6930175114173517,0.6930175114173517
aligned,heavy,9,25,history_only,0.6805175114173516,0.6805175114173516
aligned,heavy,9,26,history_only,0.8874114449836071,0.8874114449836071
aligned,heavy,9,27,history_only,0.2729549441155121,0.2287287926149947
aligned,heavy,9,28,history_only,0.6596841780840182,0.6730201717231336
aligned,heavy,9,29,history_only,0.2616114506652411,0.24562426112832514
aligned,heavy,9,0,history_cost,0.9458333333333333,0.9458333333333333
