timestamp_s,ue_id,serving_gnb,wideband_cqi,previous_quality,total_rbs,rb_available,wideband_sinr_db,rsrp_dbm,rsrq_db,mcs
27.8,11,gnb_1,15.000000,3,25,12,,,,
27.8,16,gnb_2,14.640000,2,25,12,,,,
27.8,17,gnb_2,14.720000,2,25,12,,,,
27.8,2,gnb_2,15.000000,2,25,12,,,,
27.8,23,gnb_1,15.000000,3,25,12,,,,
27.8,3,gnb_2,11.640000,2,25,12,,,,
27.8,4,gnb_2,14.360000,2,25,12,,,,
27.8,5,gnb_2,13.040000,2,25,12,,,,
27.9,0,gnb_1,14.720000,3,25,12,,,,
27.9,1,gnb_2,13.800000,2,25,12,,,,
27.9,11,gnb_1,15.000000,3,25,12,,,,
27.9,16,gnb_2,14.880000,2,25,12,,,,
27.9,17,gnb_2,14.720000,2,25,12,,,,
27.9,2,gnb_2,15.000000,2,25,12,,,,
27.9,23,gnb_1,15.000000,3,25,12,,,,
27.9,3,gnb_2,13.440000,2,25,12,,,,
27.9,4,gnb_2,14.360000,2,25,12,,,,
27.9,5,gnb_2,13.040000,2,25,12,,,,
28.0,0,gnb_1,14.720000,3,25,12,,,,
28.0,1,gnb_2,13.800000,2,25,12,,,,
28.0,11,gnb_1,15.000000,3,25,12,,,,
28.0,16,gnb_2,14.880000,2,25,12,,,,
28.0,17,gnb_2,14.720000,2,25,12,,,,
28.0,2,gnb_2,14.760000,2,25,12,,,,
28.0,23,gnb_1,15.000000,3,25,12,,,,
28.0,3,gnb_2,13.440000,2,25,12,,,,
28.0,4,gnb_2,14.360000,2,25,12,,,,
28.0,5,gnb_2,13.040000,2,25,12,,,,
28.1,0,gnb_1,14.720000,3,25,12,,,,
28.1,1,gnb_2,13.800000,2,25,12,,,,
28.1,11,gnb_1,15.000000,3,25,12,,,,
28.1,16,gnb_2,14.880000,2,25,12,,,,
28.1,17,gnb_2,14.600000,2,25,12,,,,
28.1,2,gnb_2,14.760000,2,25,12,,,,
28.1,23,gnb_1,15.000000,3,25,12,,,,
28.1,3,gnb_2,13.440000,2,25,12,,,,
28.1,4,gnb_2,14.360000,2,25,12,,,,
28.1,5,gnb_2,13.040000,2,25,12,,,,
28.2,0,gnb_1,14.920000,3,25,12,,,,
28.2,1,gnb_2,13.800000,2,25,12,,,,
28.2,11,gnb_1,15.000000,3,25,12,,,,
28.2,16,gnb_2,14.880000,2,25,12,,,,
28.2,17,gnb_2,14.600000,2,25,12,,,,
28.2,2,gnb_2,14.760000,2,25,12,,,,
28.2,23,gnb_1,15.000000,3,25,12,,,,
28.2,3,gnb_2,13.480000,2,25,12,,,,
28.2,4,gnb_2,14.360000,2,25,12,,,,
28.2,5,gnb_2,13.040000,2,25,12,,,,
28.3,0,gnb_1,14.920000,3,25,12,,,,
28.3,1,gnb_2,13.880000,2,25,12,,,,
28.3,11,gnb_1,15.000000,3,25,12,,,,
28.3,16,gnb_2,14.920000,2,25,12,,,,
28.3,17,gnb_2,14.600000,2,25,12,,,,
28.3,2,gnb_2,14.760000,2,25,12,,,,
28.3,23,gnb_1,15.000000,3,25,12,,,,
28.3,3,gnb_2,13.520000,2,25,12,,,,
28.3,4,gnb_2,14.360000,2,25,12,,,,
28.3,5,gnb_2,13.040000,2,25,12,,,,
28.4,0,gnb_1,14.920000,3,25,12,,,,
28.4,1,gnb_2,13.880000,2,25,12,,,,
28.4,11,gnb_1,15.000000,3,25,12,,,,
28.4,16,gnb_2,14.920000,2,25,12,,,,
28.4,17,gnb_2,14.600000,2,25,12,,,,
28.4,2,gnb_2,14.760000,2,25,12,,,,
28.4,23,gnb_1,15.000000,3,25,12,,,,
28.4,3,gnb_2,13.560000,2,25,12,,,,
28.4,4,gnb_2,14.360000,2,25,12,,,,
28.4,5,gnb_2,13.040000,2,25,12,,,,
28.5,0,gnb_1,14.520000,3,25,12,,,,
28.5,1,gnb_2,13.880000,2,25,12,,,,
28.5,11,gnb_1,15.000000,3,25,12,,,,
28.5,16,gnb_2,14.920000,2,25,12,,,,
28.5,17,gnb_2,14.880000,2,25,12,,,,
28.5,2,gnb_2,14.920000,2,25,12,,,,
28.5,23,gnb_1,15.000000,3,25,12,,,,
28.5,3,gnb_2,14.520000,2,25,12,,,,
28.5,4,gnb_2,14.360000,2,25,12,,,,
28.5,5,gnb_2,13.040000,2,25,12,,,,
28.6,0,gnb_1,14.520000,3,25,12,,,,
28.6,1,gnb_2,13.880000,2,25,12,,,,
28.6,11,gnb_1,15.000000,3,25,12,,,,
28.6,16,gnb_2,14.920000,2,25,12,,,,
28.6,17,gnb_2,14.880000,2,25,12,,,,
28.6,2,gnb_2,14.920000,2,25,12,,,,
28.6,23,gnb_1,15.000000,3,25,12,,,,
28.6,3,gnb_2,14.520000,2,25,12,,,,
28.6,4,gnb_2,14.200000,2,25,12,,,,
28.6,5,gnb_2,13.040000,2,25,12,,,,
28.7,0,gnb_1,14.560000,3,25,12,,,,
28.7,1,gnb_2,14.520000,2,25,12,,,,
28.7,11,gnb_1,15.000000,3,25,12,,,,
28.7,16,gnb_2,14.920000,2,25,12,,,,
28.7,17,gnb_2,14.880000,2,25,12,,,,
28.7,2,gnb_2,14.920000,2,25,12,,,,
28.7,23,gnb_1,15.000000,3,25,12,,,,
28.7,3,gnb_2,14.520000,2,25,12,,,,
28.7,4,gnb_2,14.200000,2,25,12,,,,
28.7,5,gnb_2,13.040000,2,25,12,,,,
28.8,0,gnb_1,14.920000,3,25,12,,,,
