dispersion,seed,scenario_index,method,utility,adr_kbps,served_ratio,average_quality,system_spectral_efficiency
high,8,4,CQI k-means,0.342843333387272,1548.6666666666667,1.0,1.6433333333333333,103.24444444444444
high,8,4,Resource-cost k-means,0.2517711398226835,1062.3333333333333,1.0,1.3266666666666667,70.82222222222222
high,8,4,Multi-feature k-means,0.3471907705490107,1833.3333333333333,1.0,1.75,122.22222222222223
high,8,4,Offline teacher,0.41797242794656303,1784.3333333333333,1.0,1.8933333333333333,118.95555555555555
high,8,5,No grouping,0.1117797331208585,550.0,1.0,1.0,36.666666666666664
high,8,5,CQI k-means,0.34078094557054645,2216.0,1.0,1.76,147.73333333333332
high,8,5,Resource-cost k-means,0.25529092779499174,1066.6666666666667,1.0,1.3333333333333333,71.11111111111111
high,8,5,Multi-feature k-means,0.3689396292248645,1917.3333333333333,1.0,1.84,127.82222222222222
high,8,5,Offline teacher,0.41249933980014364,1746.6666666666667,1.0,1.8433333333333333,116.44444444444444
high,8,6,No grouping,0.12344639978752515,550.0,1.0,1.0,36.666666666666664
high,8,6,CQI k-means,0.33522831484122373,1796.0,1.0,1.71,119.73333333333333
high,8,6,Resource-cost k-means,0.26533050373960837,1075.3333333333333,1.0,1.3466666666666667,71.68888888888888
high,8,6,Multi-feature k-means,0.3126367367589833,1721.3333333333333,1.0,1.63,114.75555555555556
high,8,6,Offline teacher,0.4186556119262063,1735.3333333333333,1.0,1.8433333333333333,115.68888888888888
high,8,7,No grouping,0.11844639978752515,550.0,1.0,1.0,36.666666666666664
high,8,7,CQI k-means,0.3282048175811139,1518.3333333333333,1.0,1.5966666666666667,101.22222222222223
high,8,7,Resource-cost k-means,0.3218088413286813,1108.1666666666667,1.0,1.5033333333333334,73.87777777777778
high,8,7,Multi-feature k-means,0.3221085785398235,1749.3333333333333,1.0,1.66,116.62222222222222
high,8,7,Offline teacher,0.40604278883451433,1752.8333333333333,1.0,1.8533333333333333,116.85555555555555
high,8,8,No grouping,0.14077973312085848,550.0,1.0,1.0,36.666666666666664
high,8,8,CQI k-means,0.3128315616448098,1693.3333333333333,1.0,1.6,112.88888888888889
high,8,8,Resource-cost k-means,0.24368056284934236,1006.0,1.0,1.24,67.06666666666666
high,8,8,Multi-feature k-means,0.3325991924667702,1758.6666666666667,1.0,1.67,117.24444444444444
high,8,8,Offline teacher,0.3865120317063421,1594.6666666666667,1.0,1.6966666666666668,106.31111111111112
high,8,9,No grouping,0.11611306645419181,550.0,1.0,1.0,36.666666666666664
high,8,9,CQI k-means,0.4107505105588946,1672.0,1.0,1.82,111.46666666666667
high,8,9,Resource-cost k-means,0.26888986765653317,1088.3333333333333,1.0,1.3666666666666667,72.55555555555556
high,8,9,Multi-feature k-means,0.3443668232887306,1824.0,1.0,1.74,121.6
high,8,9,Offline teacher,0.4308722637953959,1760.0,1.0,1.89,117.33333333333333
high,9,0,No grouping,0.11677973312085849,550.0,1.0,1.0,36.666666666666664
high,9,0,CQI k-means,0.36427662240834846,1593.3333333333333,1.0,1.7033333333333334,106.22222222222223
