dispersion,seed,scenario_index,method,utility,adr_kbps,served_ratio,average_quality,system_spectral_efficiency
low,2,15,Resource-cost k-means,0.9368841659546814,7409.333333333333,1.0,4.946666666666666,246.9777777777778
low,2,15,Multi-feature k-means,0.9485154106147907,6729.333333333333,1.0,4.546666666666667,224.3111111111111
low,2,15,Offline teacher,0.9370780200323501,7398.0,1.0,4.94,246.6
low,2,16,No grouping,0.9320000000000003,7500.0,1.0,5.0,250.0
low,2,16,CQI k-means,0.9411111416504195,6967.333333333333,1.0,4.6866666666666665,232.24444444444444
low,2,16,Resource-cost k-means,0.9320000000000003,7500.0,1.0,5.0,250.0
low,2,16,Multi-feature k-means,0.9411111416504195,6967.333333333333,1.0,4.6866666666666665,232.24444444444444
low,2,16,Offline teacher,0.9337446866990164,7398.0,1.0,4.94,246.6
low,2,17,No grouping,0.9273333333333335,7500.0,1.0,5.0,250.0
low,2,17,CQI k-means,0.9356690586730787,7012.666666666667,1.0,4.713333333333333,233.75555555555556
low,2,17,Resource-cost k-means,0.9273333333333335,7500.0,1.0,5.0,250.0
low,2,17,Multi-feature k-means,0.9376075994497636,6899.333333333333,1.0,4.6466666666666665,229.9777777777778
low,2,17,Offline teacher,0.9279148955663391,7466.0,1.0,4.98,248.86666666666667
low,2,18,No grouping,0.9340000000000002,7500.0,1.0,5.0,250.0
low,2,18,CQI k-means,0.9413664549514029,7069.333333333333,1.0,4.746666666666667,235.64444444444445
low,2,18,Resource-cost k-means,0.9340000000000002,7500.0,1.0,5.0,250.0
low,2,18,Multi-feature k-means,0.9429172875727507,6978.666666666667,1.0,4.693333333333333,232.62222222222223
low,2,18,Offline teacher,0.9357446866990167,7398.0,1.0,4.94,246.6
low,2,19,No grouping,0.9293333333333336,7500.0,1.0,5.0,250.0
low,2,19,CQI k-means,0.9363120801293993,7092.0,1.0,4.76,236.4
low,2,19,Resource-cost k-means,0.9293333333333336,7500.0,1.0,5.0,250.0
low,2,19,Multi-feature k-means,0.9398014535274322,6888.0,1.0,4.64,229.6
low,2,19,Offline teacher,0.9316595822653555,7364.0,1.0,4.92,245.46666666666667
low,3,0,No grouping,0.9333333333333336,7500.0,1.0,5.0,250.0
low,3,0,CQI k-means,0.9412813505177416,7035.333333333333,1.0,4.726666666666667,234.51111111111112
low,3,0,Resource-cost k-means,0.9343026037216757,7443.333333333333,1.0,4.966666666666667,248.11111111111111
low,3,0,Multi-feature k-means,0.943026037216758,6933.333333333333,1.0,4.666666666666667,231.11111111111111
low,3,0,Offline teacher,0.9344964577993443,7432.0,1.0,4.96,247.73333333333332
low,3,1,No grouping,0.9306666666666669,7500.0,1.0,5.0,250.0
