dispersion,seed,load,scenario_index,n_scenarios_this_run,method,utility,adr_kbps,served_ratio,average_quality,system_spectral_efficiency,fairness
low,seed_0002,medium,1,5,CQI+cost+switching 3-way union (former headline),0.433780622502527,2877.5,1.0,2.9,106.57407407407408,0.9667116650369959
low,seed_0002,medium,1,5,CQI+cost+regret-graph 3-way union,0.433780622502527,2877.5,1.0,2.9,106.57407407407408,0.9667116650369959
low,seed_0002,medium,1,5,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.433780622502527,2877.5,1.0,2.9,106.57407407407408,0.9667116650369959
low,seed_0002,medium,2,5,CQI k-means,0.44718417808401834,3000.0,1.0,3.0,111.11111111111111,1.0
low,seed_0002,medium,2,5,CQI+cost 2-way union (paper method),0.44718417808401834,3000.0,1.0,3.0,111.11111111111111,1.0
low,seed_0002,medium,2,5,CQI+cost+switching 3-way union (former headline),0.44718417808401834,3000.0,1.0,3.0,111.11111111111111,1.0
low,seed_0002,medium,2,5,CQI+cost+regret-graph 3-way union,0.44718417808401834,3000.0,1.0,3.0,111.11111111111111,1.0
low,seed_0002,medium,2,5,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.44718417808401834,3000.0,1.0,3.0,111.11111111111111,1.0
low,seed_0002,medium,3,5,CQI k-means,0.44718417808401834,3000.0,1.0,3.0,111.11111111111111,1.0
low,seed_0002,medium,3,5,CQI+cost 2-way union (paper method),0.44718417808401834,3000.0,1.0,3.0,111.11111111111111,1.0
low,seed_0002,medium,3,5,CQI+cost+switching 3-way union (former headline),0.44718417808401834,3000.0,1.0,3.0,111.11111111111111,1.0
low,seed_0002,medium,3,5,CQI+cost+regret-graph 3-way union,0.44718417808401834,3000.0,1.0,3.0,111.11111111111111,1.0
low,seed_0002,medium,3,5,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.44718417808401834,3000.0,1.0,3.0,111.11111111111111,1.0
low,seed_0002,medium,4,5,CQI k-means,0.42707884471178126,2816.25,1.0,2.85,104.30555555555556,0.9501151142157633
low,seed_0002,medium,4,5,CQI+cost 2-way union (paper method),0.4293027958411722,2868.75,1.0,2.875,106.25,0.9615781344705959
low,seed_0002,medium,4,5,CQI+cost+switching 3-way union (former headline),0.4293027958411722,2868.75,1.0,2.875,106.25,0.9615781344705959
low,seed_0002,medium,4,5,CQI+cost+regret-graph 3-way union,0.4293027958411722,2868.75,1.0,2.875,106.25,0.9615781344705959
low,seed_0002,medium,4,5,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.4293027958411722,2868.75,1.0,2.875,106.25,0.9615781344705959
low,seed_0002,heavy,0,5,CQI k-means,0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0002,heavy,0,5,CQI+cost 2-way union (paper method),0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0002,heavy,0,5,CQI+cost+switching 3-way union (former headline),0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0002,heavy,0,5,CQI+cost+regret-graph 3-way union,0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0002,heavy,0,5,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0002,heavy,1,5,CQI k-means,0.1791130664541918,550.0,1.0,1.0,61.111111111111114,1.0
low,seed_0002,heavy,1,5,CQI+cost 2-way union (paper method),0.23813957210786332,1425.0,0.95,2.0,158.33333333333334,0.95
low,seed_0002,heavy,1,5,CQI+cost+switching 3-way union (former headline),0.23813957210786332,1425.0,0.95,2.0,158.33333333333334,0.95
low,seed_0002,heavy,1,5,CQI+cost+regret-graph 3-way union,0.23813957210786332,1425.0,0.95,2.0,158.33333333333334,0.95
low,seed_0002,heavy,1,5,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.23813957210786332,1425.0,0.95,2.0,158.33333333333334,0.95
low,seed_0002,heavy,2,5,CQI k-means,0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0002,heavy,2,5,CQI+cost 2-way union (paper method),0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0002,heavy,2,5,CQI+cost+switching 3-way union (former headline),0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0002,heavy,2,5,CQI+cost+regret-graph 3-way union,0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0002,heavy,2,5,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0002,heavy,3,5,CQI k-means,0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0002,heavy,3,5,CQI+cost 2-way union (paper method),0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0002,heavy,3,5,CQI+cost+switching 3-way union (former headline),0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0002,heavy,3,5,CQI+cost+regret-graph 3-way union,0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0002,heavy,3,5,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0002,heavy,4,5,CQI k-means,0.17924116231555112,1387.5,0.925,2.0,154.16666666666666,0.925
low,seed_0002,heavy,4,5,CQI+cost 2-way union (paper method),0.23813957210786332,1425.0,0.95,2.0,158.33333333333334,0.95
low,seed_0002,heavy,4,5,CQI+cost+switching 3-way union (former headline),0.23813957210786332,1425.0,0.95,2.0,158.33333333333334,0.95
low,seed_0002,heavy,4,5,CQI+cost+regret-graph 3-way union,0.23813957210786332,1425.0,0.95,2.0,158.33333333333334,0.95
low,seed_0002,heavy,4,5,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.23813957210786332,1425.0,0.95,2.0,158.33333333333334,0.95
low,seed_0003,light,0,5,CQI k-means,0.5290781116502739,5800.0,1.0,4.0,107.4074074074074,1.0
low,seed_0003,light,0,5,CQI+cost 2-way union (paper method),0.5290781116502739,5800.0,1.0,4.0,107.4074074074074,1.0
low,seed_0003,light,0,5,CQI+cost+switching 3-way union (former headline),0.5290781116502739,5800.0,1.0,4.0,107.4074074074074,1.0
low,seed_0003,light,0,5,CQI+cost+regret-graph 3-way union,0.5290781116502739,5800.0,1.0,4.0,107.4074074074074,1.0
low,seed_0003,light,0,5,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.5290781116502739,5800.0,1.0,4.0,107.4074074074074,1.0
low,seed_0003,light,1,5,CQI k-means,0.5290781116502739,5800.0,1.0,4.0,107.4074074074074,1.0
low,seed_0003,light,1,5,CQI+cost 2-way union (paper method),0.5290781116502739,5800.0,1.0,4.0,107.4074074074074,1.0
