dispersion,load,seed,method,mean_utility,n_scenarios
high,medium,seed_0008,CQI+cost 2-way union (paper method),0.02910587329880617,2
high,medium,seed_0008,CQI+cost+switching 3-way union (former headline),0.02910587329880617,2
high,medium,seed_0008,CQI+cost+regret-graph 3-way union,0.03134478662948357,2
high,medium,seed_0008,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.03134478662948357,2
high,medium,seed_0009,CQI k-means,0.08597427189801207,5
high,medium,seed_0009,CQI+cost 2-way union (paper method),0.08955653322709592,5
high,medium,seed_0009,CQI+cost+switching 3-way union (former headline),0.08955653322709592,5
high,medium,seed_0009,CQI+cost+regret-graph 3-way union,0.08955653322709592,5
high,medium,seed_0009,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.08955653322709592,5
high,medium,seed_0010,CQI k-means,0.016120175980877265,5
high,medium,seed_0010,CQI+cost 2-way union (paper method),0.02597139463585781,5
high,medium,seed_0010,CQI+cost+switching 3-way union (former headline),0.02597139463585781,5
high,medium,seed_0010,CQI+cost+regret-graph 3-way union,0.027762525300399726,5
high,medium,seed_0010,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.027762525300399726,5
low,heavy,seed_0001,CQI k-means,0.28523268076944114,5
low,heavy,seed_0001,CQI+cost 2-way union (paper method),0.308792044686366,5
low,heavy,seed_0001,CQI+cost+switching 3-way union (former headline),0.308792044686366,5
low,heavy,seed_0001,CQI+cost+regret-graph 3-way union,0.308792044686366,5
low,heavy,seed_0001,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.308792044686366,5
low,heavy,seed_0002,CQI k-means,0.2852326807694412,5
low,heavy,seed_0002,CQI+cost 2-way union (paper method),0.3088176638586379,5
low,heavy,seed_0002,CQI+cost+switching 3-way union (former headline),0.3088176638586379,5
low,heavy,seed_0002,CQI+cost+regret-graph 3-way union,0.3088176638586379,5
low,heavy,seed_0002,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.3088176638586379,5
