timestamp_s,ue_node_id,gnb_node_id,band_index,cqi,tbs_bits_per_slot,total_bands
0.962,2053,1,3,15,1160,6
0.962,2053,1,4,15,1160,6
0.962,2053,1,5,15,1160,6
0.968,2049,1,0,15,1160,6
0.968,2049,1,1,13,984,6
0.968,2049,1,2,15,1160,6
0.968,2049,1,3,14,1128,6
0.968,2049,1,4,15,1160,6
0.968,2049,1,5,15,1160,6
0.968,2050,1,0,15,1160,6
0.968,2050,1,1,15,1160,6
0.968,2050,1,2,15,1160,6
0.968,2050,1,3,15,1160,6
0.968,2050,1,4,15,1160,6
0.968,2050,1,5,15,1160,6
0.968,2051,1,0,15,1160,6
0.968,2051,1,1,13,984,6
0.968,2051,1,2,15,1160,6
0.968,2051,1,3,15,1160,6
0.968,2051,1,4,14,1128,6
0.968,2051,1,5,15,1160,6
0.968,2052,1,0,15,1160,6
0.968,2052,1,1,15,1160,6
0.968,2052,1,2,15,1160,6
0.968,2052,1,3,13,984,6
0.968,2052,1,4,9,608,6
0.968,2052,1,5,13,984,6
0.968,2053,1,0,15,1160,6
0.968,2053,1,1,15,1160,6
0.968,2053,1,2,15,1160,6
0.968,2053,1,3,15,1160,6
0.968,2053,1,4,15,1160,6
0.968,2053,1,5,15,1160,6
0.974,2049,1,0,15,1160,6
0.974,2049,1,1,13,984,6
0.974,2049,1,2,15,1160,6
0.974,2049,1,3,14,1128,6
0.974,2049,1,4,15,1160,6
0.974,2049,1,5,15,1160,6
0.974,2050,1,0,15,1160,6
0.974,2050,1,1,15,1160,6
0.974,2050,1,2,15,1160,6
0.974,2050,1,3,15,1160,6
0.974,2050,1,4,15,1160,6
0.974,2050,1,5,15,1160,6
0.974,2051,1,0,15,1160,6
0.974,2051,1,1,13,984,6
0.974,2051,1,2,15,1160,6
0.974,2051,1,3,15,1160,6
0.974,2051,1,4,14,1128,6
0.974,2051,1,5,15,1160,6
0.974,2052,1,0,15,1160,6
0.974,2052,1,1,15,1160,6
0.974,2052,1,2,15,1160,6
0.974,2052,1,3,13,984,6
0.974,2052,1,4,9,608,6
0.974,2052,1,5,13,984,6
0.974,2053,1,0,15,1160,6
0.974,2053,1,1,15,1160,6
0.974,2053,1,2,15,1160,6
0.974,2053,1,3,15,1160,6
0.974,2053,1,4,15,1160,6
0.974,2053,1,5,15,1160,6
0.98,2049,1,0,15,1160,6
0.98,2049,1,1,13,984,6
0.98,2049,1,2,15,1160,6
0.98,2049,1,3,14,1128,6
0.98,2049,1,4,15,1160,6
0.98,2049,1,5,15,1160,6
0.98,2050,1,0,15,1160,6
0.98,2050,1,1,15,1160,6
0.98,2050,1,2,15,1160,6
0.98,2050,1,3,15,1160,6
0.98,2050,1,4,15,1160,6
0.98,2050,1,5,15,1160,6
0.98,2051,1,0,15,1160,6
0.98,2051,1,1,13,984,6
0.98,2051,1,2,15,1160,6
0.98,2051,1,3,15,1160,6
0.98,2051,1,4,14,1128,6
0.98,2051,1,5,15,1160,6
0.98,2052,1,0,15,1160,6
0.98,2052,1,1,15,1160,6
0.98,2052,1,2,15,1160,6
0.98,2052,1,3,13,984,6
0.98,2052,1,4,9,608,6
0.98,2052,1,5,13,984,6
0.98,2053,1,0,15,1160,6
0.98,2053,1,1,15,1160,6
0.98,2053,1,2,15,1160,6
0.98,2053,1,3,15,1160,6
0.98,2053,1,4,15,1160,6
0.98,2053,1,5,15,1160,6
0.986,2049,1,0,15,1160,6
0.986,2049,1,1,13,984,6
0.986,2049,1,2,15,1160,6
0.986,2049,1,3,14,1128,6
0.986,2049,1,4,15,1160,6
0.986,2049,1,5,15,1160,6
0.986,2050,1,0,15,1160,6
0.986,2050,1,1,15,1160,6
0.986,2050,1,2,15,1160,6
0.986,2050,1,3,15,1160,6
0.986,2050,1,4,15,1160,6
0.986,2050,1,5,15,1160,6
0.986,2051,1,0,15,1160,6
0.986,2051,1,1,13,984,6
0.986,2051,1,2,15,1160,6
0.986,2051,1,3,15,1160,6
0.986,2051,1,4,14,1128,6
0.986,2051,1,5,15,1160,6
0.986,2052,1,0,15,1160,6
0.986,2052,1,1,15,1160,6
0.986,2052,1,2,15,1160,6
0.986,2052,1,3,13,984,6
0.986,2052,1,4,9,608,6
0.986,2052,1,5,13,984,6
0.986,2053,1,0,15,1160,6
0.986,2053,1,1,15,1160,6
0.986,2053,1,2,15,1160,6
0.986,2053,1,3,15,1160,6
0.986,2053,1,4,15,1160,6
0.986,2053,1,5,15,1160,6
0.992,2049,1,0,15,1160,6
0.992,2049,1,1,13,984,6
0.992,2049,1,2,15,1160,6
0.992,2049,1,3,14,1128,6
0.992,2049,1,4,15,1160,6
0.992,2049,1,5,15,1160,6
0.992,2050,1,0,15,1160,6
0.992,2050,1,1,15,1160,6
0.992,2050,1,2,15,1160,6
0.992,2050,1,3,15,1160,6
0.992,2050,1,4,15,1160,6
0.992,2050,1,5,15,1160,6
0.992,2051,1,0,15,1160,6
0.992,2051,1,1,13,984,6
0.992,2051,1,2,15,1160,6
0.992,2051,1,3,15,1160,6
0.992,2051,1,4,14,1128,6
0.992,2051,1,5,15,1160,6
0.992,2052,1,0,15,1160,6
0.992,2052,1,1,15,1160,6
0.992,2052,1,2,15,1160,6
0.992,2052,1,3,13,984,6
0.992,2052,1,4,9,608,6
0.992,2052,1,5,13,984,6
0.992,2053,1,0,15,1160,6
0.992,2053,1,1,15,1160,6
0.992,2053,1,2,15,1160,6
0.992,2053,1,3,15,1160,6
0.992,2053,1,4,15,1160,6
0.992,2053,1,5,15,1160,6
0.998,2049,1,0,15,1160,6
0.998,2049,1,1,13,984,6
0.998,2049,1,2,15,1160,6
0.998,2049,1,3,14,1128,6
0.998,2049,1,4,15,1160,6
0.998,2049,1,5,15,1160,6
0.998,2050,1,0,15,1160,6
0.998,2050,1,1,15,1160,6
0.998,2050,1,2,15,1160,6
0.998,2050,1,3,15,1160,6
0.998,2050,1,4,15,1160,6
0.998,2050,1,5,15,1160,6
0.998,2051,1,0,15,1160,6
0.998,2051,1,1,13,984,6
0.998,2051,1,2,15,1160,6
0.998,2051,1,3,15,1160,6
0.998,2051,1,4,14,1128,6
