timestamp_s,ue_node_id,gnb_node_id,band_index,cqi,tbs_bits_per_slot,total_bands
0.704,2049,1,5,15,1160,6
0.71,2049,1,0,15,1160,6
0.71,2049,1,1,15,1160,6
0.71,2049,1,2,15,1160,6
0.71,2049,1,3,15,1160,6
0.71,2049,1,4,15,1160,6
0.71,2049,1,5,15,1160,6
0.716,2049,1,0,15,1160,6
0.716,2049,1,1,15,1160,6
0.716,2049,1,2,15,1160,6
0.716,2049,1,3,15,1160,6
0.716,2049,1,4,15,1160,6
0.716,2049,1,5,15,1160,6
0.722,2049,1,0,15,1160,6
0.722,2049,1,1,15,1160,6
0.722,2049,1,2,15,1160,6
0.722,2049,1,3,15,1160,6
0.722,2049,1,4,15,1160,6
0.722,2049,1,5,15,1160,6
0.728,2049,1,0,15,1160,6
0.728,2049,1,1,15,1160,6
0.728,2049,1,2,15,1160,6
0.728,2049,1,3,15,1160,6
0.728,2049,1,4,15,1160,6
0.728,2049,1,5,15,1160,6
0.734,2049,1,0,15,1160,6
0.734,2049,1,1,15,1160,6
0.734,2049,1,2,15,1160,6
0.734,2049,1,3,15,1160,6
0.734,2049,1,4,15,1160,6
0.734,2049,1,5,15,1160,6
0.74,2049,1,0,15,1160,6
0.74,2049,1,1,15,1160,6
0.74,2049,1,2,15,1160,6
0.74,2049,1,3,15,1160,6
0.74,2049,1,4,15,1160,6
0.74,2049,1,5,15,1160,6
0.746,2049,1,0,15,1160,6
0.746,2049,1,1,15,1160,6
0.746,2049,1,2,15,1160,6
0.746,2049,1,3,15,1160,6
0.746,2049,1,4,15,1160,6
0.746,2049,1,5,15,1160,6
0.752,2049,1,0,15,1160,6
0.752,2049,1,1,15,1160,6
0.752,2049,1,2,15,1160,6
0.752,2049,1,3,15,1160,6
0.752,2049,1,4,15,1160,6
0.752,2049,1,5,15,1160,6
0.758,2049,1,0,15,1160,6
0.758,2049,1,1,15,1160,6
0.758,2049,1,2,15,1160,6
0.758,2049,1,3,15,1160,6
0.758,2049,1,4,15,1160,6
0.758,2049,1,5,15,1160,6
0.764,2049,1,0,15,1160,6
0.764,2049,1,1,15,1160,6
