scenario_mode,load_level,seed,method,test_index,utility
aligned,light,9,LE-GRA[full_none],18,0.9402187411001824
aligned,light,9,LE-GRA[full_none],19,0.9046100143606562
aligned,light,9,LE-GRA[full_none],20,0.9468085837377055
aligned,light,9,LE-GRA[full_none],21,0.5708867749466352
aligned,light,9,LE-GRA[full_none],22,0.9046100143606562
aligned,light,9,LE-GRA[full_none],23,0.6149680870284735
aligned,light,9,LE-GRA[full_none],24,0.8796100143606562
aligned,light,9,LE-GRA[full_none],25,0.6686716401347499
aligned,light,9,LE-GRA[full_none],26,0.9490839771438982
aligned,light,9,LE-GRA[full_none],27,0.7091834920730543
aligned,light,9,LE-GRA[full_none],28,0.9466608011730422
aligned,light,9,LE-GRA[full_none],29,0.938475250404372
aligned,light,9,LE-GRA[history_cost_utility],0,0.7020020605677568
aligned,light,9,LE-GRA[history_cost_utility],1,0.8992317597085616
aligned,light,9,LE-GRA[history_cost_utility],2,0.9459811158979966
aligned,light,9,LE-GRA[history_cost_utility],3,0.7228324810007636
aligned,light,9,LE-GRA[history_cost_utility],4,0.950827467839709
aligned,light,9,LE-GRA[history_cost_utility],5,0.6332564299182465
aligned,light,9,LE-GRA[history_cost_utility],6,0.7124172707842602
aligned,light,9,LE-GRA[history_cost_utility],7,0.9365839771438983
aligned,light,9,LE-GRA[history_cost_utility],8,0.7617375855092146
aligned,light,9,LE-GRA[history_cost_utility],9,0.7249172707842603
aligned,light,9,LE-GRA[history_cost_utility],10,0.8962766810273228
aligned,light,9,LE-GRA[history_cost_utility],11,0.6728353939010902
aligned,light,9,LE-GRA[history_cost_utility],12,0.5244938075407428
aligned,light,9,LE-GRA[history_cost_utility],13,0.6282774686898634
aligned,light,9,LE-GRA[history_cost_utility],14,0.9442376252021861
aligned,light,9,LE-GRA[history_cost_utility],15,0.6978353939010903
aligned,light,9,LE-GRA[history_cost_utility],16,0.934013018608379
aligned,light,9,LE-GRA[history_cost_utility],17,0.7790781116502737
aligned,light,9,LE-GRA[history_cost_utility],18,0.9329492131876141
aligned,light,9,LE-GRA[history_cost_utility],19,0.9021868383898002
aligned,light,9,LE-GRA[history_cost_utility],20,0.9431738197814212
